symbol,provider,base_timeframe,setup_primary,pnl,win,alignment,slope_score,regression_slope_pct,regression_r2,adx,atr,atr_pct,ema_compression,trend_age_bars,signal_age_bars,dist_ema25_atr,dist_ema80_atr,dist_ema220_atr,dist_reg_atr,hour_utc,is_weekend,dist_pivot_P_atr,nearest_support_distance_atr,nearest_resistance_distance_atr,confluence_levels,confluence_fibo,alligator_mouth,ai_prob_entry,wick_reject_ratio,fractal_distance_atr
DOTUSDT,binance,1h,,-0.059626147983097066,0,1.0,1.4410117201587151,0.11728133122684327,0.8750539570449012,49.274577532669234,0.026261479830968364,0.8186246830102358,4.553955604922172,36.0,1.0,1.7052195042993485,3.964692428857794,5.47833896232528,0.28581338147174234,3.0,0.0,1.6627648916864781,2.1704793624304517,0.9138860473391323,0.0,0.0,0.0,0.0,2.400000000000053,1.1804361444796998
DOTUSDT,binance,1h,,-0.035606011551825745,0,0.75,0.16774340449019132,0.1187758643216985,0.849455059030153,40.26210813549491,0.029671676293187937,0.9389770978856942,3.486549158631971,43.0,8.0,-0.512739510376687,1.4036349618498325,2.959438567121503,-2.095402936885386,10.0,0.0,-0.14604275439362868,0.3033195668175503,0.8088521781801041,0.0,0.0,0.0,0.0,2.749999999999917,1.314384789542658
DOTUSDT,binance,1h,,-0.03884626582799022,0,0.875,0.08602530583877153,-0.03419639180106393,0.283378534119883,18.47576116199641,0.0323718881899918,1.0183041267691664,2.353814616210688,1.0,1.0,0.8291400297824646,1.377715525483268,2.7636701875685734,1.1321369810005784,13.0,0.0,0.32950400063362895,0.864948001663264,0.10297000019802362,0.0,0.0,0.0,0.0,0.9285714285714671,0.0
DOTUSDT,binance,1h,,-0.04512152512719547,0,0.75,0.1360589507627003,-0.03832411464538468,0.3463818725635084,18.70073030267167,0.037601270939329655,1.1990201192388283,2.058497669684409,3.0,3.0,-0.39072718046262106,0.03213163907787286,1.2103698816112982,-0.05731971456828845,15.0,0.0,-0.8599000120369152,0.39892268599650416,1.1701732122564381,0.0,0.0,0.0,0.0,1.0000000000000318,0.3191381487972104
DOTUSDT,binance,1h,,-0.037786977794620036,0,0.75,0.13830634142616152,-0.08029556780202643,0.5941896986458333,29.436037455300422,0.03148914816218339,1.014143258041333,1.4782411124105521,1.0,1.0,0.5139333021879342,-0.19515848300366945,0.539635680417339,1.4211431825595298,11.0,0.0,0.815095617527409,0.33344820717029855,0.031756972111453646,0.0,0.0,0.0,0.0,0.1904761904761915,0.5398685258947684
DOTUSDT,binance,1h,,-0.04559515392474012,0,0.875,1.1427037734584213,-0.07052255685720277,0.45578175244163566,23.138571339606894,0.03799596160395011,1.1982327847351026,2.0699967130627956,1.0,1.0,1.9999134859452643,1.6012635332788674,2.1621777681991117,2.8742992701236996,17.0,0.0,2.4125370907085295,0.5263717288818608,0.3816195034393593,0.0,0.0,0.0,0.0,0.0,1.0264248713196198
DOTUSDT,binance,1h,,0.018975178140611337,1,0.875,1.295749640398941,-0.053692154741971546,0.30395661400753726,20.467356024027513,0.046914885260548794,1.4926785001765448,2.0861695630896326,3.0,3.0,0.8942751089184814,0.6735813256589761,1.1363730957278297,1.513579567984527,19.0,0.0,1.357067513073611,0.17052157232338558,0.23446716194464806,0.0,0.0,0.0,0.0,1.8000000000000473,0.23446716194464806
DOTUSDT,binance,1h,,-0.08255577973382344,0,0.875,-0.6153546912326884,-0.2058393945139,0.661760249303995,29.81589352519295,0.035557797338237,1.2493955494812718,5.795337013215599,1.0,1.0,-1.6683418765668836,-3.9597219086199194,-5.44386531241612,0.8366163688696187,16.0,0.0,-2.1654884656535844,0.618710990186733,2.2217349193069182,0.0,0.0,0.0,0.0,0.11111111111111568,0.618710990186733
DOTUSDT,binance,1h,,0.001751553718402743,1,0.75,-1.3897171170910056,0.03401336043621898,0.1697805470289534,24.145127546994942,0.0324844628159714,1.10755072676343,1.9004880295244515,9.0,7.0,-0.288383176357718,-0.5659905499687493,-2.003719070492659,-0.9659640581768728,0.0,0.0,-0.6977694781371615,0.15391973782437246,0.43097526590825924,0.0,0.0,0.0,0.0,0.15384615384615385,0.2462715805190014
DOTUSDT,binance,1h,,0.0,0,1.0,-1.4044109511298126,0.017268937041397894,0.044949894988415506,23.20986390191307,0.03416772559132231,1.1867914411713203,3.2603743120305095,11.0,9.0,-1.6426082998913076,-2.0363623079194064,-3.430519730713926,-2.1575916665264576,2.0,0.0,-2.2438328960982266,0.2999907024131369,1.1706954240512435,0.0,0.0,0.0,0.0,0.6333333333333417,0.2341390848102513
