datetime,open,high,low,close,volume
2026-04-11 17:15:00,0.868,0.87,0.866,0.868,23460.71
2026-04-11 17:30:00,0.868,0.872,0.868,0.871,64381.63
2026-04-11 17:45:00,0.871,0.871,0.864,0.864,38611.88
2026-04-11 18:00:00,0.865,0.868,0.864,0.866,214762.67
2026-04-11 18:15:00,0.866,0.869,0.865,0.866,155790.5
2026-04-11 18:30:00,0.867,0.878,0.867,0.875,206577.0
2026-04-11 18:45:00,0.876,0.877,0.873,0.874,156512.76
2026-04-11 19:00:00,0.874,0.877,0.872,0.874,139399.35
2026-04-11 19:15:00,0.874,0.881,0.874,0.879,155415.36
2026-04-11 19:30:00,0.879,0.881,0.878,0.88,76448.2
2026-04-11 19:45:00,0.879,0.88,0.878,0.879,53694.98
2026-04-11 20:00:00,0.88,0.881,0.876,0.877,85171.69
2026-04-11 20:15:00,0.876,0.877,0.873,0.875,147191.25
2026-04-11 20:30:00,0.874,0.874,0.869,0.871,67581.77
2026-04-11 20:45:00,0.871,0.875,0.871,0.872,39578.6
2026-04-11 21:00:00,0.872,0.873,0.87,0.871,112301.8
2026-04-11 21:15:00,0.872,0.873,0.87,0.871,24815.92
2026-04-11 21:30:00,0.87,0.875,0.869,0.872,46459.93
2026-04-11 21:45:00,0.873,0.875,0.87,0.871,94316.79
2026-04-11 22:00:00,0.871,0.873,0.87,0.871,35488.19
2026-04-11 22:15:00,0.87,0.873,0.87,0.87,68370.4
2026-04-11 22:30:00,0.87,0.87,0.865,0.867,140100.53
2026-04-11 22:45:00,0.867,0.868,0.865,0.867,18939.41
2026-04-11 23:00:00,0.867,0.867,0.86,0.862,71674.92
2026-04-11 23:15:00,0.862,0.865,0.861,0.864,15847.81
2026-04-11 23:30:00,0.864,0.868,0.862,0.864,122538.59
2026-04-11 23:45:00,0.864,0.864,0.863,0.863,16674.03
2026-04-12 00:00:00,0.863,0.863,0.86,0.86,62965.27
2026-04-12 00:15:00,0.86,0.862,0.859,0.862,53429.73
2026-04-12 00:30:00,0.863,0.863,0.861,0.862,7470.08
2026-04-12 00:45:00,0.862,0.862,0.861,0.861,5410.76
2026-04-12 01:00:00,0.862,0.864,0.86,0.861,17861.4
2026-04-12 01:15:00,0.86,0.861,0.86,0.86,13707.37
2026-04-12 01:30:00,0.86,0.86,0.834,0.838,573961.71
2026-04-12 01:45:00,0.838,0.838,0.829,0.832,240799.17
2026-04-12 02:00:00,0.831,0.835,0.827,0.833,273894.66
2026-04-12 02:15:00,0.833,0.836,0.829,0.832,207414.64
2026-04-12 02:30:00,0.831,0.835,0.831,0.834,117172.33
2026-04-12 02:45:00,0.834,0.834,0.832,0.832,24929.89
2026-04-12 03:00:00,0.833,0.836,0.833,0.835,63246.1
2026-04-12 03:15:00,0.835,0.835,0.833,0.834,29697.7
2026-04-12 03:30:00,0.834,0.835,0.832,0.832,81790.13
2026-04-12 03:45:00,0.832,0.833,0.83,0.831,63903.27
2026-04-12 04:00:00,0.831,0.832,0.829,0.831,41662.61
2026-04-12 04:15:00,0.831,0.831,0.829,0.83,28282.04
2026-04-12 04:30:00,0.83,0.832,0.829,0.832,41418.95
2026-04-12 04:45:00,0.832,0.832,0.829,0.829,38255.08
2026-04-12 05:00:00,0.829,0.831,0.828,0.828,54807.04
2026-04-12 05:15:00,0.828,0.83,0.827,0.83,33851.27
2026-04-12 05:30:00,0.83,0.831,0.829,0.829,36747.46
2026-04-12 05:45:00,0.829,0.831,0.828,0.831,14697.43
2026-04-12 06:00:00,0.83,0.831,0.829,0.831,22617.65
2026-04-12 06:15:00,0.83,0.83,0.828,0.828,53685.99
2026-04-12 06:30:00,0.828,0.828,0.826,0.827,118590.09
2026-04-12 06:45:00,0.827,0.828,0.826,0.828,45278.71
2026-04-12 07:00:00,0.828,0.829,0.826,0.829,156259.85
2026-04-12 07:15:00,0.829,0.83,0.827,0.829,93541.5
2026-04-12 07:30:00,0.829,0.83,0.828,0.83,33794.65
2026-04-12 07:45:00,0.83,0.83,0.829,0.829,21143.25
2026-04-12 08:00:00,0.829,0.829,0.824,0.824,83168.1
2026-04-12 08:15:00,0.824,0.825,0.824,0.825,62931.46
2026-04-12 08:30:00,0.824,0.825,0.821,0.823,108557.2
2026-04-12 08:45:00,0.822,0.824,0.819,0.822,134345.11
2026-04-12 09:00:00,0.821,0.824,0.821,0.824,45361.32
2026-04-12 09:15:00,0.823,0.824,0.822,0.823,18122.43
2026-04-12 09:30:00,0.822,0.824,0.822,0.824,18918.71
2026-04-12 09:45:00,0.823,0.824,0.822,0.823,24814.04
2026-04-12 10:00:00,0.823,0.824,0.822,0.824,26450.08
2026-04-12 10:15:00,0.824,0.824,0.823,0.824,53589.24
2026-04-12 10:30:00,0.824,0.824,0.822,0.823,89924.69
2026-04-12 10:45:00,0.823,0.823,0.816,0.819,127255.24
2026-04-12 11:00:00,0.818,0.822,0.817,0.822,51813.93
2026-04-12 11:15:00,0.822,0.825,0.821,0.824,147149.35
2026-04-12 11:30:00,0.824,0.826,0.823,0.823,66380.33
