datetime,open,high,low,close,volume
2025-10-24 15:00:00,3.231,3.267,3.22,3.242,172682.34
2025-10-24 16:00:00,3.242,3.245,3.214,3.23,223265.4
2025-10-24 17:00:00,3.231,3.256,3.223,3.236,124216.82
2025-10-24 18:00:00,3.237,3.268,3.231,3.268,160347.55
2025-10-24 19:00:00,3.269,3.293,3.268,3.281,148106.18
2025-10-24 20:00:00,3.282,3.315,3.279,3.311,111617.55
2025-10-24 21:00:00,3.313,3.32,3.294,3.303,143099.45
2025-10-24 22:00:00,3.304,3.313,3.291,3.299,93997.76
2025-10-24 23:00:00,3.299,3.312,3.292,3.305,55391.15
2025-10-25 00:00:00,3.304,3.31,3.281,3.292,160679.71
2025-10-25 01:00:00,3.293,3.301,3.279,3.288,61566.41
2025-10-25 02:00:00,3.288,3.33,3.287,3.311,112335.48
2025-10-25 03:00:00,3.311,3.313,3.273,3.277,377971.26
2025-10-25 04:00:00,3.277,3.3,3.277,3.292,269476.53
2025-10-25 05:00:00,3.293,3.302,3.281,3.297,63204.62
2025-10-25 06:00:00,3.298,3.307,3.246,3.269,516970.61
2025-10-25 07:00:00,3.269,3.28,3.264,3.27,329722.21
2025-10-25 08:00:00,3.271,3.279,3.261,3.275,69283.94
2025-10-25 09:00:00,3.274,3.281,3.264,3.274,108840.75
2025-10-25 10:00:00,3.274,3.281,3.259,3.279,98778.76
2025-10-25 11:00:00,3.28,3.311,3.274,3.304,94263.68
2025-10-25 12:00:00,3.305,3.328,3.301,3.306,285582.29
2025-10-25 13:00:00,3.306,3.309,3.287,3.291,299666.1
2025-10-25 14:00:00,3.291,3.307,3.288,3.302,96857.0
2025-10-25 15:00:00,3.302,3.306,3.289,3.292,113094.04
2025-10-25 16:00:00,3.293,3.302,3.282,3.29,120863.87
2025-10-25 17:00:00,3.289,3.307,3.286,3.291,73453.14
2025-10-25 18:00:00,3.291,3.318,3.289,3.313,95740.05
2025-10-25 19:00:00,3.312,3.322,3.306,3.317,59333.85
2025-10-25 20:00:00,3.317,3.318,3.301,3.305,58686.02
2025-10-25 21:00:00,3.305,3.317,3.301,3.309,50745.42
2025-10-25 22:00:00,3.309,3.318,3.301,3.313,38648.6
2025-10-25 23:00:00,3.314,3.317,3.307,3.314,60002.27
2025-10-26 00:00:00,3.314,3.323,3.301,3.311,94364.52
2025-10-26 01:00:00,3.311,3.313,3.283,3.291,106663.14
2025-10-26 02:00:00,3.29,3.297,3.281,3.289,62675.49
2025-10-26 03:00:00,3.287,3.297,3.282,3.289,44694.9
2025-10-26 04:00:00,3.29,3.323,3.29,3.322,94533.45
2025-10-26 05:00:00,3.323,3.331,3.318,3.324,142569.02
2025-10-26 06:00:00,3.323,3.326,3.313,3.319,157480.07
2025-10-26 07:00:00,3.319,3.335,3.314,3.327,72494.92
2025-10-26 08:00:00,3.327,3.389,3.325,3.386,338017.24
2025-10-26 09:00:00,3.386,3.426,3.36,3.421,412371.28
2025-10-26 10:00:00,3.42,3.444,3.406,3.444,315800.44
2025-10-26 11:00:00,3.443,3.448,3.418,3.441,205394.78
2025-10-26 12:00:00,3.442,3.516,3.442,3.492,479616.88
2025-10-26 13:00:00,3.493,3.516,3.478,3.495,299430.89
2025-10-26 14:00:00,3.496,3.541,3.476,3.527,408403.45
2025-10-26 15:00:00,3.528,3.593,3.508,3.586,356458.96
2025-10-26 16:00:00,3.586,3.626,3.559,3.604,465930.75
2025-10-26 17:00:00,3.603,3.604,3.506,3.526,347912.24
2025-10-26 18:00:00,3.526,3.542,3.522,3.529,109383.36
2025-10-26 19:00:00,3.53,3.563,3.517,3.563,85113.95
2025-10-26 20:00:00,3.563,3.567,3.522,3.522,130089.95
2025-10-26 21:00:00,3.522,3.561,3.521,3.553,90072.75
2025-10-26 22:00:00,3.554,3.608,3.554,3.585,192574.46
2025-10-26 23:00:00,3.585,3.606,3.58,3.588,175710.71
2025-10-27 00:00:00,3.588,3.598,3.572,3.592,160512.32
2025-10-27 01:00:00,3.59,3.609,3.569,3.592,164648.57
2025-10-27 02:00:00,3.592,3.621,3.581,3.581,429878.49
2025-10-27 03:00:00,3.582,3.59,3.561,3.589,169636.83
2025-10-27 04:00:00,3.589,3.619,3.589,3.615,226960.63
2025-10-27 05:00:00,3.615,3.646,3.585,3.59,184472.49
2025-10-27 06:00:00,3.59,3.594,3.566,3.581,134588.13
2025-10-27 07:00:00,3.582,3.594,3.492,3.534,353782.68
2025-10-27 08:00:00,3.535,3.55,3.507,3.528,303168.4
2025-10-27 09:00:00,3.528,3.528,3.471,3.48,251798.09
2025-10-27 10:00:00,3.48,3.496,3.476,3.48,140952.74
2025-10-27 11:00:00,3.48,3.509,3.465,3.505,95023.45
2025-10-27 12:00:00,3.506,3.512,3.465,3.468,212065.45
2025-10-27 13:00:00,3.468,3.489,3.419,3.482,243732.97
2025-10-27 14:00:00,3.483,3.492,3.442,3.482,181546.8
2025-10-27 15:00:00,3.482,3.502,3.471,3.475,137021.77
2025-10-27 16:00:00,3.475,3.518,3.475,3.514,230595.22
2025-10-27 17:00:00,3.514,3.544,3.501,3.528,131142.77
2025-10-27 18:00:00,3.527,3.536,3.516,3.518,103147.36
2025-10-27 19:00:00,3.519,3.523,3.483,3.487,116822.02
2025-10-27 20:00:00,3.487,3.487,3.461,3.466,122907.42
2025-10-27 21:00:00,3.465,3.483,3.436,3.463,366884.36
2025-10-27 22:00:00,3.462,3.475,3.435,3.44,75791.7
2025-10-27 23:00:00,3.44,3.465,3.43,3.46,102650.91
2025-10-28 00:00:00,3.461,3.472,3.44,3.451,95487.93
2025-10-28 01:00:00,3.452,3.464,3.446,3.453,80473.7
2025-10-28 02:00:00,3.454,3.463,3.41,3.435,103488.64
2025-10-28 03:00:00,3.434,3.446,3.417,3.428,108635.21
2025-10-28 04:00:00,3.428,3.468,3.42,3.462,118606.08
2025-10-28 05:00:00,3.462,3.476,3.409,3.414,145398.24
2025-10-28 06:00:00,3.415,3.512,3.415,3.504,402533.87
2025-10-28 07:00:00,3.505,3.51,3.456,3.463,192088.15
2025-10-28 08:00:00,3.463,3.51,3.458,3.493,264240.47
2025-10-28 09:00:00,3.492,3.501,3.467,3.479,262029.53
2025-10-28 10:00:00,3.478,3.482,3.451,3.479,293114.35
2025-10-28 11:00:00,3.478,3.488,3.443,3.455,233735.78
2025-10-28 12:00:00,3.454,3.484,3.443,3.48,90159.25
2025-10-28 13:00:00,3.481,3.507,3.478,3.495,188301.88
