datetime,open,high,low,close,volume
2023-07-28,8.911,9.069,8.855,9.024,587440.04
2023-07-29,9.028,9.092,8.983,9.077,404708.41
2023-07-30,9.076,9.097,8.844,9.008,654452.82
2023-07-31,9.007,9.116,8.754,8.862,856518.94
2023-08-01,8.864,8.99,8.59,8.98,1070119.06
2023-08-02,8.981,9.025,8.682,8.717,897845.49
2023-08-03,8.714,8.781,8.585,8.616,737076.59
2023-08-04,8.616,8.682,8.371,8.479,854731.43
2023-08-05,8.479,8.541,8.368,8.507,665698.51
2023-08-06,8.508,8.584,8.449,8.486,553919.77
2023-08-07,8.49,8.592,8.265,8.499,1095875.76
2023-08-08,8.501,8.667,8.448,8.521,978778.97
2023-08-09,8.522,8.678,8.433,8.545,738045.65
2023-08-10,8.546,8.569,8.403,8.416,689840.04
2023-08-11,8.419,8.465,8.31,8.349,752563.35
2023-08-12,8.348,8.44,8.337,8.421,678137.27
2023-08-13,8.42,8.508,8.347,8.375,592151.89
2023-08-14,8.375,8.575,8.326,8.516,699463.57
2023-08-15,8.516,8.556,7.818,8.109,1396214.64
2023-08-16,8.105,8.129,7.591,7.802,1397206.84
2023-08-17,7.802,8.25,7.121,7.387,6336247.47
2023-08-18,7.387,7.696,7.361,7.571,2592940.39
2023-08-19,7.573,7.737,7.503,7.703,812234.9
2023-08-20,7.704,7.903,7.689,7.866,865738.76
2023-08-21,7.865,7.892,7.407,7.546,1071781.92
2023-08-22,7.544,7.558,7.105,7.401,1420968.55
2023-08-23,7.403,7.529,7.309,7.429,1026253.75
2023-08-24,7.429,7.454,7.093,7.206,1254195.03
2023-08-25,7.207,7.273,7.031,7.246,1116174.31
2023-08-26,7.246,7.262,7.135,7.154,1199365.33
2023-08-27,7.153,7.211,7.095,7.18,536603.15
2023-08-28,7.181,7.282,7.051,7.267,860797.77
2023-08-29,7.268,7.519,7.113,7.443,1513116.42
2023-08-30,7.443,7.458,7.172,7.221,1016397.84
2023-08-31,7.222,7.268,6.8,6.924,1622862.21
2023-09-01,6.924,6.978,6.641,6.665,1341722.73
2023-09-02,6.663,6.833,6.629,6.825,792791.27
2023-09-03,6.828,6.881,6.758,6.805,678322.37
2023-09-04,6.804,6.922,6.669,6.723,1279860.09
2023-09-05,6.721,6.856,6.664,6.813,998006.81
2023-09-06,6.815,6.927,6.701,6.895,889485.91
2023-09-07,6.894,6.991,6.808,6.948,796780.92
2023-09-08,6.95,7.0,6.771,6.837,778978.15
2023-09-09,6.836,6.929,6.807,6.851,677434.15
2023-09-10,6.851,6.853,6.501,6.66,1163809.01
2023-09-11,6.66,6.686,6.287,6.375,2411023.1
2023-09-12,6.374,6.565,6.335,6.38,1336356.14
2023-09-13,6.38,6.662,6.36,6.539,1171388.24
2023-09-14,6.539,6.92,6.5,6.834,1504448.04
2023-09-15,6.835,7.052,6.757,6.933,1333196.08
2023-09-16,6.933,7.172,6.933,7.144,936919.09
2023-09-17,7.145,7.171,6.9,6.943,1173770.19
2023-09-18,6.943,7.5,6.84,7.384,1949357.96
