datetime,open,high,low,close,volume
2026-04-08 14:40:00,1.758,1.759,1.757,1.757,2649.19
2026-04-08 14:45:00,1.758,1.758,1.753,1.757,3191.27
2026-04-08 14:50:00,1.756,1.757,1.752,1.755,5907.23
2026-04-08 14:55:00,1.754,1.754,1.751,1.754,1810.93
2026-04-08 15:00:00,1.754,1.758,1.753,1.757,1249.28
2026-04-08 15:05:00,1.757,1.759,1.756,1.757,2692.13
2026-04-08 15:10:00,1.757,1.758,1.757,1.757,631.62
2026-04-08 15:15:00,1.757,1.77,1.757,1.77,8511.2
2026-04-08 15:20:00,1.769,1.772,1.768,1.77,6881.18
2026-04-08 15:25:00,1.771,1.772,1.769,1.77,2430.77
2026-04-08 15:30:00,1.771,1.773,1.768,1.773,8408.95
2026-04-08 15:35:00,1.772,1.784,1.772,1.783,20562.6
2026-04-08 15:40:00,1.784,1.788,1.782,1.787,14573.44
2026-04-08 15:45:00,1.788,1.791,1.786,1.791,15946.03
2026-04-08 15:50:00,1.791,1.796,1.79,1.793,16128.11
2026-04-08 15:55:00,1.795,1.797,1.794,1.796,15480.85
2026-04-08 16:00:00,1.796,1.801,1.784,1.784,58462.39
2026-04-08 16:05:00,1.785,1.785,1.783,1.783,4973.04
2026-04-08 16:10:00,1.784,1.784,1.778,1.78,1958.63
2026-04-08 16:15:00,1.778,1.78,1.777,1.78,2461.27
2026-04-08 16:20:00,1.779,1.779,1.777,1.778,5796.67
2026-04-08 16:25:00,1.778,1.778,1.777,1.777,510.12
2026-04-08 16:30:00,1.777,1.783,1.776,1.783,1304.4
2026-04-08 16:35:00,1.783,1.783,1.782,1.783,259.66
2026-04-08 16:40:00,1.783,1.787,1.783,1.786,1670.68
2026-04-08 16:45:00,1.786,1.789,1.786,1.787,2405.96
2026-04-08 16:50:00,1.786,1.786,1.784,1.786,1410.91
2026-04-08 16:55:00,1.787,1.787,1.786,1.787,398.45
2026-04-08 17:00:00,1.786,1.792,1.786,1.791,4016.14
2026-04-08 17:05:00,1.792,1.795,1.792,1.795,9863.24
2026-04-08 17:10:00,1.795,1.795,1.789,1.789,6643.71
2026-04-08 17:15:00,1.79,1.791,1.789,1.79,1696.95
2026-04-08 17:20:00,1.79,1.79,1.789,1.789,1079.97
2026-04-08 17:25:00,1.79,1.79,1.788,1.788,4866.53
2026-04-08 17:30:00,1.787,1.79,1.784,1.784,3370.74
2026-04-08 17:35:00,1.785,1.788,1.784,1.785,1347.76
2026-04-08 17:40:00,1.784,1.785,1.784,1.785,220.81
2026-04-08 17:45:00,1.784,1.785,1.784,1.784,280.93
2026-04-08 17:50:00,1.784,1.784,1.783,1.783,94.4
2026-04-08 17:55:00,1.783,1.785,1.782,1.785,4178.92
2026-04-08 18:00:00,1.784,1.788,1.784,1.786,2289.89
2026-04-08 18:05:00,1.786,1.79,1.786,1.79,2072.09
2026-04-08 18:10:00,1.789,1.794,1.789,1.794,5427.86
2026-04-08 18:15:00,1.793,1.794,1.79,1.793,973.64
2026-04-08 18:20:00,1.792,1.792,1.789,1.789,1765.08
2026-04-08 18:25:00,1.789,1.789,1.788,1.789,376.16
2026-04-08 18:30:00,1.789,1.793,1.789,1.791,2146.42
2026-04-08 18:35:00,1.79,1.79,1.785,1.785,1464.61
2026-04-08 18:40:00,1.786,1.787,1.782,1.785,2333.07
2026-04-08 18:45:00,1.785,1.786,1.784,1.784,1245.51
2026-04-08 18:50:00,1.783,1.784,1.781,1.782,231.09
2026-04-08 18:55:00,1.781,1.786,1.78,1.786,2187.31
2026-04-08 19:00:00,1.787,1.788,1.784,1.788,925.68
2026-04-08 19:05:00,1.787,1.789,1.786,1.788,758.38
2026-04-08 19:10:00,1.788,1.789,1.788,1.789,20.29
2026-04-08 19:15:00,1.788,1.789,1.788,1.789,128.37
2026-04-08 19:20:00,1.79,1.79,1.787,1.787,148.21
2026-04-08 19:25:00,1.788,1.788,1.787,1.787,479.73
2026-04-08 19:30:00,1.787,1.788,1.784,1.785,1920.18
2026-04-08 19:35:00,1.784,1.784,1.781,1.784,7544.91
2026-04-08 19:40:00,1.785,1.786,1.784,1.785,459.52
2026-04-08 19:45:00,1.786,1.79,1.786,1.787,6570.78
2026-04-08 19:50:00,1.787,1.788,1.787,1.787,901.77
2026-04-08 19:55:00,1.786,1.788,1.786,1.788,58.67
2026-04-08 20:00:00,1.789,1.79,1.789,1.79,1175.57
2026-04-08 20:05:00,1.788,1.788,1.786,1.786,1355.58
2026-04-08 20:10:00,1.785,1.786,1.785,1.786,167.89
2026-04-08 20:15:00,1.786,1.786,1.782,1.782,2901.82
2026-04-08 20:20:00,1.781,1.781,1.78,1.781,1729.17
2026-04-08 20:25:00,1.781,1.781,1.78,1.78,305.6
2026-04-08 20:30:00,1.78,1.78,1.779,1.779,2100.45
2026-04-08 20:35:00,1.778,1.779,1.772,1.773,14313.69
2026-04-08 20:40:00,1.774,1.775,1.773,1.774,9043.47
2026-04-08 20:45:00,1.774,1.775,1.773,1.775,1002.33
2026-04-08 20:50:00,1.776,1.776,1.772,1.773,7604.97
2026-04-08 20:55:00,1.773,1.773,1.769,1.772,14058.71
2026-04-08 21:00:00,1.773,1.775,1.773,1.774,8316.27
2026-04-08 21:05:00,1.774,1.775,1.774,1.775,754.0
2026-04-08 21:10:00,1.775,1.778,1.775,1.777,2141.33
2026-04-08 21:15:00,1.778,1.781,1.778,1.781,1674.59
2026-04-08 21:20:00,1.78,1.785,1.78,1.785,3091.85
2026-04-08 21:25:00,1.784,1.79,1.783,1.789,22934.35
2026-04-08 21:30:00,1.788,1.79,1.788,1.788,626.06
2026-04-08 21:35:00,1.789,1.79,1.789,1.79,531.12
2026-04-08 21:40:00,1.79,1.794,1.79,1.794,11135.29
2026-04-08 21:45:00,1.793,1.796,1.792,1.795,11999.34
2026-04-08 21:50:00,1.795,1.795,1.793,1.793,170.66
2026-04-08 21:55:00,1.792,1.792,1.785,1.787,5415.56
2026-04-08 22:00:00,1.787,1.789,1.787,1.788,1613.91
2026-04-08 22:05:00,1.787,1.788,1.787,1.787,1782.53
2026-04-08 22:10:00,1.786,1.786,1.782,1.782,441.0
2026-04-08 22:15:00,1.783,1.785,1.783,1.784,1902.68
2026-04-08 22:20:00,1.784,1.787,1.782,1.786,7871.61
2026-04-08 22:25:00,1.786,1.786,1.781,1.782,1065.89
2026-04-08 22:30:00,1.781,1.788,1.78,1.788,4132.58
2026-04-08 22:35:00,1.789,1.791,1.788,1.789,2006.49
2026-04-08 22:40:00,1.788,1.788,1.788,1.788,756.94
2026-04-08 22:45:00,1.788,1.788,1.787,1.787,15.39
2026-04-08 22:50:00,1.788,1.79,1.787,1.787,1990.62
2026-04-08 22:55:00,1.788,1.788,1.784,1.784,476.05
2026-04-08 23:00:00,1.783,1.783,1.778,1.783,6839.16
2026-04-08 23:05:00,1.783,1.785,1.781,1.782,8711.97
2026-04-08 23:10:00,1.783,1.788,1.783,1.788,2246.54
2026-04-08 23:15:00,1.789,1.794,1.789,1.79,3848.77
2026-04-08 23:20:00,1.791,1.791,1.783,1.785,10555.84
2026-04-08 23:25:00,1.784,1.784,1.782,1.782,2819.09
2026-04-08 23:30:00,1.782,1.783,1.779,1.782,5555.17
2026-04-08 23:35:00,1.781,1.782,1.778,1.778,2194.45
2026-04-08 23:40:00,1.778,1.778,1.778,1.778,757.14
2026-04-08 23:45:00,1.777,1.78,1.777,1.78,1291.06
2026-04-08 23:50:00,1.78,1.781,1.778,1.779,1679.52
2026-04-08 23:55:00,1.78,1.781,1.779,1.779,298.87
2026-04-09 00:00:00,1.78,1.791,1.779,1.783,27578.88
2026-04-09 00:05:00,1.783,1.788,1.782,1.782,2135.81
2026-04-09 00:10:00,1.782,1.785,1.779,1.781,5240.72
2026-04-09 00:15:00,1.781,1.784,1.781,1.782,1005.79
2026-04-09 00:20:00,1.782,1.783,1.772,1.775,12374.78
2026-04-09 00:25:00,1.776,1.776,1.769,1.77,3181.9
2026-04-09 00:30:00,1.771,1.773,1.77,1.77,5545.7
2026-04-09 00:35:00,1.77,1.771,1.768,1.768,3535.38
2026-04-09 00:40:00,1.768,1.769,1.767,1.769,957.57
2026-04-09 00:45:00,1.77,1.772,1.77,1.772,447.79
2026-04-09 00:50:00,1.771,1.771,1.769,1.771,958.79
2026-04-09 00:55:00,1.772,1.775,1.772,1.775,345.79
2026-04-09 01:00:00,1.774,1.775,1.769,1.769,578.85
2026-04-09 01:05:00,1.769,1.769,1.762,1.764,11595.78
2026-04-09 01:10:00,1.765,1.767,1.765,1.766,1507.92
2026-04-09 01:15:00,1.766,1.768,1.763,1.763,2815.4
2026-04-09 01:20:00,1.763,1.763,1.762,1.762,1499.01
2026-04-09 01:25:00,1.763,1.768,1.763,1.766,1888.6
2026-04-09 01:30:00,1.766,1.776,1.765,1.773,11290.08
2026-04-09 01:35:00,1.772,1.775,1.77,1.774,3735.79
2026-04-09 01:40:00,1.775,1.778,1.775,1.778,3511.87
2026-04-09 01:45:00,1.777,1.778,1.774,1.777,2009.58
2026-04-09 01:50:00,1.777,1.779,1.776,1.779,3553.18
2026-04-09 01:55:00,1.778,1.78,1.777,1.778,7357.14
2026-04-09 02:00:00,1.779,1.779,1.778,1.779,382.43
2026-04-09 02:05:00,1.779,1.78,1.778,1.779,2777.93
2026-04-09 02:10:00,1.778,1.779,1.778,1.779,1227.71
2026-04-09 02:15:00,1.78,1.784,1.779,1.784,7240.0
2026-04-09 02:20:00,1.784,1.784,1.78,1.78,354.35
2026-04-09 02:25:00,1.781,1.785,1.78,1.784,5907.51
2026-04-09 02:30:00,1.785,1.788,1.785,1.787,6186.68
2026-04-09 02:35:00,1.788,1.788,1.778,1.778,1405.76
2026-04-09 02:40:00,1.778,1.78,1.777,1.78,3065.05
2026-04-09 02:45:00,1.779,1.78,1.777,1.779,600.41
2026-04-09 02:50:00,1.779,1.781,1.779,1.781,820.58
2026-04-09 02:55:00,1.78,1.783,1.779,1.783,406.68
2026-04-09 03:00:00,1.782,1.782,1.78,1.782,142.62
2026-04-09 03:05:00,1.782,1.783,1.781,1.782,334.33
2026-04-09 03:10:00,1.783,1.786,1.782,1.786,520.69
2026-04-09 03:15:00,1.786,1.789,1.786,1.787,1603.47
2026-04-09 03:20:00,1.786,1.786,1.784,1.786,1907.86
2026-04-09 03:25:00,1.787,1.787,1.784,1.787,3937.29
2026-04-09 03:30:00,1.787,1.789,1.787,1.788,1950.12
2026-04-09 03:35:00,1.788,1.788,1.787,1.787,900.81
2026-04-09 03:40:00,1.788,1.788,1.786,1.787,847.73
2026-04-09 03:45:00,1.786,1.79,1.783,1.784,20848.47
2026-04-09 03:50:00,1.785,1.786,1.784,1.785,1401.94
2026-04-09 03:55:00,1.785,1.785,1.784,1.785,2239.12
2026-04-09 04:00:00,1.785,1.788,1.783,1.783,18672.12
2026-04-09 04:05:00,1.785,1.788,1.784,1.784,3930.64
2026-04-09 04:10:00,1.784,1.789,1.784,1.789,6249.34
2026-04-09 04:15:00,1.788,1.793,1.788,1.791,9903.22
2026-04-09 04:20:00,1.791,1.791,1.787,1.787,2460.41
2026-04-09 04:25:00,1.788,1.791,1.788,1.79,4046.18
2026-04-09 04:30:00,1.79,1.792,1.788,1.79,4862.55
2026-04-09 04:35:00,1.791,1.798,1.791,1.793,23228.55
2026-04-09 04:40:00,1.793,1.798,1.793,1.793,11522.23
2026-04-09 04:45:00,1.793,1.794,1.792,1.792,1812.15
2026-04-09 04:50:00,1.791,1.791,1.788,1.789,386.22
2026-04-09 04:55:00,1.788,1.788,1.785,1.785,269.73
2026-04-09 05:00:00,1.785,1.785,1.777,1.78,19372.17
2026-04-09 05:05:00,1.779,1.781,1.779,1.78,1071.4
2026-04-09 05:10:00,1.781,1.781,1.78,1.781,4767.14
2026-04-09 05:15:00,1.781,1.783,1.781,1.783,1684.68
2026-04-09 05:20:00,1.784,1.788,1.783,1.786,11003.7
2026-04-09 05:25:00,1.787,1.79,1.787,1.79,567.13
2026-04-09 05:30:00,1.79,1.793,1.79,1.793,1134.4
2026-04-09 05:35:00,1.792,1.794,1.792,1.794,2241.28
2026-04-09 05:40:00,1.794,1.794,1.79,1.79,602.7
2026-04-09 05:45:00,1.791,1.792,1.791,1.792,24.42
2026-04-09 05:50:00,1.791,1.791,1.789,1.789,158.44
2026-04-09 05:55:00,1.789,1.789,1.789,1.789,0.0
2026-04-09 06:00:00,1.79,1.792,1.789,1.791,4942.69
2026-04-09 06:05:00,1.791,1.796,1.791,1.793,1960.62
2026-04-09 06:10:00,1.792,1.795,1.792,1.795,2032.98
2026-04-09 06:15:00,1.794,1.794,1.793,1.793,220.06
2026-04-09 06:20:00,1.794,1.795,1.792,1.792,658.94
2026-04-09 06:25:00,1.792,1.792,1.789,1.791,645.27
2026-04-09 06:30:00,1.791,1.795,1.789,1.789,1188.91
2026-04-09 06:35:00,1.79,1.794,1.79,1.792,2187.52
2026-04-09 06:40:00,1.792,1.792,1.791,1.791,1454.54
