datetime,open,high,low,close,volume
2026-03-11 12:00:00,1.508,1.543,1.507,1.526,730477.4
2026-03-11 13:00:00,1.526,1.555,1.519,1.53,882098.54
2026-03-11 14:00:00,1.53,1.546,1.53,1.532,337129.96
2026-03-11 15:00:00,1.533,1.535,1.503,1.519,314368.42
2026-03-11 16:00:00,1.519,1.528,1.513,1.524,264105.26
2026-03-11 17:00:00,1.525,1.538,1.516,1.528,231538.27
2026-03-11 18:00:00,1.528,1.54,1.528,1.537,241425.28
2026-03-11 19:00:00,1.537,1.55,1.533,1.539,321959.36
2026-03-11 20:00:00,1.538,1.544,1.527,1.532,305886.06
2026-03-11 21:00:00,1.533,1.536,1.526,1.532,137442.07
2026-03-11 22:00:00,1.533,1.538,1.53,1.537,161062.9
2026-03-11 23:00:00,1.536,1.539,1.518,1.522,135931.57
2026-03-12 00:00:00,1.523,1.526,1.514,1.522,132776.7
2026-03-12 01:00:00,1.522,1.522,1.509,1.514,240874.99
2026-03-12 02:00:00,1.514,1.517,1.501,1.502,227837.59
2026-03-12 03:00:00,1.502,1.508,1.496,1.498,119037.15
2026-03-12 04:00:00,1.499,1.504,1.496,1.501,122431.19
2026-03-12 05:00:00,1.5,1.504,1.493,1.5,82542.81
2026-03-12 06:00:00,1.5,1.504,1.496,1.503,147976.98
2026-03-12 07:00:00,1.503,1.51,1.5,1.51,131621.68
2026-03-12 08:00:00,1.51,1.518,1.508,1.511,136864.5
2026-03-12 09:00:00,1.511,1.524,1.505,1.517,153576.27
2026-03-12 10:00:00,1.517,1.528,1.512,1.52,164129.91
2026-03-12 11:00:00,1.519,1.519,1.505,1.508,163149.3
2026-03-12 12:00:00,1.508,1.512,1.501,1.507,152941.76
2026-03-12 13:00:00,1.507,1.508,1.491,1.498,382399.17
2026-03-12 14:00:00,1.499,1.508,1.485,1.494,341123.69
2026-03-12 15:00:00,1.494,1.509,1.492,1.503,199221.52
2026-03-12 16:00:00,1.503,1.509,1.496,1.502,108408.32
2026-03-12 17:00:00,1.503,1.505,1.493,1.497,142153.51
2026-03-12 18:00:00,1.496,1.503,1.489,1.499,84253.9
2026-03-12 19:00:00,1.499,1.514,1.498,1.508,141855.58
2026-03-12 20:00:00,1.508,1.511,1.502,1.508,243125.74
2026-03-12 21:00:00,1.508,1.515,1.507,1.514,110444.16
2026-03-12 22:00:00,1.514,1.517,1.512,1.516,224084.05
2026-03-12 23:00:00,1.517,1.527,1.512,1.518,242994.53
2026-03-13 00:00:00,1.517,1.55,1.513,1.533,653266.38
2026-03-13 01:00:00,1.533,1.542,1.529,1.54,191683.05
2026-03-13 02:00:00,1.54,1.542,1.526,1.529,160458.31
2026-03-13 03:00:00,1.53,1.536,1.523,1.533,171472.84
2026-03-13 04:00:00,1.533,1.534,1.52,1.523,80541.54
2026-03-13 05:00:00,1.523,1.531,1.513,1.525,261651.23
2026-03-13 06:00:00,1.524,1.526,1.5,1.503,924472.42
2026-03-13 07:00:00,1.502,1.509,1.499,1.506,373989.06
2026-03-13 08:00:00,1.507,1.514,1.502,1.508,283736.29
2026-03-13 09:00:00,1.507,1.517,1.507,1.513,335102.14
2026-03-13 10:00:00,1.514,1.527,1.514,1.523,297792.34
2026-03-13 11:00:00,1.523,1.524,1.512,1.517,324938.36
2026-03-13 12:00:00,1.518,1.536,1.514,1.532,267487.64
2026-03-13 13:00:00,1.532,1.549,1.529,1.537,778402.94
2026-03-13 14:00:00,1.537,1.547,1.512,1.514,711053.36
2026-03-13 15:00:00,1.515,1.523,1.5,1.507,466627.83
2026-03-13 16:00:00,1.508,1.515,1.497,1.51,375154.85
2026-03-13 17:00:00,1.511,1.512,1.479,1.484,548025.9
2026-03-13 18:00:00,1.485,1.486,1.468,1.477,439178.09
2026-03-13 19:00:00,1.476,1.48,1.466,1.47,301611.87
2026-03-13 20:00:00,1.471,1.474,1.462,1.472,388244.39
2026-03-13 21:00:00,1.472,1.482,1.458,1.464,293978.24
2026-03-13 22:00:00,1.465,1.465,1.447,1.457,404457.45
2026-03-13 23:00:00,1.457,1.469,1.457,1.464,168482.48
2026-03-14 00:00:00,1.463,1.463,1.45,1.452,232527.03
2026-03-14 01:00:00,1.451,1.455,1.439,1.45,254360.89
2026-03-14 02:00:00,1.45,1.451,1.44,1.448,208050.75
2026-03-14 03:00:00,1.448,1.456,1.447,1.45,123200.1
2026-03-14 04:00:00,1.449,1.457,1.442,1.448,194813.1
2026-03-14 05:00:00,1.448,1.449,1.438,1.44,169097.5
2026-03-14 06:00:00,1.44,1.44,1.432,1.437,181832.0
2026-03-14 07:00:00,1.437,1.439,1.432,1.438,104537.73
2026-03-14 08:00:00,1.438,1.443,1.436,1.44,167461.46
2026-03-14 09:00:00,1.439,1.442,1.43,1.433,138676.66
2026-03-14 10:00:00,1.432,1.437,1.428,1.436,209815.98
2026-03-14 11:00:00,1.436,1.441,1.436,1.437,100162.58
2026-03-14 12:00:00,1.437,1.444,1.436,1.437,128972.72
2026-03-14 13:00:00,1.438,1.438,1.43,1.435,167035.7
2026-03-14 14:00:00,1.435,1.437,1.429,1.431,283187.89
2026-03-14 15:00:00,1.43,1.437,1.421,1.434,252026.62
2026-03-14 16:00:00,1.434,1.435,1.426,1.43,103539.75
2026-03-14 17:00:00,1.429,1.433,1.426,1.428,119245.61
2026-03-14 18:00:00,1.427,1.43,1.423,1.426,187444.64
2026-03-14 19:00:00,1.425,1.425,1.411,1.413,326872.9
2026-03-14 20:00:00,1.412,1.417,1.405,1.413,292844.29
2026-03-14 21:00:00,1.412,1.416,1.408,1.412,215911.36
2026-03-14 22:00:00,1.412,1.416,1.407,1.408,215727.35
2026-03-14 23:00:00,1.408,1.416,1.403,1.414,451192.67
2026-03-15 00:00:00,1.413,1.418,1.401,1.407,421140.12
2026-03-15 01:00:00,1.407,1.412,1.392,1.407,473267.36
2026-03-15 02:00:00,1.407,1.432,1.407,1.425,388627.03
2026-03-15 03:00:00,1.425,1.429,1.416,1.418,219329.83
2026-03-15 04:00:00,1.419,1.426,1.416,1.419,195476.6
2026-03-15 05:00:00,1.419,1.423,1.413,1.415,227755.79
2026-03-15 06:00:00,1.415,1.419,1.41,1.418,162957.7
2026-03-15 07:00:00,1.418,1.424,1.416,1.419,89052.2
2026-03-15 08:00:00,1.419,1.422,1.416,1.419,107225.76
2026-03-15 09:00:00,1.419,1.425,1.419,1.425,140120.96
2026-03-15 10:00:00,1.424,1.435,1.424,1.426,134836.29
2026-03-15 11:00:00,1.427,1.442,1.426,1.433,341633.76
2026-03-15 12:00:00,1.433,1.444,1.43,1.436,241903.98
2026-03-15 13:00:00,1.437,1.438,1.416,1.424,441364.43
2026-03-15 14:00:00,1.423,1.428,1.416,1.419,262980.04
2026-03-15 15:00:00,1.419,1.42,1.415,1.417,128858.1
2026-03-15 16:00:00,1.417,1.422,1.41,1.412,199244.36
2026-03-15 17:00:00,1.412,1.43,1.411,1.423,199370.74
2026-03-15 18:00:00,1.423,1.424,1.411,1.412,142493.08
2026-03-15 19:00:00,1.412,1.423,1.411,1.422,122188.5
2026-03-15 20:00:00,1.422,1.431,1.42,1.423,166066.35
2026-03-15 21:00:00,1.424,1.436,1.419,1.432,249098.56
2026-03-15 22:00:00,1.432,1.445,1.417,1.44,558191.85
2026-03-15 23:00:00,1.44,1.446,1.426,1.441,574568.5
2026-03-16 00:00:00,1.442,1.448,1.432,1.438,285123.0
2026-03-16 01:00:00,1.438,1.448,1.432,1.443,274362.3
2026-03-16 02:00:00,1.443,1.447,1.433,1.445,125302.65
2026-03-16 03:00:00,1.444,1.489,1.44,1.477,870925.68
2026-03-16 04:00:00,1.478,1.533,1.478,1.524,1081294.86
2026-03-16 05:00:00,1.525,1.55,1.512,1.543,1958284.3
2026-03-16 06:00:00,1.543,1.588,1.535,1.578,2275798.76
2026-03-16 07:00:00,1.578,1.602,1.577,1.583,1948524.69
2026-03-16 08:00:00,1.584,1.625,1.584,1.602,1699603.17
2026-03-16 09:00:00,1.602,1.625,1.597,1.609,1078064.74
2026-03-16 10:00:00,1.608,1.609,1.57,1.597,1052258.6
2026-03-16 11:00:00,1.597,1.635,1.585,1.593,1617774.23
2026-03-16 12:00:00,1.593,1.604,1.585,1.586,663759.31
2026-03-16 13:00:00,1.587,1.607,1.578,1.591,721838.31
2026-03-16 14:00:00,1.591,1.593,1.565,1.575,835028.74
2026-03-16 15:00:00,1.575,1.586,1.56,1.568,636687.68
2026-03-16 16:00:00,1.568,1.598,1.567,1.59,512514.53
2026-03-16 17:00:00,1.59,1.603,1.588,1.603,472034.41
2026-03-16 18:00:00,1.603,1.625,1.6,1.609,559032.22
2026-03-16 19:00:00,1.609,1.618,1.602,1.612,458310.02
2026-03-16 20:00:00,1.612,1.652,1.607,1.632,963783.76
2026-03-16 21:00:00,1.633,1.662,1.628,1.628,661527.9
2026-03-16 22:00:00,1.628,1.647,1.624,1.629,557561.21
2026-03-16 23:00:00,1.629,1.653,1.621,1.64,732544.66
2026-03-17 00:00:00,1.641,1.643,1.619,1.633,636292.58
2026-03-17 01:00:00,1.632,1.633,1.611,1.62,611374.34
2026-03-17 02:00:00,1.621,1.625,1.612,1.612,389229.59
2026-03-17 03:00:00,1.612,1.618,1.594,1.604,480623.75
2026-03-17 04:00:00,1.603,1.62,1.593,1.6,475461.21
2026-03-17 05:00:00,1.599,1.604,1.588,1.598,281597.58
2026-03-17 06:00:00,1.598,1.6,1.59,1.595,287782.3
2026-03-17 07:00:00,1.596,1.616,1.596,1.613,241016.71
2026-03-17 08:00:00,1.614,1.64,1.613,1.617,598118.02
2026-03-17 09:00:00,1.618,1.628,1.61,1.612,414706.64
2026-03-17 10:00:00,1.611,1.613,1.602,1.608,194755.5
2026-03-17 11:00:00,1.607,1.612,1.601,1.603,189474.14
2026-03-17 12:00:00,1.602,1.605,1.583,1.586,255509.08
2026-03-17 13:00:00,1.586,1.601,1.585,1.594,301036.34
2026-03-17 14:00:00,1.594,1.601,1.589,1.594,220677.46
2026-03-17 15:00:00,1.593,1.603,1.585,1.593,291712.72
2026-03-17 16:00:00,1.592,1.595,1.582,1.589,139943.75
2026-03-17 17:00:00,1.589,1.599,1.586,1.599,188677.31
2026-03-17 18:00:00,1.599,1.605,1.596,1.602,188476.96
2026-03-17 19:00:00,1.602,1.602,1.592,1.593,140865.15
2026-03-17 20:00:00,1.594,1.604,1.593,1.603,154200.75
2026-03-17 21:00:00,1.603,1.625,1.603,1.618,286703.6
2026-03-17 22:00:00,1.618,1.624,1.615,1.624,229251.19
2026-03-17 23:00:00,1.623,1.634,1.617,1.62,365237.83
2026-03-18 00:00:00,1.621,1.635,1.617,1.631,366517.75
2026-03-18 01:00:00,1.63,1.638,1.622,1.624,347646.78
2026-03-18 02:00:00,1.623,1.649,1.623,1.641,360164.68
2026-03-18 03:00:00,1.642,1.654,1.634,1.637,380636.15
2026-03-18 04:00:00,1.637,1.645,1.629,1.636,272114.99
2026-03-18 05:00:00,1.636,1.65,1.624,1.626,222541.61
2026-03-18 06:00:00,1.626,1.64,1.625,1.627,138707.76
2026-03-18 07:00:00,1.626,1.631,1.619,1.624,319340.84
2026-03-18 08:00:00,1.625,1.636,1.62,1.624,238314.3
2026-03-18 09:00:00,1.624,1.64,1.623,1.634,126392.73
2026-03-18 10:00:00,1.634,1.638,1.63,1.633,210977.39
2026-03-18 11:00:00,1.633,1.635,1.593,1.604,633870.54
2026-03-18 12:00:00,1.603,1.603,1.581,1.587,473974.49
2026-03-18 13:00:00,1.588,1.596,1.579,1.582,368388.05
2026-03-18 14:00:00,1.583,1.584,1.551,1.552,587602.36
2026-03-18 15:00:00,1.553,1.564,1.539,1.561,508910.13
2026-03-18 16:00:00,1.56,1.562,1.55,1.553,230041.09
2026-03-18 17:00:00,1.553,1.571,1.546,1.56,175770.71
2026-03-18 18:00:00,1.56,1.576,1.553,1.558,253320.57
2026-03-18 19:00:00,1.558,1.568,1.549,1.552,144814.6
2026-03-18 20:00:00,1.552,1.563,1.54,1.562,322853.04
2026-03-18 21:00:00,1.561,1.565,1.556,1.561,137221.82
2026-03-18 22:00:00,1.56,1.567,1.553,1.566,181951.97
2026-03-18 23:00:00,1.566,1.578,1.554,1.577,266936.11
2026-03-19 00:00:00,1.577,1.579,1.56,1.563,258914.15
2026-03-19 01:00:00,1.563,1.564,1.555,1.559,184938.95
2026-03-19 02:00:00,1.558,1.559,1.547,1.549,139529.28
2026-03-19 03:00:00,1.549,1.57,1.546,1.555,335728.85
2026-03-19 04:00:00,1.555,1.559,1.55,1.554,112513.28
2026-03-19 05:00:00,1.553,1.555,1.541,1.545,116325.87
2026-03-19 06:00:00,1.545,1.55,1.542,1.546,192823.6
2026-03-19 07:00:00,1.545,1.548,1.525,1.533,372123.63
2026-03-19 08:00:00,1.532,1.537,1.528,1.53,111302.65
2026-03-19 09:00:00,1.531,1.548,1.53,1.547,236956.43
2026-03-19 10:00:00,1.546,1.547,1.531,1.531,113502.63
2026-03-19 11:00:00,1.53,1.544,1.53,1.54,92961.05
2026-03-19 12:00:00,1.54,1.543,1.521,1.523,264939.26
