datetime,open,high,low,close,volume
2023-07-28,18.39,18.85,18.37,18.47,387499.88
2023-07-29,18.46,18.63,18.41,18.61,117993.8
2023-07-30,18.62,19.13,18.27,18.87,695327.82
2023-07-31,18.88,19.07,18.35,18.5,445821.12
2023-08-01,18.49,18.56,17.77,18.53,459143.41
2023-08-02,18.53,18.6,17.88,18.08,305811.15
2023-08-03,18.07,18.18,17.83,17.93,267014.71
2023-08-04,17.93,18.13,17.72,17.93,255204.47
2023-08-05,17.93,17.97,17.72,17.94,153793.28
2023-08-06,17.94,18.01,17.8,17.83,143485.54
2023-08-07,17.83,18.01,17.21,17.71,390859.47
2023-08-08,17.71,18.14,17.6,17.94,436952.08
2023-08-09,17.94,18.07,17.68,17.85,286713.67
2023-08-10,17.85,17.89,17.63,17.74,183400.83
2023-08-11,17.73,17.76,17.53,17.64,104881.43
2023-08-12,17.65,17.75,17.6,17.73,82562.69
2023-08-13,17.74,17.86,17.43,17.53,161772.43
2023-08-14,17.53,17.64,17.36,17.51,161809.65
2023-08-15,17.51,17.52,16.0,16.71,742887.71
2023-08-16,16.72,16.75,15.76,16.24,597306.62
2023-08-17,16.24,16.39,13.5,14.93,1192008.97
2023-08-18,14.93,15.87,14.89,15.43,753677.14
2023-08-19,15.44,15.74,15.25,15.56,234757.69
2023-08-20,15.55,15.65,15.33,15.57,143790.51
2023-08-21,15.56,15.94,15.26,15.79,704412.77
2023-08-22,15.79,15.84,14.89,15.52,327272.42
2023-08-23,15.53,16.25,15.48,16.2,393963.29
2023-08-24,16.2,16.24,15.79,16.04,276447.77
2023-08-25,16.04,16.11,15.7,16.01,210817.77
2023-08-26,16.01,16.1,15.75,15.86,98223.13
2023-08-27,15.86,16.06,15.75,16.02,191959.15
2023-08-28,16.01,16.03,15.56,15.91,219383.08
2023-08-29,15.91,17.2,15.58,16.89,1129081.32
2023-08-30,16.89,16.91,15.98,16.01,778129.3
2023-08-31,16.01,16.2,15.11,15.53,648169.84
2023-09-01,15.52,15.64,15.2,15.37,297853.6
2023-09-02,15.39,15.55,15.28,15.45,177294.86
2023-09-03,15.46,15.53,15.23,15.38,137587.9
2023-09-04,15.39,15.57,15.15,15.37,174234.87
2023-09-05,15.37,15.44,15.11,15.39,186321.82
2023-09-06,15.4,15.68,15.13,15.49,271132.65
2023-09-07,15.5,15.69,15.34,15.58,189429.69
2023-09-08,15.58,15.67,15.2,15.43,206738.67
2023-09-09,15.42,15.52,15.35,15.4,95797.68
2023-09-10,15.4,15.41,14.52,15.08,385739.93
2023-09-11,15.08,15.18,14.41,14.71,482565.62
2023-09-12,14.71,15.32,14.68,14.97,439060.16
2023-09-13,14.97,15.25,14.85,15.16,268413.73
2023-09-14,15.16,15.38,15.01,15.26,257445.93
2023-09-15,15.26,15.83,15.21,15.69,290828.27
2023-09-16,15.69,15.97,15.48,15.66,233434.41
2023-09-17,15.65,15.66,15.17,15.42,196669.9
2023-09-18,15.42,16.03,15.24,15.69,495460.47
2023-09-19,15.68,15.98,15.6,15.75,294718.55
2023-09-20,15.76,15.8,15.35,15.58,245118.34
2023-09-21,15.58,15.65,15.06,15.22,361620.32
2023-09-22,15.22,15.33,15.06,15.19,143970.2
2023-09-23,15.19,15.29,15.13,15.26,127408.5
2023-09-24,15.26,15.4,14.96,15.09,202703.39
2023-09-25,15.09,15.34,14.92,15.22,218999.56
2023-09-26,15.23,15.28,14.83,15.12,302895.3
2023-09-27,15.11,15.76,15.06,15.35,504626.45
2023-09-28,15.35,15.98,15.32,15.81,497403.12
2023-09-29,15.8,16.08,15.67,15.87,389074.91
2023-09-30,15.87,16.85,15.82,16.35,729689.37
2023-10-01,16.35,16.82,16.22,16.7,568570.45
2023-10-02,16.7,16.89,15.81,16.14,548808.18
2023-10-03,16.15,16.66,15.64,15.7,541054.96
2023-10-04,15.69,15.72,15.16,15.63,317222.04
2023-10-05,15.64,15.81,15.37,15.44,234488.04
2023-10-06,15.44,15.84,15.4,15.72,175754.67
2023-10-07,15.71,15.78,15.54,15.66,196922.09
2023-10-08,15.65,15.71,15.36,15.49,193652.77
2023-10-09,15.5,15.51,14.6,15.04,408118.46
2023-10-10,15.05,15.15,14.81,14.94,178698.53
2023-10-11,14.94,14.97,14.58,14.94,262234.03
2023-10-12,14.93,15.07,14.62,14.79,337602.84
2023-10-13,14.78,15.0,14.7,14.85,185200.15
2023-10-14,14.85,15.02,14.82,14.99,132666.16
2023-10-15,15.0,15.07,14.87,14.94,166661.92
2023-10-16,14.94,15.88,14.92,15.24,614570.99
2023-10-17,15.25,15.27,14.75,14.96,357496.82
2023-10-18,14.95,15.1,14.78,14.81,275089.39
2023-10-19,14.81,14.88,14.62,14.8,403196.99
2023-10-20,14.81,15.53,14.75,15.3,482629.58
2023-10-21,15.31,15.86,15.24,15.74,491842.19
2023-10-22,15.75,15.9,15.35,15.88,465692.53
