datetime,open,high,low,close,volume
2026-01-22 15:00:00,11.47,11.53,11.41,11.44,17391.34
2026-01-22 15:30:00,11.43,11.58,11.43,11.53,5556.85
2026-01-22 16:00:00,11.53,11.57,11.49,11.52,5138.0
2026-01-22 16:30:00,11.53,11.6,11.52,11.58,4515.75
2026-01-22 17:00:00,11.59,11.61,11.53,11.53,2709.67
2026-01-22 17:30:00,11.54,11.61,11.52,11.61,3485.33
2026-01-22 18:00:00,11.6,11.61,11.57,11.57,5057.45
2026-01-22 18:30:00,11.58,11.61,11.54,11.54,2711.98
2026-01-22 19:00:00,11.54,11.55,11.51,11.52,3045.24
2026-01-22 19:30:00,11.53,11.6,11.53,11.57,3977.7
2026-01-22 20:00:00,11.56,11.58,11.49,11.5,3323.8
2026-01-22 20:30:00,11.5,11.53,11.49,11.53,4367.58
2026-01-22 21:00:00,11.53,11.57,11.52,11.56,1966.99
2026-01-22 21:30:00,11.55,11.55,11.52,11.55,1945.78
2026-01-22 22:00:00,11.54,11.59,11.53,11.55,4185.57
2026-01-22 22:30:00,11.55,11.57,11.52,11.55,3419.04
2026-01-22 23:00:00,11.55,11.58,11.51,11.57,1672.23
2026-01-22 23:30:00,11.57,11.59,11.56,11.58,4613.07
2026-01-23 00:00:00,11.58,11.62,11.57,11.59,3604.82
2026-01-23 00:30:00,11.58,11.63,11.58,11.61,3067.15
2026-01-23 01:00:00,11.61,11.65,11.61,11.64,3530.02
2026-01-23 01:30:00,11.65,11.7,11.65,11.7,8277.32
2026-01-23 02:00:00,11.7,11.7,11.67,11.67,1628.44
2026-01-23 02:30:00,11.68,11.68,11.65,11.66,641.23
2026-01-23 03:00:00,11.65,11.73,11.65,11.73,2795.24
2026-01-23 03:30:00,11.73,11.74,11.69,11.7,3114.39
2026-01-23 04:00:00,11.7,11.74,11.69,11.74,3307.9
2026-01-23 04:30:00,11.73,11.79,11.72,11.78,6420.99
2026-01-23 05:00:00,11.77,11.77,11.71,11.74,2254.12
2026-01-23 05:30:00,11.74,11.74,11.71,11.72,4767.42
2026-01-23 06:00:00,11.73,11.74,11.67,11.68,3370.23
2026-01-23 06:30:00,11.69,11.73,11.66,11.67,3458.8
2026-01-23 07:00:00,11.67,11.74,11.66,11.73,15618.96
2026-01-23 07:30:00,11.72,11.78,11.72,11.74,18378.35
2026-01-23 08:00:00,11.74,11.76,11.65,11.65,18498.32
2026-01-23 08:30:00,11.65,11.69,11.6,11.67,28520.55
2026-01-23 09:00:00,11.67,11.71,11.66,11.69,3001.62
2026-01-23 09:30:00,11.68,11.71,11.66,11.68,4227.08
2026-01-23 10:00:00,11.68,11.72,11.66,11.69,4926.58
2026-01-23 10:30:00,11.68,11.7,11.67,11.7,2823.51
2026-01-23 11:00:00,11.7,11.75,11.69,11.74,4581.25
2026-01-23 11:30:00,11.73,11.74,11.72,11.74,805.42
2026-01-23 12:00:00,11.74,11.75,11.72,11.72,2271.37
2026-01-23 12:30:00,11.72,11.74,11.71,11.73,3006.08
2026-01-23 13:00:00,11.73,11.75,11.72,11.73,1293.08
2026-01-23 13:30:00,11.73,11.73,11.68,11.68,4405.99
2026-01-23 14:00:00,11.68,11.69,11.66,11.68,2145.68
2026-01-23 14:30:00,11.68,11.68,11.47,11.55,20497.14
2026-01-23 15:00:00,11.55,11.6,11.49,11.57,6839.44
2026-01-23 15:30:00,11.58,11.69,11.57,11.68,4222.35
2026-01-23 16:00:00,11.68,11.7,11.59,11.6,6113.57
2026-01-23 16:30:00,11.61,11.74,11.58,11.68,5070.86
2026-01-23 17:00:00,11.67,11.79,11.62,11.79,2850.15
2026-01-23 17:30:00,11.78,11.84,11.72,11.73,8985.94
2026-01-23 18:00:00,11.72,11.79,11.7,11.75,3851.55
2026-01-23 18:30:00,11.76,11.78,11.72,11.73,5079.79
2026-01-23 19:00:00,11.73,11.73,11.64,11.64,7796.19
2026-01-23 19:30:00,11.64,11.66,11.6,11.64,4171.05
2026-01-23 20:00:00,11.63,11.66,11.62,11.63,8956.52
2026-01-23 20:30:00,11.63,11.63,11.56,11.59,5962.24
2026-01-23 21:00:00,11.59,11.64,11.59,11.64,2258.83
2026-01-23 21:30:00,11.63,11.63,11.6,11.6,3081.7
2026-01-23 22:00:00,11.6,11.67,11.59,11.67,1555.8
2026-01-23 22:30:00,11.67,11.68,11.65,11.67,1767.91
2026-01-23 23:00:00,11.67,11.67,11.62,11.63,1717.42
2026-01-23 23:30:00,11.64,11.68,11.64,11.67,727.55
2026-01-24 00:00:00,11.67,11.68,11.64,11.64,4565.77
2026-01-24 00:30:00,11.65,11.67,11.63,11.64,4258.25
2026-01-24 01:00:00,11.64,11.65,11.62,11.64,2559.81
2026-01-24 01:30:00,11.64,11.64,11.62,11.64,3604.25
2026-01-24 02:00:00,11.65,11.67,11.65,11.66,722.61
2026-01-24 02:30:00,11.67,11.69,11.66,11.68,1856.05
2026-01-24 03:00:00,11.67,11.7,11.66,11.7,4703.8
2026-01-24 03:30:00,11.7,11.73,11.67,11.69,4155.14
2026-01-24 04:00:00,11.69,11.71,11.68,11.68,3734.96
2026-01-24 04:30:00,11.68,11.69,11.67,11.68,3349.42
2026-01-24 05:00:00,11.68,11.68,11.67,11.67,1098.16
2026-01-24 05:30:00,11.67,11.68,11.65,11.67,3233.68
2026-01-24 06:00:00,11.67,11.68,11.66,11.67,3875.44
2026-01-24 06:30:00,11.68,11.69,11.68,11.68,475.0
2026-01-24 07:00:00,11.67,11.68,11.66,11.67,1891.68
2026-01-24 07:30:00,11.67,11.69,11.66,11.67,989.68
2026-01-24 08:00:00,11.67,11.68,11.65,11.67,731.62
2026-01-24 08:30:00,11.68,11.7,11.67,11.69,1801.21
2026-01-24 09:00:00,11.69,11.69,11.67,11.67,757.67
2026-01-24 09:30:00,11.67,11.68,11.67,11.68,367.64
2026-01-24 10:00:00,11.68,11.68,11.65,11.67,2066.21
2026-01-24 10:30:00,11.67,11.7,11.67,11.69,954.19
2026-01-24 11:00:00,11.7,11.71,11.69,11.71,2321.61
2026-01-24 11:30:00,11.71,11.72,11.7,11.7,1570.54
2026-01-24 12:00:00,11.71,11.71,11.69,11.71,1428.69
