datetime,open,high,low,close,volume
2020-10-12,10.0,430.0,10.0,32.4049,4047046.54
2020-10-19,32.3569,39.7777,20.6023,38.6663,5387902.82
2020-10-26,38.7826,40.8939,28.1306,31.6076,4767983.36
2020-11-02,31.5645,33.3249,27.9081,30.7588,5466249.88
2020-11-09,30.7588,32.3992,27.4413,27.7306,4016613.89
2020-11-16,27.7306,31.1452,27.1839,28.9382,5010444.3
2020-11-23,28.9279,35.3122,28.7314,30.0018,6684981.98
2020-11-30,30.0193,31.9769,28.9173,29.3247,3923320.67
2020-12-07,29.3252,34.0,29.2744,29.99,6906883.98
2020-12-14,29.9843,30.1557,27.822,28.3891,3524943.04
2020-12-21,28.3897,28.3967,21.2126,22.236,6992309.32
2020-12-28,22.2373,26.2,19.959,21.4253,8922694.18
2021-01-04,21.4398,24.3442,20.8888,23.4251,8160939.09
2021-01-11,23.4136,26.1297,20.9158,24.3442,9936443.84
2021-01-18,24.3355,24.9271,20.7176,22.7027,10318396.67
2021-01-25,22.7029,23.0362,21.193,22.2488,5964344.48
2021-02-01,22.249,25.6116,22.01,24.0475,9421409.72
2021-02-08,24.0399,53.0,23.819,47.125,36397329.5
2021-02-15,47.1332,50.6677,36.05,44.6468,20815393.36
2021-02-22,44.6216,44.835,31.4204,35.9652,15443518.41
2021-03-01,35.9677,45.0,35.5,41.3943,9938191.63
2021-03-08,41.4099,57.3707,40.4285,53.8001,12280880.14
2021-03-15,53.7835,96.6659,50.7144,80.651,26949089.96
2021-03-22,80.652,139.6672,73.3627,125.2637,25395715.66
2021-03-29,125.2633,238.2033,123.7402,182.7438,34070118.65
2021-04-05,182.8548,189.0,135.5526,179.0979,14518031.66
2021-04-12,179.0789,195.6962,130.0,156.3278,16197156.89
2021-04-19,156.2945,164.8186,130.0,134.04,8923574.4569
2021-04-26,134.04,168.0,133.47,162.46,7070648.1368
2021-05-03,162.46,165.63,135.1,146.5,7840770.8841
2021-05-10,146.51,149.33,87.26,107.81,12960840.433
2021-05-17,107.79,107.88,55.0,64.88,27647487.7559
2021-05-24,64.87,79.76,62.24,68.34,18323606.5035
2021-05-31,68.34,97.99,66.28,86.99,20872361.2564
2021-06-07,86.98,92.1,66.0,73.13,17801981.4102
2021-06-14,73.11,77.72,59.92,63.2,10293143.3035
2021-06-21,63.19,63.73,42.53,56.2,23741523.9923
2021-06-28,56.19,66.31,54.88,58.72,14866564.5852
2021-07-05,58.72,58.72,52.71,55.12,6690945.6088
2021-07-12,55.11,55.49,45.12,46.83,7224289.4887
2021-07-19,46.82,51.34,40.08,49.01,11662577.2272
2021-07-26,49.01,58.35,47.29,53.85,17173769.7963
2021-08-02,53.85,70.84,52.72,64.48,18030465.5159
2021-08-09,64.49,75.59,61.42,73.06,20351156.766
2021-08-16,73.06,79.29,66.0,77.17,17938990.7385
2021-08-23,77.16,82.48,70.33,73.63,16599738.8846
2021-08-30,73.62,120.17,70.43,113.65,25111539.8737
2021-09-06,113.64,118.5,71.2,83.63,48432105.54
2021-09-13,83.63,90.64,72.72,83.53,22263524.67
2021-09-20,83.54,83.69,50.0,55.77,47818550.4065
2021-09-27,55.78,73.98,54.71,69.11,37289740.1094
2021-10-04,69.1,81.22,65.66,69.81,33454780.12
2021-10-11,69.82,74.82,60.7,63.86,30314439.19
2021-10-18,63.86,68.2,61.23,62.59,20703331.88
2021-10-25,62.6,66.76,52.0,64.4,27548956.7
2021-11-01,64.41,66.46,58.0,62.56,20876192.09
2021-11-08,62.56,69.64,58.53,62.55,29188436.42
2021-11-15,62.54,63.42,48.53,53.15,38439021.2633
2021-11-22,53.16,59.49,48.62,56.46,38361246.17
2021-11-29,56.46,57.2,32.67,39.1,47325646.2613
2021-12-06,39.1,43.61,35.52,39.67,32533766.62
2021-12-13,39.68,40.02,35.21,35.79,20034514.17
2021-12-20,35.79,38.07,33.83,37.28,18198677.89
2021-12-27,37.29,41.27,33.29,35.74,24211638.33
2022-01-03,35.74,38.5,28.35,30.21,27102058.0373
2022-01-10,30.21,31.48,26.32,30.38,19261822.7224
2022-01-17,30.38,30.46,16.97,19.49,28138596.9251
2022-01-24,19.49,20.88,16.82,19.82,29406224.06
2022-01-31,19.82,22.81,18.97,22.45,18334294.86
2022-02-07,22.45,26.68,20.28,20.57,25181858.9229
2022-02-14,20.57,23.58,19.34,19.79,20245752.5
2022-02-21,19.8,21.35,16.73,20.36,21913584.76
2022-02-28,20.37,22.28,18.25,18.45,17340191.43
2022-03-07,18.46,19.38,17.03,17.24,11944625.33
2022-03-14,17.25,18.4,16.5,17.64,10583759.2
2022-03-21,17.65,24.1,17.34,23.7,22023204.32
2022-03-28,23.69,28.15,22.89,25.43,53962241.22
2022-04-04,25.43,26.57,20.81,21.02,27377849.0
2022-04-11,21.02,22.15,18.0,19.7,19895215.99
2022-04-18,19.7,21.17,18.43,18.91,21959213.68
2022-04-25,18.92,18.95,11.85,15.12,30874777.26
2022-05-02,15.12,15.96,12.8,13.1,28142269.9
2022-05-09,13.11,13.3,6.71,9.16,60332421.53
2022-05-16,9.17,9.17,7.38,8.45,19034121.1
2022-05-23,8.45,9.5,7.14,7.62,25311457.4
2022-05-30,7.62,8.36,7.21,7.36,17954334.51
2022-06-06,7.37,7.88,5.59,5.68,19722695.73
2022-06-13,5.68,5.94,4.8,5.49,29406565.09
2022-06-20,5.49,6.4,5.29,5.82,25374523.26
2022-06-27,5.82,6.11,5.08,5.3,20702358.27
2022-07-04,5.3,5.93,5.21,5.49,20989673.9
2022-07-11,5.5,5.98,5.0,5.68,25651667.77
2022-07-18,5.69,6.27,5.38,5.64,40260713.31
2022-07-25,5.64,10.72,5.1,9.77,100881729.92
2022-08-01,9.77,11.39,7.67,8.8,107611200.83
2022-08-08,8.79,9.4,7.71,8.23,53409985.73
2022-08-15,8.23,8.9,6.05,6.41,48784726.33
2022-08-22,6.41,6.6,5.56,5.63,28875730.55
2022-08-29,5.64,6.8,5.52,6.27,29271218.14
2022-09-05,6.27,6.99,5.52,6.41,35929970.92
2022-09-12,6.41,6.79,5.12,5.26,30753097.63
2022-09-19,5.26,5.91,5.1,5.71,29942718.92
2022-09-26,5.71,6.16,5.33,5.37,24786747.24
2022-10-03,5.38,5.66,5.28,5.43,11780195.92
2022-10-10,5.43,5.49,4.72,5.15,17452811.15
2022-10-17,5.16,5.28,4.8,5.11,14715249.51
2022-10-24,5.12,5.9,4.91,5.38,29939538.28
2022-10-31,5.38,6.56,5.09,5.83,46410580.49
2022-11-07,5.83,5.95,4.0,4.29,52693897.87
2022-11-14,4.28,4.55,4.08,4.16,21923520.45
2022-11-21,4.17,4.52,4.04,4.35,24989527.69
2022-11-28,4.35,4.71,4.13,4.58,23917623.05
2022-12-05,4.58,4.63,4.19,4.28,14353087.44
2022-12-12,4.28,4.374,2.419,3.046,69339270.76
2022-12-19,3.047,3.118,2.68,2.964,31649269.46
2022-12-26,2.963,3.32,2.907,3.108,28404885.51
2023-01-02,3.109,3.528,3.027,3.447,35725575.22
2023-01-09,3.446,4.99,3.432,4.699,80977070.69
2023-01-16,4.7,5.788,4.211,5.427,57605174.64
2023-01-23,5.424,5.776,4.808,5.477,54848305.05
2023-01-30,5.478,5.87,4.85,5.299,51882902.98
2023-02-06,5.3,5.718,4.61,4.919,46976744.23
2023-02-13,4.919,9.5,4.684,8.466,150667694.79
2023-02-20,8.467,9.183,6.35,6.906,141436574.5
2023-02-27,6.905,7.365,5.684,6.139,65997852.41
2023-03-06,6.138,6.245,4.654,5.714,86353275.78
2023-03-13,5.713,7.583,5.328,6.281,152959421.87
2023-03-20,6.281,6.454,5.255,5.681,68503903.29
2023-03-27,5.681,5.886,5.199,5.546,41670797.93
2023-04-03,5.546,6.016,5.336,5.749,41328867.68
2023-04-10,5.747,6.436,5.662,6.339,49490130.86
2023-04-17,6.338,6.369,5.122,5.269,43554582.65
2023-04-24,5.269,5.671,5.018,5.416,36994332.07
2023-05-01,5.417,5.461,4.993,5.031,25398897.51
2023-05-08,5.031,5.075,4.196,4.45,41326713.45
2023-05-15,4.45,4.672,4.332,4.376,26510452.46
2023-05-22,4.376,4.707,4.3,4.66,18566809.15
2023-05-29,4.66,5.027,4.586,4.661,29934027.04
2023-06-05,4.661,4.663,2.7,3.429,53028722.36
2023-06-12,3.428,3.82,3.294,3.681,26625493.5
