datetime,open,high,low,close,volume
2026-04-18 15:40:00,0.957,0.96,0.957,0.957,15253.42
2026-04-18 15:45:00,0.958,0.959,0.958,0.958,13548.69
2026-04-18 15:50:00,0.958,0.958,0.955,0.958,40685.19
2026-04-18 15:55:00,0.958,0.958,0.957,0.958,17060.59
2026-04-18 16:00:00,0.957,0.957,0.954,0.955,19440.86
2026-04-18 16:05:00,0.955,0.956,0.955,0.956,19304.81
2026-04-18 16:10:00,0.957,0.958,0.957,0.958,5303.4
2026-04-18 16:15:00,0.957,0.957,0.95,0.955,69243.54
2026-04-18 16:20:00,0.955,0.961,0.955,0.959,70856.61
2026-04-18 16:25:00,0.958,0.959,0.956,0.956,11578.53
2026-04-18 16:30:00,0.957,0.957,0.955,0.955,22371.18
2026-04-18 16:35:00,0.956,0.957,0.954,0.954,16685.0
2026-04-18 16:40:00,0.954,0.956,0.954,0.956,36267.95
2026-04-18 16:45:00,0.956,0.956,0.954,0.954,12350.44
2026-04-18 16:50:00,0.953,0.953,0.951,0.952,62436.22
2026-04-18 16:55:00,0.952,0.954,0.951,0.954,30393.7
2026-04-18 17:00:00,0.954,0.954,0.952,0.953,26848.45
2026-04-18 17:05:00,0.953,0.953,0.951,0.952,34413.03
2026-04-18 17:10:00,0.952,0.954,0.949,0.952,61752.35
2026-04-18 17:15:00,0.952,0.954,0.952,0.953,23024.74
2026-04-18 17:20:00,0.953,0.955,0.952,0.954,31564.49
2026-04-18 17:25:00,0.954,0.957,0.954,0.956,7315.39
2026-04-18 17:30:00,0.956,0.958,0.954,0.955,122563.43
2026-04-18 17:35:00,0.955,0.957,0.955,0.956,7778.58
2026-04-18 17:40:00,0.956,0.958,0.956,0.957,13874.58
2026-04-18 17:45:00,0.957,0.958,0.956,0.957,11161.29
2026-04-18 17:50:00,0.957,0.957,0.955,0.956,8897.68
2026-04-18 17:55:00,0.955,0.956,0.954,0.954,14667.67
2026-04-18 18:00:00,0.954,0.954,0.953,0.954,15279.66
2026-04-18 18:05:00,0.953,0.955,0.953,0.955,26631.06
2026-04-18 18:10:00,0.954,0.955,0.953,0.953,29915.98
2026-04-18 18:15:00,0.953,0.953,0.952,0.952,8720.87
2026-04-18 18:20:00,0.951,0.951,0.949,0.949,48261.08
2026-04-18 18:25:00,0.949,0.95,0.949,0.949,17430.79
2026-04-18 18:30:00,0.949,0.949,0.943,0.946,89957.34
2026-04-18 18:35:00,0.946,0.946,0.942,0.944,37069.6
2026-04-18 18:40:00,0.944,0.947,0.943,0.945,43116.81
2026-04-18 18:45:00,0.946,0.948,0.945,0.946,53430.8
2026-04-18 18:50:00,0.946,0.948,0.944,0.944,28610.7
2026-04-18 18:55:00,0.943,0.945,0.943,0.943,34253.61
2026-04-18 19:00:00,0.944,0.949,0.944,0.947,19996.75
2026-04-18 19:05:00,0.947,0.948,0.947,0.947,15232.1
2026-04-18 19:10:00,0.947,0.949,0.947,0.948,59023.17
2026-04-18 19:15:00,0.949,0.95,0.948,0.948,16533.12
2026-04-18 19:20:00,0.948,0.948,0.946,0.948,29408.16
2026-04-18 19:25:00,0.948,0.949,0.947,0.947,6907.38
2026-04-18 19:30:00,0.947,0.948,0.944,0.946,33389.9
2026-04-18 19:35:00,0.946,0.947,0.945,0.945,11363.23
2026-04-18 19:40:00,0.945,0.946,0.944,0.945,14422.73
2026-04-18 19:45:00,0.944,0.946,0.943,0.945,29867.91
2026-04-18 19:50:00,0.945,0.946,0.945,0.945,6526.84
2026-04-18 19:55:00,0.945,0.947,0.945,0.946,8814.54
2026-04-18 20:00:00,0.946,0.946,0.942,0.943,32230.77
2026-04-18 20:05:00,0.944,0.946,0.943,0.945,28891.78
2026-04-18 20:10:00,0.945,0.946,0.945,0.945,5743.11
2026-04-18 20:15:00,0.945,0.947,0.945,0.946,11233.91
2026-04-18 20:20:00,0.946,0.947,0.946,0.946,22507.49
2026-04-18 20:25:00,0.945,0.946,0.945,0.946,9100.76
2026-04-18 20:30:00,0.947,0.948,0.947,0.948,7917.44
2026-04-18 20:35:00,0.948,0.949,0.947,0.949,18225.8
