datetime,open,high,low,close,volume
2023-07-28,4.214,4.36,4.179,4.314,1913104.2
2023-07-29,4.315,4.388,4.278,4.334,689446.05
2023-07-30,4.334,4.373,4.19,4.27,1004278.4
2023-07-31,4.268,4.294,4.172,4.214,1005389.58
2023-08-01,4.212,4.254,4.08,4.253,1373151.61
2023-08-02,4.253,4.284,4.101,4.142,915140.18
2023-08-03,4.142,4.167,4.011,4.043,763995.35
2023-08-04,4.041,4.077,3.963,4.034,808471.14
2023-08-05,4.034,4.049,4.005,4.016,564191.77
2023-08-06,4.016,4.14,4.011,4.121,807022.92
2023-08-07,4.122,4.177,4.0,4.098,1456331.61
2023-08-08,4.098,4.198,4.055,4.104,1293030.35
2023-08-09,4.104,4.143,4.033,4.081,992970.03
2023-08-10,4.081,4.105,4.011,4.03,1199684.86
2023-08-11,4.03,4.051,3.999,4.035,579515.25
2023-08-12,4.033,4.068,4.019,4.046,580622.59
2023-08-13,4.047,4.089,4.025,4.03,787639.76
2023-08-14,4.03,4.133,4.02,4.053,1340834.27
2023-08-15,4.053,4.083,3.552,3.832,2005373.48
2023-08-16,3.832,3.856,3.568,3.702,1732544.35
2023-08-17,3.702,3.83,3.15,3.405,3287627.21
2023-08-18,3.405,3.538,3.385,3.506,1327012.73
2023-08-19,3.503,3.568,3.47,3.561,539302.18
2023-08-20,3.56,3.603,3.514,3.586,492795.61
2023-08-21,3.584,3.603,3.412,3.489,790869.24
2023-08-22,3.49,3.53,3.246,3.425,1401263.53
2023-08-23,3.426,3.638,3.371,3.601,2473000.85
2023-08-24,3.602,3.71,3.515,3.601,1513022.93
2023-08-25,3.6,3.603,3.458,3.515,1070188.91
2023-08-26,3.515,3.569,3.497,3.555,382518.28
2023-08-27,3.554,3.656,3.471,3.492,1173496.86
2023-08-28,3.491,3.509,3.425,3.489,914402.49
2023-08-29,3.492,3.744,3.419,3.649,2599391.01
2023-08-30,3.649,3.65,3.453,3.49,1734457.48
2023-08-31,3.489,3.498,3.254,3.34,1969865.34
2023-09-01,3.341,3.387,3.18,3.239,1108587.36
2023-09-02,3.239,3.279,3.209,3.255,565301.66
2023-09-03,3.257,3.282,3.199,3.257,651849.84
2023-09-04,3.257,3.34,3.2,3.272,1015202.97
2023-09-05,3.272,3.325,3.256,3.294,1069841.02
2023-09-06,3.295,3.38,3.24,3.37,1308772.56
2023-09-07,3.37,3.395,3.304,3.375,947136.28
2023-09-08,3.374,3.39,3.267,3.298,1008504.56
2023-09-09,3.298,3.308,3.254,3.262,493729.05
2023-09-10,3.261,3.261,3.035,3.094,1735001.26
2023-09-11,3.095,3.104,2.91,2.96,2480338.17
2023-09-12,2.96,3.089,2.923,2.93,1865393.03
2023-09-13,2.931,2.983,2.866,2.93,1838216.34
2023-09-14,2.932,2.986,2.902,2.921,1447760.58
2023-09-15,2.921,3.036,2.886,3.001,1743764.58
2023-09-16,3.002,3.119,2.965,3.003,1400178.11
2023-09-17,3.005,3.005,2.872,2.929,1093097.04
2023-09-18,2.929,3.029,2.897,2.98,1320440.43
2023-09-19,2.981,3.06,2.971,3.029,1134736.18
2023-09-20,3.03,3.041,2.934,3.0,1096040.96
2023-09-21,3.001,3.016,2.88,2.901,999886.7
2023-09-22,2.901,2.938,2.827,2.921,1094784.1
2023-09-23,2.922,2.966,2.912,2.965,529864.78
2023-09-24,2.965,2.992,2.893,2.922,716420.28
2023-09-25,2.922,3.016,2.881,3.001,1029658.09
2023-09-26,3.001,3.009,2.921,2.958,949891.81
2023-09-27,2.956,3.027,2.906,2.933,1091840.93
2023-09-28,2.933,3.092,2.926,3.08,1574469.79
2023-09-29,3.08,3.196,3.057,3.142,1834539.59
2023-09-30,3.141,3.22,3.108,3.162,1100190.52
2023-10-01,3.161,3.341,3.152,3.305,1103933.46
2023-10-02,3.305,3.316,3.03,3.121,1321175.28
2023-10-03,3.124,3.16,3.055,3.125,1299717.11
2023-10-04,3.125,3.21,3.014,3.165,1388192.36
2023-10-05,3.166,3.175,3.027,3.054,731613.71
2023-10-06,3.057,3.129,3.04,3.072,685412.76
2023-10-07,3.071,3.13,3.051,3.096,565575.8
2023-10-08,3.094,3.139,3.054,3.091,660341.38
2023-10-09,3.091,3.12,2.869,2.923,1745125.08
2023-10-10,2.924,2.985,2.916,2.971,905200.69
2023-10-11,2.972,2.984,2.875,2.934,1162527.9
2023-10-12,2.934,2.94,2.871,2.927,894924.89
2023-10-13,2.927,3.091,2.922,3.061,1290782.21
2023-10-14,3.06,3.131,3.045,3.102,1300863.64
2023-10-15,3.103,3.209,3.095,3.151,1273049.4
2023-10-16,3.151,3.266,3.116,3.159,1815828.35
2023-10-17,3.16,3.184,3.03,3.068,1122261.44
2023-10-18,3.068,3.161,3.046,3.055,1539423.91
2023-10-19,3.054,3.067,2.955,2.999,1090548.51
2023-10-20,2.999,3.154,2.987,3.124,1329118.61
2023-10-21,3.123,3.251,3.12,3.222,1210851.52
2023-10-22,3.221,3.243,3.11,3.233,1120555.79
2023-10-23,3.234,3.522,3.203,3.519,3878378.69
2023-10-24,3.518,3.665,3.43,3.601,3746013.11
2023-10-25,3.604,3.705,3.509,3.569,2215449.43
2023-10-26,3.569,3.711,3.431,3.543,3178319.63
2023-10-27,3.543,3.57,3.437,3.509,1471207.78
2023-10-28,3.509,3.767,3.505,3.71,1500556.59
2023-10-29,3.709,4.23,3.664,4.025,4903186.75
2023-10-30,4.025,4.081,3.902,4.037,2836564.1
2023-10-31,4.037,4.12,3.793,3.942,2031902.68
2023-11-01,3.941,4.08,3.767,4.072,2082912.68
2023-11-02,4.072,4.171,3.878,4.019,2535622.19
2023-11-03,4.019,4.02,3.802,3.946,1924084.67
2023-11-04,3.943,4.058,3.848,4.018,1554010.86
2023-11-05,4.016,4.209,3.971,4.06,2230779.69
2023-11-06,4.061,4.3,3.984,4.259,2294539.04
2023-11-07,4.259,4.277,4.033,4.189,2298981.47
2023-11-08,4.189,4.29,4.114,4.264,2157526.88
2023-11-09,4.265,4.416,3.699,4.089,5139375.52
2023-11-10,4.087,4.388,3.975,4.38,3318643.81
2023-11-11,4.381,4.568,4.23,4.462,4116879.51
2023-11-12,4.462,4.711,4.279,4.672,3721244.44
2023-11-13,4.67,4.96,4.505,4.514,6613068.38
2023-11-14,4.517,4.554,4.11,4.271,4038657.14
2023-11-15,4.27,4.79,4.217,4.735,3576698.55
2023-11-16,4.734,4.796,4.281,4.401,4823360.17
2023-11-17,4.399,4.519,4.155,4.336,3572132.27
2023-11-18,4.332,4.342,4.017,4.316,2485707.78
2023-11-19,4.316,4.626,4.234,4.58,2855134.69
2023-11-20,4.582,4.612,4.375,4.533,3053448.57
2023-11-21,4.531,4.7,4.05,4.079,3823250.91
2023-11-22,4.079,4.522,4.073,4.438,2122625.81
2023-11-23,4.44,4.643,4.434,4.597,2359648.47
2023-11-24,4.599,4.693,4.516,4.606,1595386.37
2023-11-25,4.604,4.786,4.569,4.721,1894814.12
2023-11-26,4.72,4.771,4.49,4.653,2004074.18
2023-11-27,4.653,4.715,4.355,4.478,2146494.79
2023-11-28,4.478,4.653,4.401,4.582,1564275.73
2023-11-29,4.585,4.676,4.456,4.513,1462662.63
2023-11-30,4.51,4.578,4.439,4.562,1210817.02
2023-12-01,4.562,4.837,4.525,4.69,2487151.99
2023-12-02,4.689,4.882,4.666,4.835,1410499.58
2023-12-03,4.834,4.864,4.648,4.711,1629730.48
2023-12-04,4.712,5.252,4.68,5.128,5506550.2
2023-12-05,5.13,5.2,4.902,5.112,2510920.86
2023-12-06,5.112,5.3,4.82,4.892,3876079.08
2023-12-07,4.889,5.09,4.766,5.064,2655945.99
2023-12-08,5.062,5.281,5.024,5.217,2071608.62
2023-12-09,5.216,5.664,5.216,5.573,4397800.57
