datetime,open,high,low,close,volume
2025-11-06 12:00:00,6.337,7.176,6.232,6.623,8858998.69
2025-11-06 16:00:00,6.621,7.288,6.544,6.945,6303718.17
2025-11-06 20:00:00,6.943,7.03,6.514,6.714,3255294.03
2025-11-07 00:00:00,6.714,7.326,6.447,7.255,4214157.03
2025-11-07 04:00:00,7.258,8.888,7.1,8.556,9503729.01
2025-11-07 08:00:00,8.556,8.81,7.745,8.116,8090943.5
2025-11-07 12:00:00,8.116,8.147,7.336,7.439,6398085.94
2025-11-07 16:00:00,7.439,7.93,7.232,7.493,5484847.75
2025-11-07 20:00:00,7.491,8.411,7.431,8.225,3532566.14
2025-11-08 00:00:00,8.226,9.425,7.753,8.709,7207478.81
2025-11-08 04:00:00,8.711,9.849,8.459,9.21,8997737.74
2025-11-08 08:00:00,9.207,9.45,8.204,8.451,5486065.86
2025-11-08 12:00:00,8.452,9.315,8.209,8.941,6915079.95
2025-11-08 16:00:00,8.942,9.603,8.654,8.975,6656669.04
2025-11-08 20:00:00,8.975,9.451,8.857,8.96,4215936.34
2025-11-09 00:00:00,8.959,9.4,7.495,7.618,8127062.02
2025-11-09 04:00:00,7.619,8.191,7.609,7.941,3953585.95
2025-11-09 08:00:00,7.942,7.997,6.82,7.099,8568212.72
2025-11-09 12:00:00,7.103,7.718,6.986,7.605,5482505.98
2025-11-09 16:00:00,7.604,8.25,7.426,7.946,3037311.38
2025-11-09 20:00:00,7.95,8.096,7.15,7.558,3250767.63
2025-11-10 00:00:00,7.558,7.615,7.108,7.262,3022311.24
2025-11-10 04:00:00,7.261,7.266,6.896,7.175,3851302.92
2025-11-10 08:00:00,7.175,7.291,6.93,7.048,2335910.49
2025-11-10 12:00:00,7.047,7.3,6.579,6.657,4288869.76
2025-11-10 16:00:00,6.657,6.95,6.619,6.903,2230348.18
2025-11-10 20:00:00,6.905,7.086,6.68,6.819,1745332.69
2025-11-11 00:00:00,6.82,7.207,6.559,7.158,2763558.98
2025-11-11 04:00:00,7.158,7.301,6.165,6.321,4290325.66
2025-11-11 08:00:00,6.322,6.405,6.214,6.338,1949741.81
2025-11-11 12:00:00,6.339,6.763,6.298,6.615,2459500.68
2025-11-11 16:00:00,6.619,6.64,6.214,6.237,1733458.63
2025-11-11 20:00:00,6.237,6.285,5.9,5.969,2145040.46
2025-11-12 00:00:00,5.97,6.267,5.775,6.051,2875587.56
2025-11-12 04:00:00,6.05,6.512,5.964,6.349,3110622.19
2025-11-12 08:00:00,6.351,6.675,6.269,6.361,3444749.44
2025-11-12 12:00:00,6.361,6.466,5.975,5.999,2607175.88
2025-11-12 16:00:00,5.999,6.264,5.836,6.168,2560839.5
2025-11-12 20:00:00,6.167,6.528,6.145,6.396,2313432.52
2025-11-13 00:00:00,6.395,6.664,6.132,6.185,2988356.23
2025-11-13 04:00:00,6.185,6.245,6.037,6.114,1412630.32
2025-11-13 08:00:00,6.112,6.385,5.972,6.135,2230734.45
2025-11-13 12:00:00,6.134,6.269,5.895,6.043,2105439.05
2025-11-13 16:00:00,6.043,6.125,5.71,5.781,3144420.63
2025-11-13 20:00:00,5.781,5.953,5.666,5.861,1539611.02
2025-11-14 00:00:00,5.861,6.085,5.783,5.979,1546765.16
2025-11-14 04:00:00,5.979,6.156,5.761,5.984,3456006.4
2025-11-14 08:00:00,5.985,5.999,5.669,5.796,2333506.66
2025-11-14 12:00:00,5.797,5.822,5.551,5.733,3058438.94
2025-11-14 16:00:00,5.734,5.737,5.379,5.663,2226800.73
2025-11-14 20:00:00,5.662,5.662,5.33,5.393,1856793.98
2025-11-15 00:00:00,5.394,5.529,5.288,5.429,2134957.66
2025-11-15 04:00:00,5.429,5.52,5.246,5.386,2134241.39
2025-11-15 08:00:00,5.385,5.393,5.174,5.261,1946242.74
2025-11-15 12:00:00,5.261,5.333,5.131,5.137,1510293.91
2025-11-15 16:00:00,5.137,5.309,5.127,5.269,1486117.91
2025-11-15 20:00:00,5.269,5.3,5.137,5.276,1145541.54
2025-11-16 00:00:00,5.276,5.479,5.186,5.355,2677753.42
2025-11-16 04:00:00,5.354,5.623,5.284,5.337,2150240.92
2025-11-16 08:00:00,5.336,5.53,5.267,5.302,2112864.07
2025-11-16 12:00:00,5.302,5.364,5.074,5.093,1976185.4
2025-11-16 16:00:00,5.092,5.151,4.873,4.933,2598511.94
2025-11-16 20:00:00,4.932,5.002,4.773,4.788,2244893.12
2025-11-17 00:00:00,4.787,5.07,4.667,4.966,3721995.13
2025-11-17 04:00:00,4.967,5.079,4.924,4.994,1718416.5
2025-11-17 08:00:00,4.993,5.022,4.854,4.895,2639320.44
2025-11-17 12:00:00,4.894,4.942,4.683,4.802,2445528.01
2025-11-17 16:00:00,4.802,5.614,4.75,5.451,8227921.72
2025-11-17 20:00:00,5.452,5.619,5.268,5.51,3653249.19
2025-11-18 00:00:00,5.512,6.06,5.398,5.669,8196247.55
2025-11-18 04:00:00,5.668,5.856,5.483,5.71,4436135.95
2025-11-18 08:00:00,5.711,5.894,5.294,5.341,4255702.06
2025-11-18 12:00:00,5.341,5.361,5.157,5.207,3004446.86
2025-11-18 16:00:00,5.207,5.293,5.043,5.075,2248904.18
2025-11-18 20:00:00,5.075,5.17,5.032,5.096,1569807.71
2025-11-19 00:00:00,5.095,5.248,5.056,5.087,1707632.83
2025-11-19 04:00:00,5.088,5.094,4.916,5.084,1658226.2
2025-11-19 08:00:00,5.085,5.178,5.009,5.047,1515658.7
2025-11-19 12:00:00,5.047,5.138,4.88,4.963,2576506.82
2025-11-19 16:00:00,4.962,4.989,4.626,4.908,3501712.16
2025-11-19 20:00:00,4.908,5.013,4.765,4.964,1872880.59
2025-11-20 00:00:00,4.964,5.007,4.924,4.949,1097915.61
2025-11-20 04:00:00,4.949,5.059,4.905,5.025,1235478.56
2025-11-20 08:00:00,5.024,5.144,4.965,5.042,1641208.85
2025-11-20 12:00:00,5.042,5.074,4.831,4.834,2033677.43
2025-11-20 16:00:00,4.834,4.853,4.629,4.679,2446082.78
2025-11-20 20:00:00,4.679,4.757,4.568,4.617,1367470.75
2025-11-21 00:00:00,4.618,4.748,4.615,4.622,1300183.29
2025-11-21 04:00:00,4.621,4.699,4.159,4.417,3306213.96
2025-11-21 08:00:00,4.417,4.447,4.202,4.215,1909258.14
2025-11-21 12:00:00,4.215,4.36,4.119,4.231,2305501.29
2025-11-21 16:00:00,4.231,4.474,4.172,4.321,1620435.14
2025-11-21 20:00:00,4.321,4.379,4.224,4.307,789951.32
2025-11-22 00:00:00,4.305,4.381,4.269,4.281,857744.45
2025-11-22 04:00:00,4.281,4.293,4.092,4.185,1953906.79
2025-11-22 08:00:00,4.184,4.187,4.07,4.138,1159292.42
2025-11-22 12:00:00,4.138,4.172,4.053,4.085,998068.61
2025-11-22 16:00:00,4.086,4.125,4.056,4.063,534744.29
2025-11-22 20:00:00,4.063,4.095,3.977,4.038,929640.71
2025-11-23 00:00:00,4.038,4.175,3.982,4.121,1462247.07
2025-11-23 04:00:00,4.122,4.139,4.02,4.065,738202.61
2025-11-23 08:00:00,4.065,4.169,4.044,4.098,912452.74
2025-11-23 12:00:00,4.098,4.144,4.038,4.094,1036096.37
2025-11-23 16:00:00,4.093,4.133,4.051,4.107,839984.73
2025-11-23 20:00:00,4.105,4.175,4.041,4.05,727568.99
2025-11-24 00:00:00,4.049,4.25,4.004,4.168,1271697.65
2025-11-24 04:00:00,4.168,4.198,4.067,4.106,1102583.15
2025-11-24 08:00:00,4.105,4.134,3.983,4.006,849631.86
2025-11-24 12:00:00,4.006,4.154,3.85,4.139,2003005.72
2025-11-24 16:00:00,4.138,4.303,4.03,4.254,1762654.39
2025-11-24 20:00:00,4.255,4.314,4.184,4.198,1014019.26
2025-11-25 00:00:00,4.198,4.215,4.094,4.113,487368.35
2025-11-25 04:00:00,4.112,4.134,4.029,4.037,476030.27
2025-11-25 08:00:00,4.036,4.081,3.985,4.036,720541.96
2025-11-25 12:00:00,4.036,4.232,4.009,4.162,1330350.4
2025-11-25 16:00:00,4.163,4.473,4.123,4.262,2912727.48
2025-11-25 20:00:00,4.263,4.397,4.251,4.349,1216499.26
2025-11-26 00:00:00,4.35,4.38,4.275,4.288,870523.13
2025-11-26 04:00:00,4.289,4.292,4.214,4.249,710149.46
2025-11-26 08:00:00,4.248,4.287,4.114,4.136,825265.94
2025-11-26 12:00:00,4.135,4.24,4.088,4.12,1293415.37
2025-11-26 16:00:00,4.12,4.314,4.12,4.267,970446.7
2025-11-26 20:00:00,4.268,4.273,4.2,4.24,514133.35
2025-11-27 00:00:00,4.24,4.294,4.142,4.147,749728.63
2025-11-27 04:00:00,4.148,4.184,4.094,4.153,744348.74
2025-11-27 08:00:00,4.152,4.166,4.023,4.068,881460.8
2025-11-27 12:00:00,4.067,4.145,4.045,4.133,543222.42
2025-11-27 16:00:00,4.134,4.189,4.123,4.14,650679.31
2025-11-27 20:00:00,4.14,4.15,4.002,4.037,933656.65
2025-11-28 00:00:00,4.036,4.065,3.963,4.046,624903.96
2025-11-28 04:00:00,4.046,4.046,3.994,4.038,407902.57
2025-11-28 08:00:00,4.038,4.14,4.037,4.056,791326.2
2025-11-28 12:00:00,4.055,4.141,4.054,4.119,642583.74
2025-11-28 16:00:00,4.12,4.132,3.995,4.041,720114.11
2025-11-28 20:00:00,4.04,4.066,3.997,4.033,301986.67
2025-11-29 00:00:00,4.032,4.125,4.026,4.103,397316.41
2025-11-29 04:00:00,4.103,4.171,4.094,4.131,634591.16
2025-11-29 08:00:00,4.131,4.141,4.046,4.078,499050.71
2025-11-29 12:00:00,4.077,4.087,3.926,3.989,861931.21
2025-11-29 16:00:00,3.99,4.011,3.918,3.95,705766.2
2025-11-29 20:00:00,3.95,4.032,3.93,4.001,412973.17
2025-11-30 00:00:00,4.002,4.029,3.968,4.017,360531.67
2025-11-30 04:00:00,4.017,4.077,3.965,4.015,376898.51
2025-11-30 08:00:00,4.014,4.034,3.964,3.97,357310.09
2025-11-30 12:00:00,3.97,4.017,3.919,3.948,504295.17
2025-11-30 16:00:00,3.948,3.995,3.935,3.96,364111.13
2025-11-30 20:00:00,3.96,4.018,3.801,3.828,705458.21
2025-12-01 00:00:00,3.828,3.855,3.562,3.582,2710366.31
2025-12-01 04:00:00,3.582,3.657,3.544,3.573,982870.94
2025-12-01 08:00:00,3.573,3.623,3.571,3.595,503349.69
2025-12-01 12:00:00,3.596,3.762,3.561,3.735,1387555.16
2025-12-01 16:00:00,3.736,3.737,3.586,3.624,794011.88
2025-12-01 20:00:00,3.623,3.72,3.622,3.713,439222.93
2025-12-02 00:00:00,3.714,3.74,3.677,3.732,428443.54
2025-12-02 04:00:00,3.732,3.733,3.676,3.694,383429.47
2025-12-02 08:00:00,3.694,3.694,3.63,3.642,546225.22
2025-12-02 12:00:00,3.643,3.955,3.625,3.948,1557822.41
2025-12-02 16:00:00,3.949,3.953,3.807,3.808,915351.58
2025-12-02 20:00:00,3.809,3.84,3.745,3.763,717856.21
2025-12-03 00:00:00,3.763,3.81,3.729,3.739,802141.64
2025-12-03 04:00:00,3.738,3.83,3.706,3.755,924688.33
2025-12-03 08:00:00,3.755,3.777,3.654,3.693,787446.52
2025-12-03 12:00:00,3.692,3.723,3.586,3.676,1390392.24
2025-12-03 16:00:00,3.677,3.782,3.641,3.77,1073399.17
2025-12-03 20:00:00,3.771,3.807,3.734,3.74,613037.76
2025-12-04 00:00:00,3.74,3.808,3.725,3.771,557096.08
2025-12-04 04:00:00,3.771,3.806,3.747,3.787,443865.74
2025-12-04 08:00:00,3.787,3.877,3.768,3.797,861201.77
2025-12-04 12:00:00,3.796,3.839,3.632,3.731,1126258.9
2025-12-04 16:00:00,3.731,3.783,3.592,3.69,745199.82
2025-12-04 20:00:00,3.689,3.701,3.625,3.641,247721.86
2025-12-05 00:00:00,3.641,3.68,3.629,3.637,246999.77
2025-12-05 04:00:00,3.636,3.658,3.585,3.637,395531.46
2025-12-05 08:00:00,3.636,3.641,3.511,3.532,539687.84
2025-12-05 12:00:00,3.532,3.568,3.471,3.485,787342.96
2025-12-05 16:00:00,3.485,3.486,3.375,3.441,1072452.28
2025-12-05 20:00:00,3.441,3.523,3.413,3.482,570263.34
2025-12-06 00:00:00,3.483,3.645,3.477,3.568,762182.47
2025-12-06 04:00:00,3.567,3.567,3.484,3.5,385212.74
2025-12-06 08:00:00,3.499,3.515,3.473,3.509,476257.36
2025-12-06 12:00:00,3.509,3.535,3.477,3.503,415653.35
2025-12-06 16:00:00,3.502,3.549,3.491,3.492,390520.94
2025-12-06 20:00:00,3.493,3.516,3.462,3.499,356557.99
2025-12-07 00:00:00,3.498,3.516,3.463,3.489,280980.67
2025-12-07 04:00:00,3.489,3.514,3.472,3.486,211025.3
2025-12-07 08:00:00,3.485,3.488,3.422,3.438,281623.27
2025-12-07 12:00:00,3.439,3.468,3.316,3.425,989618.32
2025-12-07 16:00:00,3.425,3.512,3.385,3.495,769668.73
2025-12-07 20:00:00,3.495,3.521,3.343,3.427,824336.9
2025-12-08 00:00:00,3.427,3.517,3.411,3.487,619148.41
2025-12-08 04:00:00,3.487,3.563,3.475,3.525,828277.81
2025-12-08 08:00:00,3.525,3.566,3.492,3.496,545478.39
2025-12-08 12:00:00,3.496,3.509,3.42,3.435,589833.25
2025-12-08 16:00:00,3.434,3.487,3.415,3.44,452214.66
2025-12-08 20:00:00,3.44,3.467,3.39,3.397,416141.27
2025-12-09 00:00:00,3.398,3.407,3.348,3.395,399447.34
2025-12-09 04:00:00,3.396,3.402,3.313,3.361,406585.61
2025-12-09 08:00:00,3.361,3.391,3.318,3.385,360579.55
2025-12-09 12:00:00,3.385,3.544,3.378,3.541,1024850.04
2025-12-09 16:00:00,3.542,3.706,3.542,3.651,1211705.64
2025-12-09 20:00:00,3.652,3.778,3.566,3.744,915524.18
2025-12-10 00:00:00,3.744,3.754,3.569,3.578,618405.7
2025-12-10 04:00:00,3.577,3.588,3.525,3.534,428302.47
2025-12-10 08:00:00,3.533,3.551,3.469,3.494,574028.24
2025-12-10 12:00:00,3.494,3.537,3.48,3.496,594563.58
2025-12-10 16:00:00,3.496,3.596,3.481,3.557,1032939.87
2025-12-10 20:00:00,3.559,3.642,3.429,3.449,743781.56
2025-12-11 00:00:00,3.45,3.45,3.308,3.313,800318.71
2025-12-11 04:00:00,3.312,3.353,3.274,3.309,538446.82
2025-12-11 08:00:00,3.308,3.372,3.285,3.347,508124.12
2025-12-11 12:00:00,3.347,3.423,3.323,3.388,841704.21
2025-12-11 16:00:00,3.387,3.412,3.348,3.363,564455.15
2025-12-11 20:00:00,3.362,3.47,3.361,3.413,340476.9
2025-12-12 00:00:00,3.413,3.439,3.379,3.409,321528.31
2025-12-12 04:00:00,3.408,3.442,3.385,3.397,343603.68
2025-12-12 08:00:00,3.398,3.433,3.377,3.405,325023.19
2025-12-12 12:00:00,3.405,3.424,3.254,3.278,771605.69
2025-12-12 16:00:00,3.278,3.33,3.236,3.285,872286.66
2025-12-12 20:00:00,3.285,3.304,3.205,3.234,465057.84
2025-12-13 00:00:00,3.234,3.269,3.201,3.269,293851.84
2025-12-13 04:00:00,3.269,3.278,3.242,3.245,182602.77
2025-12-13 08:00:00,3.246,3.283,3.24,3.263,227304.22
2025-12-13 12:00:00,3.263,3.278,3.234,3.264,336264.29
2025-12-13 16:00:00,3.264,3.312,3.26,3.284,272961.0
2025-12-13 20:00:00,3.285,3.309,3.242,3.301,244550.4
2025-12-14 00:00:00,3.301,3.301,3.25,3.255,144508.52
2025-12-14 04:00:00,3.255,3.259,3.212,3.229,174670.96
2025-12-14 08:00:00,3.228,3.241,3.166,3.212,430926.77
2025-12-14 12:00:00,3.211,3.221,3.158,3.175,384773.99
2025-12-14 16:00:00,3.175,3.192,3.129,3.138,433196.15
2025-12-14 20:00:00,3.139,3.152,3.032,3.066,602201.33
2025-12-15 00:00:00,3.067,3.195,3.031,3.16,706110.62
2025-12-15 04:00:00,3.161,3.29,3.159,3.216,1015848.47
2025-12-15 08:00:00,3.216,3.219,3.171,3.174,477433.51
2025-12-15 12:00:00,3.173,3.209,3.079,3.082,1399946.62
2025-12-15 16:00:00,3.083,3.09,2.95,3.026,1631034.64
2025-12-15 20:00:00,3.026,3.042,2.986,3.036,397360.2
2025-12-16 00:00:00,3.035,3.035,2.978,3.0,381622.08
2025-12-16 04:00:00,3.001,3.008,2.952,2.967,400800.37
2025-12-16 08:00:00,2.967,3.091,2.965,3.081,543869.48
2025-12-16 12:00:00,3.082,3.104,3.007,3.096,1115489.41
2025-12-16 16:00:00,3.097,3.126,3.048,3.094,549994.42
2025-12-16 20:00:00,3.094,3.112,3.054,3.066,230779.07
2025-12-17 00:00:00,3.065,3.081,3.038,3.052,185952.43
2025-12-17 04:00:00,3.052,3.068,3.026,3.052,387835.52
2025-12-17 08:00:00,3.052,3.052,2.995,3.024,295046.91
2025-12-17 12:00:00,3.024,3.128,2.97,2.995,1316177.2
2025-12-17 16:00:00,2.994,3.015,2.867,2.92,1081170.44
2025-12-17 20:00:00,2.92,2.945,2.878,2.883,372309.75
2025-12-18 00:00:00,2.883,2.914,2.855,2.888,376834.76
2025-12-18 04:00:00,2.888,2.906,2.854,2.881,374984.01
2025-12-18 08:00:00,2.88,2.927,2.874,2.917,691329.55
2025-12-18 12:00:00,2.918,3.057,2.915,3.026,893598.73
2025-12-18 16:00:00,3.027,3.038,2.766,2.777,1171867.68
2025-12-18 20:00:00,2.778,2.844,2.778,2.804,570641.53
2025-12-19 00:00:00,2.803,2.877,2.749,2.85,904778.51
2025-12-19 04:00:00,2.851,2.917,2.847,2.877,511561.84
2025-12-19 08:00:00,2.877,2.902,2.86,2.89,265619.04
2025-12-19 12:00:00,2.89,2.973,2.876,2.923,655255.7
2025-12-19 16:00:00,2.923,2.979,2.88,2.966,856099.01
2025-12-19 20:00:00,2.967,3.002,2.917,2.951,473666.79
2025-12-20 00:00:00,2.95,2.95,2.907,2.913,247641.37
2025-12-20 04:00:00,2.912,2.932,2.885,2.932,295418.81
2025-12-20 08:00:00,2.932,2.969,2.922,2.962,473873.95
2025-12-20 12:00:00,2.962,3.033,2.941,3.017,838828.41
2025-12-20 16:00:00,3.018,3.071,2.983,3.065,541005.52
2025-12-20 20:00:00,3.065,3.494,3.048,3.438,4563608.0
2025-12-21 00:00:00,3.437,3.437,3.214,3.304,1937916.16
2025-12-21 04:00:00,3.304,3.33,3.164,3.192,819801.0
2025-12-21 08:00:00,3.192,3.194,3.108,3.113,739376.41
2025-12-21 12:00:00,3.113,3.139,3.055,3.075,1079160.25
2025-12-21 16:00:00,3.074,3.101,3.024,3.08,610650.42
2025-12-21 20:00:00,3.08,3.081,3.011,3.057,524802.3
2025-12-22 00:00:00,3.056,3.115,3.003,3.056,937842.58
2025-12-22 04:00:00,3.057,3.077,3.007,3.073,530909.07
2025-12-22 08:00:00,3.074,3.108,3.041,3.045,691361.54
2025-12-22 12:00:00,3.045,3.095,3.01,3.065,881741.85
2025-12-22 16:00:00,3.064,3.204,3.056,3.074,1420378.75
2025-12-22 20:00:00,3.073,3.102,3.005,3.041,602981.6
2025-12-23 00:00:00,3.041,3.08,2.997,3.032,436894.22
2025-12-23 04:00:00,3.03,3.041,2.974,2.98,581147.97
2025-12-23 08:00:00,2.979,3.01,2.975,2.986,457230.9
2025-12-23 12:00:00,2.986,3.004,2.932,2.954,783008.68
2025-12-23 16:00:00,2.953,3.038,2.945,3.012,623417.26
2025-12-23 20:00:00,3.012,3.042,2.985,3.035,672663.08
2025-12-24 00:00:00,3.034,3.053,2.965,2.995,497591.19
2025-12-24 04:00:00,2.995,3.015,2.957,2.964,273418.28
2025-12-24 08:00:00,2.963,3.001,2.944,2.966,542089.62
2025-12-24 12:00:00,2.966,3.009,2.947,2.992,522699.45
2025-12-24 16:00:00,2.991,3.022,2.954,2.972,409184.02
2025-12-24 20:00:00,2.973,3.027,2.97,3.01,278877.53
2025-12-25 00:00:00,3.01,3.064,2.998,3.063,264646.42
2025-12-25 04:00:00,3.064,3.104,3.056,3.092,407539.83
2025-12-25 08:00:00,3.092,3.106,3.024,3.047,512952.66
2025-12-25 12:00:00,3.046,3.086,3.038,3.075,406080.4
2025-12-25 16:00:00,3.076,3.084,3.031,3.082,415456.96
2025-12-25 20:00:00,3.082,3.132,2.971,2.982,844469.22
2025-12-26 00:00:00,2.981,3.105,2.968,3.038,871766.3
2025-12-26 04:00:00,3.038,3.05,3.007,3.013,247420.16
2025-12-26 08:00:00,3.012,3.037,3.007,3.03,267244.57
2025-12-26 12:00:00,3.031,3.048,2.99,3.003,634217.22
2025-12-26 16:00:00,3.003,3.017,2.932,3.004,485623.24
2025-12-26 20:00:00,3.003,3.015,2.969,2.987,179201.02
2025-12-27 00:00:00,2.986,3.058,2.984,3.05,341564.68
2025-12-27 04:00:00,3.051,3.055,3.013,3.034,232801.52
2025-12-27 08:00:00,3.034,3.065,3.002,3.058,363948.2
2025-12-27 12:00:00,3.058,3.076,3.041,3.063,687186.13
2025-12-27 16:00:00,3.064,3.07,3.041,3.044,358926.97
2025-12-27 20:00:00,3.044,3.088,3.025,3.075,332475.39
2025-12-28 00:00:00,3.075,3.09,3.052,3.073,213792.51
2025-12-28 04:00:00,3.071,3.112,3.059,3.103,318982.14
2025-12-28 08:00:00,3.103,3.133,3.08,3.097,468784.77
2025-12-28 12:00:00,3.098,3.111,3.061,3.086,427611.38
2025-12-28 16:00:00,3.085,3.096,3.027,3.028,360533.9
2025-12-28 20:00:00,3.027,3.045,3.013,3.04,312113.71
2025-12-29 00:00:00,3.04,3.112,3.021,3.101,798551.24
2025-12-29 04:00:00,3.101,3.13,3.068,3.104,510845.22
2025-12-29 08:00:00,3.104,3.109,3.022,3.04,482473.45
2025-12-29 12:00:00,3.039,3.043,2.951,2.958,1094637.33
2025-12-29 16:00:00,2.957,2.991,2.948,2.96,572860.66
2025-12-29 20:00:00,2.96,2.968,2.871,2.889,557011.73
2025-12-30 00:00:00,2.889,2.905,2.852,2.891,558459.74
2025-12-30 04:00:00,2.89,2.934,2.876,2.903,449162.52
2025-12-30 08:00:00,2.904,2.944,2.902,2.942,311179.99
2025-12-30 12:00:00,2.942,2.948,2.888,2.918,491639.42
2025-12-30 16:00:00,2.919,2.934,2.831,2.849,532747.27
2025-12-30 20:00:00,2.849,2.855,2.822,2.837,393123.51
2025-12-31 00:00:00,2.837,2.86,2.818,2.835,366050.62
2025-12-31 04:00:00,2.836,2.85,2.823,2.836,584816.91
2025-12-31 08:00:00,2.835,2.847,2.807,2.824,507782.93
2025-12-31 12:00:00,2.823,2.828,2.775,2.781,653989.26
2025-12-31 16:00:00,2.782,2.789,2.662,2.697,1143069.03
2025-12-31 20:00:00,2.698,2.849,2.679,2.841,3324454.58
2026-01-01 00:00:00,2.841,2.984,2.825,2.856,2444762.01
2026-01-01 04:00:00,2.855,2.909,2.818,2.855,1392417.45
2026-01-01 08:00:00,2.855,2.937,2.854,2.929,703003.47
2026-01-01 12:00:00,2.928,3.016,2.908,2.983,1130064.71
2026-01-01 16:00:00,2.984,3.097,2.962,3.018,1616871.95
2026-01-01 20:00:00,3.018,3.032,2.973,3.002,657888.33
