datetime,open,high,low,close,volume
2025-10-24 15:00:00,0.519,0.522,0.513,0.515,254451.68
2025-10-24 16:00:00,0.515,0.516,0.507,0.512,286668.65
2025-10-24 17:00:00,0.512,0.516,0.512,0.513,273189.27
2025-10-24 18:00:00,0.513,0.522,0.513,0.521,270446.28
2025-10-24 19:00:00,0.52,0.525,0.52,0.523,133995.28
2025-10-24 20:00:00,0.522,0.542,0.522,0.531,1133462.51
2025-10-24 21:00:00,0.531,0.536,0.529,0.536,125730.95
2025-10-24 22:00:00,0.535,0.535,0.53,0.533,125363.61
2025-10-24 23:00:00,0.532,0.532,0.529,0.53,88621.75
2025-10-25 00:00:00,0.531,0.534,0.525,0.525,415624.17
2025-10-25 01:00:00,0.526,0.53,0.525,0.529,129376.11
2025-10-25 02:00:00,0.529,0.535,0.528,0.534,130941.57
2025-10-25 03:00:00,0.533,0.533,0.527,0.527,104274.65
2025-10-25 04:00:00,0.527,0.534,0.527,0.532,101201.42
2025-10-25 05:00:00,0.532,0.532,0.527,0.53,54715.83
2025-10-25 06:00:00,0.531,0.531,0.526,0.526,58175.43
2025-10-25 07:00:00,0.526,0.533,0.526,0.528,100622.79
2025-10-25 08:00:00,0.528,0.53,0.527,0.53,75539.01
2025-10-25 09:00:00,0.53,0.531,0.526,0.527,54411.22
2025-10-25 10:00:00,0.526,0.527,0.522,0.524,33253.89
2025-10-25 11:00:00,0.524,0.526,0.523,0.525,32817.61
2025-10-25 12:00:00,0.524,0.531,0.524,0.531,84836.46
2025-10-25 13:00:00,0.53,0.535,0.528,0.533,104434.93
2025-10-25 14:00:00,0.533,0.542,0.533,0.536,249393.18
2025-10-25 15:00:00,0.536,0.537,0.532,0.536,105208.85
2025-10-25 16:00:00,0.537,0.537,0.532,0.534,200588.69
2025-10-25 17:00:00,0.534,0.54,0.533,0.537,103584.85
2025-10-25 18:00:00,0.536,0.541,0.535,0.539,82765.59
2025-10-25 19:00:00,0.538,0.54,0.538,0.54,58549.58
2025-10-25 20:00:00,0.54,0.541,0.538,0.54,58814.57
2025-10-25 21:00:00,0.54,0.54,0.535,0.538,54944.22
2025-10-25 22:00:00,0.537,0.539,0.535,0.539,55698.23
2025-10-25 23:00:00,0.539,0.54,0.537,0.537,84183.4
2025-10-26 00:00:00,0.538,0.538,0.534,0.535,72850.53
2025-10-26 01:00:00,0.535,0.537,0.529,0.53,131852.3
2025-10-26 02:00:00,0.53,0.532,0.528,0.528,68742.93
2025-10-26 03:00:00,0.529,0.53,0.526,0.528,89368.87
2025-10-26 04:00:00,0.528,0.533,0.528,0.533,70567.55
2025-10-26 05:00:00,0.533,0.535,0.532,0.535,77992.07
2025-10-26 06:00:00,0.535,0.535,0.532,0.534,36633.71
2025-10-26 07:00:00,0.534,0.538,0.532,0.536,62466.66
2025-10-26 08:00:00,0.536,0.539,0.535,0.538,62999.92
2025-10-26 09:00:00,0.537,0.546,0.536,0.546,376851.85
2025-10-26 10:00:00,0.546,0.546,0.542,0.544,101504.54
2025-10-26 11:00:00,0.543,0.553,0.542,0.552,241660.89
2025-10-26 12:00:00,0.552,0.557,0.55,0.556,658779.89
2025-10-26 13:00:00,0.556,0.563,0.554,0.562,210246.02
2025-10-26 14:00:00,0.562,0.564,0.556,0.559,374464.76
2025-10-26 15:00:00,0.558,0.562,0.555,0.562,145325.52
2025-10-26 16:00:00,0.562,0.562,0.557,0.558,196789.17
2025-10-26 17:00:00,0.558,0.561,0.558,0.559,44761.57
2025-10-26 18:00:00,0.559,0.559,0.551,0.552,1039183.85
2025-10-26 19:00:00,0.552,0.556,0.551,0.555,495160.36
2025-10-26 20:00:00,0.555,0.556,0.551,0.551,176314.88
2025-10-26 21:00:00,0.552,0.556,0.551,0.556,86154.81
2025-10-26 22:00:00,0.556,0.568,0.556,0.564,322620.7
2025-10-26 23:00:00,0.565,0.568,0.558,0.559,502103.82
2025-10-27 00:00:00,0.559,0.568,0.557,0.566,251772.15
2025-10-27 01:00:00,0.566,0.568,0.562,0.567,239003.25
2025-10-27 02:00:00,0.566,0.567,0.56,0.56,118501.86
2025-10-27 03:00:00,0.561,0.565,0.559,0.561,216186.53
2025-10-27 04:00:00,0.561,0.563,0.559,0.563,92548.9
2025-10-27 05:00:00,0.563,0.57,0.561,0.562,151049.09
2025-10-27 06:00:00,0.562,0.562,0.556,0.558,100200.37
2025-10-27 07:00:00,0.557,0.56,0.55,0.554,355111.97
2025-10-27 08:00:00,0.554,0.555,0.544,0.545,424427.17
2025-10-27 09:00:00,0.545,0.545,0.538,0.541,475255.74
2025-10-27 10:00:00,0.541,0.544,0.539,0.539,175958.08
2025-10-27 11:00:00,0.539,0.543,0.536,0.541,126914.46
2025-10-27 12:00:00,0.541,0.542,0.534,0.535,201660.99
2025-10-27 13:00:00,0.536,0.541,0.532,0.539,353385.23
2025-10-27 14:00:00,0.54,0.54,0.533,0.536,200283.45
2025-10-27 15:00:00,0.536,0.544,0.536,0.54,353646.23
2025-10-27 16:00:00,0.54,0.553,0.54,0.553,341052.27
2025-10-27 17:00:00,0.553,0.563,0.551,0.555,422257.97
2025-10-27 18:00:00,0.555,0.56,0.553,0.553,227495.12
2025-10-27 19:00:00,0.553,0.554,0.547,0.549,224652.85
2025-10-27 20:00:00,0.549,0.549,0.542,0.543,199778.16
