datetime,open,high,low,close,volume
2026-04-18 15:40:00,3.28,3.285,3.28,3.282,410.76
2026-04-18 15:45:00,3.281,3.282,3.28,3.28,18.57
2026-04-18 15:50:00,3.281,3.282,3.275,3.278,3845.73
2026-04-18 15:55:00,3.278,3.281,3.277,3.279,1204.08
2026-04-18 16:00:00,3.279,3.279,3.27,3.27,1965.81
2026-04-18 16:05:00,3.27,3.279,3.27,3.279,748.05
2026-04-18 16:10:00,3.28,3.283,3.28,3.283,864.19
2026-04-18 16:15:00,3.281,3.281,3.261,3.277,9841.66
2026-04-18 16:20:00,3.277,3.292,3.276,3.288,6772.28
2026-04-18 16:25:00,3.288,3.288,3.281,3.281,426.14
2026-04-18 16:30:00,3.281,3.283,3.275,3.275,609.4
2026-04-18 16:35:00,3.276,3.276,3.272,3.274,382.19
2026-04-18 16:40:00,3.273,3.273,3.269,3.269,509.3
2026-04-18 16:45:00,3.269,3.272,3.262,3.264,5772.79
2026-04-18 16:50:00,3.263,3.263,3.253,3.256,3906.65
2026-04-18 16:55:00,3.256,3.261,3.255,3.261,572.53
2026-04-18 17:00:00,3.26,3.26,3.241,3.246,13553.97
2026-04-18 17:05:00,3.246,3.247,3.24,3.244,978.76
2026-04-18 17:10:00,3.244,3.244,3.229,3.237,7478.0
2026-04-18 17:15:00,3.238,3.244,3.238,3.243,884.0
2026-04-18 17:20:00,3.243,3.244,3.24,3.243,3699.52
2026-04-18 17:25:00,3.244,3.253,3.244,3.251,1092.06
2026-04-18 17:30:00,3.251,3.257,3.249,3.254,5307.07
2026-04-18 17:35:00,3.253,3.255,3.252,3.253,564.76
2026-04-18 17:40:00,3.252,3.254,3.251,3.252,833.31
2026-04-18 17:45:00,3.252,3.253,3.251,3.253,140.46
2026-04-18 17:50:00,3.253,3.253,3.249,3.25,625.21
2026-04-18 17:55:00,3.249,3.249,3.244,3.244,1161.14
2026-04-18 18:00:00,3.243,3.244,3.22,3.23,9523.15
2026-04-18 18:05:00,3.231,3.241,3.231,3.239,4383.32
2026-04-18 18:10:00,3.239,3.239,3.232,3.234,1142.99
2026-04-18 18:15:00,3.233,3.233,3.229,3.229,1607.18
2026-04-18 18:20:00,3.229,3.23,3.22,3.221,9746.83
2026-04-18 18:25:00,3.222,3.229,3.221,3.228,2375.33
2026-04-18 18:30:00,3.229,3.229,3.208,3.215,6297.91
2026-04-18 18:35:00,3.216,3.216,3.207,3.21,906.53
2026-04-18 18:40:00,3.209,3.214,3.206,3.211,3100.94
2026-04-18 18:45:00,3.213,3.222,3.211,3.213,2594.15
2026-04-18 18:50:00,3.214,3.214,3.207,3.207,1365.05
2026-04-18 18:55:00,3.206,3.212,3.206,3.209,3380.34
2026-04-18 19:00:00,3.209,3.228,3.209,3.227,3912.33
2026-04-18 19:05:00,3.228,3.233,3.227,3.231,2209.98
2026-04-18 19:10:00,3.23,3.232,3.23,3.231,460.86
2026-04-18 19:15:00,3.232,3.232,3.227,3.227,202.98
2026-04-18 19:20:00,3.226,3.228,3.219,3.219,332.52
2026-04-18 19:25:00,3.221,3.228,3.221,3.225,1685.54
2026-04-18 19:30:00,3.226,3.226,3.216,3.221,2270.12
2026-04-18 19:35:00,3.22,3.221,3.217,3.217,246.01
2026-04-18 19:40:00,3.218,3.223,3.217,3.221,653.54
2026-04-18 19:45:00,3.22,3.223,3.219,3.222,986.07
2026-04-18 19:50:00,3.222,3.224,3.221,3.222,206.76
2026-04-18 19:55:00,3.224,3.226,3.219,3.22,2844.69
2026-04-18 20:00:00,3.22,3.22,3.21,3.21,812.78
2026-04-18 20:05:00,3.21,3.215,3.209,3.215,839.39
2026-04-18 20:10:00,3.216,3.219,3.214,3.217,676.71
2026-04-18 20:15:00,3.217,3.22,3.215,3.215,231.65
