datetime,open,high,low,close,volume
2026-03-11 12:00:00,53.87,54.4,53.76,54.11,15277.921
2026-03-11 13:00:00,54.12,55.05,54.11,54.61,34804.036
2026-03-11 14:00:00,54.6,55.09,54.53,54.8,21432.524
2026-03-11 15:00:00,54.81,54.83,54.23,54.56,16253.136
2026-03-11 16:00:00,54.56,55.0,54.54,54.85,15281.44
2026-03-11 17:00:00,54.85,55.18,54.63,54.91,18455.476
2026-03-11 18:00:00,54.92,55.17,54.92,55.12,13206.113
2026-03-11 19:00:00,55.13,55.15,54.91,55.03,5460.839
2026-03-11 20:00:00,55.03,55.05,54.83,54.96,7595.153
2026-03-11 21:00:00,54.96,55.15,54.91,55.12,12537.703
2026-03-11 22:00:00,55.13,55.28,54.89,54.97,9552.2
2026-03-11 23:00:00,54.97,55.06,54.66,54.8,13642.714
2026-03-12 00:00:00,54.8,55.0,54.76,54.97,8015.615
2026-03-12 01:00:00,54.97,54.98,54.56,54.65,10089.61
2026-03-12 02:00:00,54.64,54.73,54.18,54.24,40530.699
2026-03-12 03:00:00,54.23,54.33,54.05,54.14,5018.237
2026-03-12 04:00:00,54.14,54.22,54.02,54.11,9920.318
2026-03-12 05:00:00,54.11,54.19,53.95,54.12,8373.099
2026-03-12 06:00:00,54.12,54.15,54.02,54.08,5427.154
2026-03-12 07:00:00,54.09,54.35,54.01,54.29,5970.794
2026-03-12 08:00:00,54.28,54.51,54.18,54.38,10289.679
2026-03-12 09:00:00,54.39,54.67,54.13,54.43,14373.479
2026-03-12 10:00:00,54.43,54.69,54.35,54.53,9168.48
2026-03-12 11:00:00,54.52,54.54,54.23,54.34,10621.668
2026-03-12 12:00:00,54.34,54.62,54.24,54.54,9343.412
2026-03-12 13:00:00,54.54,54.6,54.15,54.39,13618.062
2026-03-12 14:00:00,54.39,54.65,53.8,54.05,20166.394
2026-03-12 15:00:00,54.05,54.49,54.0,54.33,14737.15
2026-03-12 16:00:00,54.32,54.49,54.12,54.42,13116.5
2026-03-12 17:00:00,54.42,54.49,54.16,54.24,6843.819
2026-03-12 18:00:00,54.24,54.38,54.07,54.1,9139.153
2026-03-12 19:00:00,54.1,54.38,54.02,54.3,13089.035
2026-03-12 20:00:00,54.29,54.33,54.0,54.15,13251.908
2026-03-12 21:00:00,54.16,54.49,54.16,54.46,4299.598
2026-03-12 22:00:00,54.45,54.53,54.35,54.48,5995.652
2026-03-12 23:00:00,54.49,54.8,54.49,54.56,9828.67
2026-03-13 00:00:00,54.57,55.48,54.47,55.05,25846.296
2026-03-13 01:00:00,55.06,55.35,55.04,55.28,9768.738
2026-03-13 02:00:00,55.27,55.33,54.88,55.05,12091.935
2026-03-13 03:00:00,55.05,55.35,54.96,55.26,5849.966
2026-03-13 04:00:00,55.27,55.4,55.05,55.18,4838.687
2026-03-13 05:00:00,55.18,55.38,55.03,55.27,6192.209
2026-03-13 06:00:00,55.27,55.34,54.95,55.05,10466.884
2026-03-13 07:00:00,55.04,55.19,54.98,55.05,5982.878
2026-03-13 08:00:00,55.06,55.44,54.99,55.22,8863.451
2026-03-13 09:00:00,55.21,55.55,55.21,55.44,11007.643
2026-03-13 10:00:00,55.44,56.19,55.43,55.95,21698.108
2026-03-13 11:00:00,55.95,56.08,55.86,55.92,14272.287
2026-03-13 12:00:00,55.91,56.47,55.87,56.25,20523.172
2026-03-13 13:00:00,56.25,56.71,56.1,56.49,24436.029
2026-03-13 14:00:00,56.5,56.69,55.53,55.66,38897.842
2026-03-13 15:00:00,55.67,55.87,55.25,55.32,23869.55
2026-03-13 16:00:00,55.31,55.83,55.21,55.71,20043.77
2026-03-13 17:00:00,55.71,55.95,55.15,55.34,14148.528
2026-03-13 18:00:00,55.35,55.56,55.23,55.38,8165.806
2026-03-13 19:00:00,55.36,55.67,55.28,55.62,12127.706
2026-03-13 20:00:00,55.63,55.85,55.47,55.79,6362.388
2026-03-13 21:00:00,55.79,56.05,55.63,55.63,11098.986
2026-03-13 22:00:00,55.64,55.69,55.11,55.24,15467.025
2026-03-13 23:00:00,55.25,55.37,55.2,55.3,5848.768
2026-03-14 00:00:00,55.3,55.44,55.08,55.14,17239.875
2026-03-14 01:00:00,55.13,55.5,55.07,55.44,13442.785
2026-03-14 02:00:00,55.43,55.65,55.38,55.59,11270.856
2026-03-14 03:00:00,55.59,55.78,55.52,55.7,10046.822
2026-03-14 04:00:00,55.71,55.84,55.49,55.53,13819.074
2026-03-14 05:00:00,55.53,55.59,55.2,55.29,12741.764
2026-03-14 06:00:00,55.28,55.28,54.63,54.82,14449.12
2026-03-14 07:00:00,54.82,54.86,54.63,54.71,6046.113
2026-03-14 08:00:00,54.71,54.81,54.56,54.61,11104.276
2026-03-14 09:00:00,54.61,54.7,54.44,54.5,7473.92
2026-03-14 10:00:00,54.5,54.52,54.37,54.47,8922.031
2026-03-14 11:00:00,54.46,54.74,54.46,54.71,13223.258
2026-03-14 12:00:00,54.7,54.78,54.53,54.66,9850.983
2026-03-14 13:00:00,54.66,54.78,54.61,54.66,5920.445
2026-03-14 14:00:00,54.66,54.68,54.41,54.43,5736.172
2026-03-14 15:00:00,54.43,54.52,54.38,54.47,10826.861
2026-03-14 16:00:00,54.47,54.65,54.38,54.61,7677.926
2026-03-14 17:00:00,54.61,54.7,54.56,54.6,6209.885
2026-03-14 18:00:00,54.59,54.81,54.53,54.74,5427.028
2026-03-14 19:00:00,54.73,54.81,54.64,54.67,4947.021
2026-03-14 20:00:00,54.67,54.71,54.53,54.64,4659.185
2026-03-14 21:00:00,54.64,54.72,54.5,54.7,5498.548
2026-03-14 22:00:00,54.69,54.72,54.61,54.63,4024.557
2026-03-14 23:00:00,54.63,55.03,54.63,54.98,14956.926
2026-03-15 00:00:00,54.98,55.0,54.71,54.78,12192.704
2026-03-15 01:00:00,54.78,54.89,54.69,54.88,5272.567
2026-03-15 02:00:00,54.88,55.33,54.88,55.2,15674.405
2026-03-15 03:00:00,55.2,55.33,55.06,55.16,6839.182
2026-03-15 04:00:00,55.16,55.37,55.1,55.28,6893.703
2026-03-15 05:00:00,55.28,55.46,55.17,55.21,5690.387
2026-03-15 06:00:00,55.22,55.3,55.01,55.11,6836.539
2026-03-15 07:00:00,55.11,55.29,55.07,55.24,4710.49
2026-03-15 08:00:00,55.25,55.41,55.21,55.41,5804.675
2026-03-15 09:00:00,55.41,55.58,55.34,55.35,5748.141
2026-03-15 10:00:00,55.35,55.48,55.29,55.45,5913.382
2026-03-15 11:00:00,55.45,55.51,55.38,55.4,4237.314
2026-03-15 12:00:00,55.4,55.51,55.28,55.42,6104.908
2026-03-15 13:00:00,55.42,55.5,55.1,55.31,10135.779
2026-03-15 14:00:00,55.32,55.39,55.08,55.29,5837.312
2026-03-15 15:00:00,55.28,55.28,55.06,55.1,9428.967
2026-03-15 16:00:00,55.1,55.24,54.99,55.01,11871.392
2026-03-15 17:00:00,55.01,55.35,55.01,55.21,13409.236
2026-03-15 18:00:00,55.22,55.3,54.93,54.99,11233.876
2026-03-15 19:00:00,55.0,55.31,54.98,55.24,8884.227
2026-03-15 20:00:00,55.23,55.5,55.05,55.36,7057.225
2026-03-15 21:00:00,55.36,55.79,55.28,55.72,16319.985
2026-03-15 22:00:00,55.73,56.4,55.51,56.33,32895.683
2026-03-15 23:00:00,56.34,56.41,55.89,56.27,28023.111
2026-03-16 00:00:00,56.28,56.49,56.03,56.14,17224.952
2026-03-16 01:00:00,56.14,56.31,55.95,56.2,10643.44
2026-03-16 02:00:00,56.21,56.27,55.82,56.03,10049.914
2026-03-16 03:00:00,56.02,57.01,55.9,56.65,39690.448
2026-03-16 04:00:00,56.65,57.32,56.65,57.21,28330.113
2026-03-16 05:00:00,57.21,57.57,57.09,57.48,23894.787
2026-03-16 06:00:00,57.48,57.48,57.14,57.2,29959.101
2026-03-16 07:00:00,57.2,57.67,57.19,57.4,25261.487
2026-03-16 08:00:00,57.41,57.84,57.12,57.29,30167.792
2026-03-16 09:00:00,57.29,57.61,57.24,57.49,13439.079
2026-03-16 10:00:00,57.49,57.59,57.21,57.49,20283.809
2026-03-16 11:00:00,57.48,57.6,57.25,57.36,11173.038
2026-03-16 12:00:00,57.36,57.78,57.33,57.67,18393.798
2026-03-16 13:00:00,57.67,58.39,57.52,57.97,45563.156
2026-03-16 14:00:00,57.97,58.23,57.44,58.23,48288.019
