datetime,open,high,low,close,volume
2026-04-18 15:40:00,55.97,55.98,55.86,55.88,9169.478
2026-04-18 15:45:00,55.89,55.92,55.86,55.87,601.23
2026-04-18 15:50:00,55.87,55.88,55.78,55.84,715.574
2026-04-18 15:55:00,55.85,55.86,55.82,55.84,202.529
2026-04-18 16:00:00,55.83,55.84,55.69,55.74,1310.998
2026-04-18 16:05:00,55.74,55.86,55.74,55.86,716.966
2026-04-18 16:10:00,55.87,55.99,55.87,55.98,672.541
2026-04-18 16:15:00,55.98,55.98,55.63,55.82,2493.41
2026-04-18 16:20:00,55.83,56.0,55.81,55.93,1499.527
2026-04-18 16:25:00,55.93,55.97,55.92,55.93,395.62
2026-04-18 16:30:00,55.93,55.95,55.84,55.88,584.004
2026-04-18 16:35:00,55.88,55.91,55.85,55.86,416.939
2026-04-18 16:40:00,55.86,55.9,55.83,55.88,510.499
2026-04-18 16:45:00,55.88,55.9,55.81,55.82,287.367
2026-04-18 16:50:00,55.82,55.82,55.73,55.78,1505.322
2026-04-18 16:55:00,55.78,55.82,55.77,55.82,452.713
2026-04-18 17:00:00,55.81,55.84,55.74,55.75,1682.052
2026-04-18 17:05:00,55.75,55.76,55.69,55.76,595.167
2026-04-18 17:10:00,55.76,55.76,55.58,55.68,2719.254
2026-04-18 17:15:00,55.68,55.78,55.68,55.75,550.72
2026-04-18 17:20:00,55.76,55.77,55.69,55.75,317.926
2026-04-18 17:25:00,55.75,55.83,55.73,55.81,335.971
2026-04-18 17:30:00,55.81,55.88,55.81,55.86,685.489
2026-04-18 17:35:00,55.86,55.87,55.83,55.84,259.651
2026-04-18 17:40:00,55.84,55.85,55.81,55.83,194.461
2026-04-18 17:45:00,55.82,55.88,55.82,55.88,181.24
2026-04-18 17:50:00,55.88,55.9,55.87,55.89,266.187
2026-04-18 17:55:00,55.88,55.89,55.84,55.84,391.494
2026-04-18 18:00:00,55.85,55.85,55.75,55.85,749.826
2026-04-18 18:05:00,55.86,55.89,55.82,55.89,424.309
2026-04-18 18:10:00,55.88,55.88,55.76,55.78,675.341
2026-04-18 18:15:00,55.79,55.79,55.71,55.71,864.565
2026-04-18 18:20:00,55.71,55.74,55.63,55.65,675.595
2026-04-18 18:25:00,55.65,55.7,55.63,55.66,367.081
2026-04-18 18:30:00,55.66,55.66,55.53,55.62,2629.073
2026-04-18 18:35:00,55.62,55.63,55.51,55.52,864.586
2026-04-18 18:40:00,55.52,55.56,55.44,55.56,2203.809
2026-04-18 18:45:00,55.56,55.71,55.54,55.59,1927.922
2026-04-18 18:50:00,55.59,55.64,55.33,55.33,2092.37
2026-04-18 18:55:00,55.34,55.4,55.24,55.27,5682.424
2026-04-18 19:00:00,55.26,55.4,55.25,55.36,1745.607
2026-04-18 19:05:00,55.36,55.43,55.33,55.4,567.433
2026-04-18 19:10:00,55.4,55.43,55.37,55.43,382.818
2026-04-18 19:15:00,55.44,55.45,55.4,55.43,515.418
2026-04-18 19:20:00,55.43,55.43,55.31,55.31,324.504
2026-04-18 19:25:00,55.32,55.35,55.3,55.33,194.614
2026-04-18 19:30:00,55.33,55.35,55.26,55.33,888.279
2026-04-18 19:35:00,55.33,55.39,55.29,55.35,993.2
2026-04-18 19:40:00,55.34,55.38,55.32,55.32,739.485
2026-04-18 19:45:00,55.32,55.45,55.32,55.44,353.506
2026-04-18 19:50:00,55.44,55.48,55.41,55.43,247.431
