datetime,open,high,low,close,volume
2026-04-11 17:15:00,1.389,1.399,1.388,1.398,359760.5
2026-04-11 17:30:00,1.399,1.418,1.398,1.415,688197.8
2026-04-11 17:45:00,1.415,1.415,1.405,1.407,207100.9
2026-04-11 18:00:00,1.407,1.411,1.4,1.403,290768.4
2026-04-11 18:15:00,1.402,1.41,1.402,1.41,147190.5
2026-04-11 18:30:00,1.409,1.422,1.409,1.413,378197.2
2026-04-11 18:45:00,1.413,1.416,1.402,1.403,115882.1
2026-04-11 19:00:00,1.403,1.413,1.402,1.409,173715.2
2026-04-11 19:15:00,1.409,1.412,1.405,1.411,143501.7
2026-04-11 19:30:00,1.411,1.417,1.409,1.414,132923.4
2026-04-11 19:45:00,1.413,1.413,1.407,1.408,88262.2
2026-04-11 20:00:00,1.408,1.409,1.394,1.399,216216.0
2026-04-11 20:15:00,1.399,1.401,1.395,1.4,86193.3
2026-04-11 20:30:00,1.4,1.401,1.394,1.396,80531.6
2026-04-11 20:45:00,1.396,1.408,1.396,1.403,129261.2
2026-04-11 21:00:00,1.402,1.41,1.396,1.409,126643.7
2026-04-11 21:15:00,1.409,1.415,1.406,1.408,130135.8
2026-04-11 21:30:00,1.408,1.416,1.402,1.403,244597.4
2026-04-11 21:45:00,1.403,1.412,1.403,1.406,184921.6
2026-04-11 22:00:00,1.407,1.416,1.405,1.416,70518.5
2026-04-11 22:15:00,1.416,1.425,1.415,1.419,235419.8
2026-04-11 22:30:00,1.418,1.418,1.408,1.41,177449.0
2026-04-11 22:45:00,1.411,1.411,1.401,1.406,162970.8
2026-04-11 23:00:00,1.405,1.406,1.394,1.399,275201.9
2026-04-11 23:15:00,1.4,1.409,1.399,1.406,82657.9
2026-04-11 23:30:00,1.405,1.409,1.4,1.405,379793.8
2026-04-11 23:45:00,1.404,1.405,1.401,1.402,64020.1
2026-04-12 00:00:00,1.403,1.407,1.392,1.393,297819.3
2026-04-12 00:15:00,1.392,1.393,1.388,1.389,93007.4
2026-04-12 00:30:00,1.389,1.393,1.388,1.391,36431.9
2026-04-12 00:45:00,1.391,1.393,1.389,1.393,44544.0
2026-04-12 01:00:00,1.393,1.395,1.388,1.388,177678.5
2026-04-12 01:15:00,1.389,1.39,1.385,1.385,63506.7
2026-04-12 01:30:00,1.385,1.386,1.351,1.356,551825.4
2026-04-12 01:45:00,1.355,1.356,1.345,1.348,392622.1
2026-04-12 02:00:00,1.347,1.35,1.335,1.349,360306.4
2026-04-12 02:15:00,1.348,1.351,1.341,1.344,185588.6
2026-04-12 02:30:00,1.345,1.351,1.343,1.351,66996.2
2026-04-12 02:45:00,1.35,1.352,1.349,1.351,62469.2
2026-04-12 03:00:00,1.351,1.354,1.345,1.348,298962.2
2026-04-12 03:15:00,1.348,1.349,1.344,1.346,66686.1
2026-04-12 03:30:00,1.345,1.35,1.342,1.349,89938.4
2026-04-12 03:45:00,1.348,1.35,1.342,1.343,94635.0
2026-04-12 04:00:00,1.343,1.344,1.338,1.338,191829.3
2026-04-12 04:15:00,1.339,1.34,1.334,1.336,100506.7
2026-04-12 04:30:00,1.335,1.34,1.334,1.339,40725.7
2026-04-12 04:45:00,1.34,1.342,1.338,1.339,110215.5
2026-04-12 05:00:00,1.339,1.344,1.338,1.342,28383.4
2026-04-12 05:15:00,1.341,1.344,1.34,1.342,19689.5
2026-04-12 05:30:00,1.343,1.344,1.338,1.339,32001.4
2026-04-12 05:45:00,1.339,1.342,1.337,1.34,135259.4
2026-04-12 06:00:00,1.34,1.345,1.34,1.343,39158.7
2026-04-12 06:15:00,1.343,1.343,1.337,1.338,39616.5
2026-04-12 06:30:00,1.339,1.339,1.333,1.334,55411.9
2026-04-12 06:45:00,1.335,1.336,1.332,1.335,54390.9
2026-04-12 07:00:00,1.335,1.338,1.332,1.337,125015.2
2026-04-12 07:15:00,1.337,1.337,1.33,1.337,86257.5
2026-04-12 07:30:00,1.336,1.34,1.336,1.337,19612.6
2026-04-12 07:45:00,1.336,1.338,1.334,1.336,29949.4
2026-04-12 08:00:00,1.336,1.338,1.334,1.337,36127.2
2026-04-12 08:15:00,1.337,1.339,1.335,1.339,29194.6
2026-04-12 08:30:00,1.338,1.342,1.336,1.338,80180.9
2026-04-12 08:45:00,1.338,1.338,1.335,1.336,172616.4
2026-04-12 09:00:00,1.336,1.337,1.334,1.335,63855.1
2026-04-12 09:15:00,1.335,1.338,1.33,1.333,189521.4
2026-04-12 09:30:00,1.332,1.334,1.326,1.329,423902.9
2026-04-12 09:45:00,1.33,1.332,1.328,1.329,53317.8
2026-04-12 10:00:00,1.328,1.331,1.327,1.327,47808.6
2026-04-12 10:15:00,1.327,1.331,1.326,1.33,58503.0
2026-04-12 10:30:00,1.33,1.33,1.325,1.325,72767.1
2026-04-12 10:45:00,1.326,1.327,1.323,1.325,163378.3
2026-04-12 11:00:00,1.326,1.333,1.325,1.332,163961.8
2026-04-12 11:15:00,1.332,1.334,1.331,1.333,53541.9
2026-04-12 11:30:00,1.333,1.334,1.33,1.331,43360.0
2026-04-12 11:45:00,1.331,1.334,1.33,1.332,47474.1
2026-04-12 12:00:00,1.331,1.333,1.33,1.332,57219.4
2026-04-12 12:15:00,1.331,1.333,1.329,1.331,44152.4
2026-04-12 12:30:00,1.332,1.343,1.332,1.341,232809.4
2026-04-12 12:45:00,1.34,1.342,1.332,1.332,217892.5
2026-04-12 13:00:00,1.333,1.344,1.332,1.343,275807.6
2026-04-12 13:15:00,1.342,1.344,1.338,1.339,73603.8
2026-04-12 13:30:00,1.339,1.339,1.335,1.338,184443.2
2026-04-12 13:45:00,1.338,1.339,1.332,1.332,144285.4
2026-04-12 14:00:00,1.332,1.34,1.331,1.34,87702.7
2026-04-12 14:15:00,1.34,1.353,1.34,1.35,240895.4
2026-04-12 14:30:00,1.35,1.352,1.343,1.345,143714.3
2026-04-12 14:45:00,1.345,1.349,1.337,1.339,137296.7
2026-04-12 15:00:00,1.34,1.342,1.336,1.337,96914.3
2026-04-12 15:15:00,1.338,1.34,1.335,1.339,169863.8
2026-04-12 15:30:00,1.338,1.34,1.332,1.337,97147.3
2026-04-12 15:45:00,1.336,1.339,1.335,1.336,28031.6
2026-04-12 16:00:00,1.335,1.339,1.334,1.338,78088.5
2026-04-12 16:15:00,1.337,1.347,1.336,1.344,93530.3
2026-04-12 16:30:00,1.343,1.348,1.343,1.348,89892.3
2026-04-12 16:45:00,1.348,1.35,1.344,1.347,125685.6
2026-04-12 17:00:00,1.347,1.351,1.346,1.346,73779.5
2026-04-12 17:15:00,1.346,1.348,1.346,1.347,25627.9
2026-04-12 17:30:00,1.347,1.353,1.346,1.353,55954.9
2026-04-12 17:45:00,1.353,1.359,1.35,1.357,193642.4
2026-04-12 18:00:00,1.357,1.368,1.357,1.366,233624.4
2026-04-12 18:15:00,1.366,1.366,1.357,1.36,73449.1
2026-04-12 18:30:00,1.36,1.361,1.356,1.356,32863.6
2026-04-12 18:45:00,1.357,1.357,1.353,1.355,33317.5
2026-04-12 19:00:00,1.354,1.356,1.353,1.354,30867.4
2026-04-12 19:15:00,1.354,1.356,1.354,1.356,21620.7
2026-04-12 19:30:00,1.356,1.357,1.353,1.354,90471.2
2026-04-12 19:45:00,1.353,1.358,1.352,1.356,51560.4
2026-04-12 20:00:00,1.357,1.357,1.354,1.356,39884.3
2026-04-12 20:15:00,1.356,1.357,1.354,1.355,28771.5
2026-04-12 20:30:00,1.355,1.369,1.354,1.366,467732.2
2026-04-12 20:45:00,1.366,1.366,1.361,1.363,56545.7
2026-04-12 21:00:00,1.362,1.364,1.356,1.358,60861.3
2026-04-12 21:15:00,1.358,1.366,1.358,1.366,66694.3
2026-04-12 21:30:00,1.365,1.367,1.364,1.367,85746.5
2026-04-12 21:45:00,1.367,1.368,1.362,1.363,65665.9
