datetime,open,high,low,close,volume
2024-07-01 07:00:00,7.861,7.898,7.816,7.844,56350.83
2024-07-01 07:30:00,7.847,7.872,7.779,7.802,160390.13
2024-07-01 08:00:00,7.801,7.813,7.679,7.698,182267.0
2024-07-01 08:30:00,7.697,7.71,7.633,7.672,130035.69
2024-07-01 09:00:00,7.672,7.713,7.641,7.664,80176.22
2024-07-01 09:30:00,7.665,7.71,7.664,7.706,50362.73
2024-07-01 10:00:00,7.704,7.715,7.658,7.68,53870.13
2024-07-01 10:30:00,7.679,7.683,7.65,7.659,59496.91
2024-07-01 11:00:00,7.659,7.677,7.598,7.612,94473.94
2024-07-01 11:30:00,7.611,7.62,7.557,7.586,80753.6
2024-07-01 12:00:00,7.587,7.65,7.569,7.631,77592.18
2024-07-01 12:30:00,7.631,7.644,7.597,7.607,49460.66
2024-07-01 13:00:00,7.608,7.643,7.566,7.61,68854.58
2024-07-01 13:30:00,7.613,7.623,7.506,7.517,105682.32
2024-07-01 14:00:00,7.515,7.539,7.463,7.496,122222.16
2024-07-01 14:30:00,7.496,7.547,7.481,7.543,65668.9
2024-07-01 15:00:00,7.544,7.607,7.518,7.552,78393.43
2024-07-01 15:30:00,7.551,7.614,7.535,7.607,135387.05
2024-07-01 16:00:00,7.608,7.667,7.582,7.606,98605.46
2024-07-01 16:30:00,7.607,7.65,7.582,7.588,39618.13
2024-07-01 17:00:00,7.588,7.627,7.57,7.618,39157.27
2024-07-01 17:30:00,7.616,7.689,7.601,7.673,94414.04
2024-07-01 18:00:00,7.672,7.71,7.631,7.632,84992.49
2024-07-01 18:30:00,7.633,7.652,7.607,7.629,45608.94
2024-07-01 19:00:00,7.632,7.663,7.611,7.636,33614.96
2024-07-01 19:30:00,7.633,7.66,7.613,7.654,41232.54
2024-07-01 20:00:00,7.653,7.681,7.648,7.654,47693.18
2024-07-01 20:30:00,7.659,7.679,7.642,7.665,45063.18
2024-07-01 21:00:00,7.665,7.7,7.627,7.637,53728.33
2024-07-01 21:30:00,7.637,7.642,7.618,7.633,29116.08
2024-07-01 22:00:00,7.63,7.656,7.578,7.596,73099.57
2024-07-01 22:30:00,7.596,7.596,7.537,7.579,73475.32
2024-07-01 23:00:00,7.577,7.599,7.532,7.536,55801.12
2024-07-01 23:30:00,7.538,7.558,7.513,7.538,70556.71
2024-07-02 00:00:00,7.538,7.571,7.469,7.542,136160.36
2024-07-02 00:30:00,7.543,7.59,7.535,7.569,50086.58
2024-07-02 01:00:00,7.57,7.594,7.536,7.562,29357.0
2024-07-02 01:30:00,7.559,7.589,7.533,7.574,29542.62
2024-07-02 02:00:00,7.571,7.616,7.551,7.589,61889.9
2024-07-02 02:30:00,7.589,7.68,7.588,7.666,80915.52
2024-07-02 03:00:00,7.667,7.72,7.658,7.68,62905.12
2024-07-02 03:30:00,7.682,7.737,7.679,7.692,43051.76
2024-07-02 04:00:00,7.692,7.738,7.666,7.683,52148.29
2024-07-02 04:30:00,7.684,7.705,7.662,7.664,32344.79
2024-07-02 05:00:00,7.664,7.726,7.659,7.717,38903.74
2024-07-02 05:30:00,7.712,7.739,7.694,7.707,38118.02
2024-07-02 06:00:00,7.708,7.712,7.655,7.659,50036.43
2024-07-02 06:30:00,7.657,7.661,7.624,7.632,40984.81
2024-07-02 07:00:00,7.632,7.638,7.602,7.615,44324.0
2024-07-02 07:30:00,7.616,7.622,7.562,7.608,49922.01
2024-07-02 08:00:00,7.607,7.642,7.573,7.631,47713.97
2024-07-02 08:30:00,7.628,7.659,7.585,7.632,38521.89
2024-07-02 09:00:00,7.634,7.681,7.629,7.667,24107.95
2024-07-02 09:30:00,7.668,7.686,7.63,7.63,62296.78
2024-07-02 10:00:00,7.631,7.665,7.597,7.649,37052.0
2024-07-02 10:30:00,7.65,7.683,7.639,7.677,24929.06
2024-07-02 11:00:00,7.678,7.695,7.661,7.695,25187.35
2024-07-02 11:30:00,7.696,7.737,7.687,7.735,74335.39
2024-07-02 12:00:00,7.735,7.762,7.714,7.76,56749.45
2024-07-02 12:30:00,7.758,7.789,7.744,7.75,102568.13
2024-07-02 13:00:00,7.75,7.777,7.725,7.726,47852.24
2024-07-02 13:30:00,7.727,7.791,7.643,7.653,126719.21
2024-07-02 14:00:00,7.655,7.692,7.589,7.662,114191.6
2024-07-02 14:30:00,7.662,7.685,7.59,7.621,180490.59
2024-07-02 15:00:00,7.622,7.68,7.608,7.62,73759.8
2024-07-02 15:30:00,7.622,7.643,7.57,7.622,99317.37
2024-07-02 16:00:00,7.622,7.632,7.572,7.624,92829.66
2024-07-02 16:30:00,7.625,7.647,7.581,7.645,56399.43
2024-07-02 17:00:00,7.644,7.645,7.592,7.633,40822.23
2024-07-02 17:30:00,7.632,7.683,7.622,7.67,44208.14
2024-07-02 18:00:00,7.668,7.75,7.667,7.727,90845.1
2024-07-02 18:30:00,7.728,7.732,7.691,7.707,46513.71
2024-07-02 19:00:00,7.705,7.718,7.674,7.683,25491.62
2024-07-02 19:30:00,7.682,7.73,7.68,7.721,27935.63
2024-07-02 20:00:00,7.722,7.733,7.637,7.689,121096.64
2024-07-02 20:30:00,7.689,7.698,7.67,7.694,38100.44
2024-07-02 21:00:00,7.694,7.709,7.666,7.67,68019.33
2024-07-02 21:30:00,7.672,7.679,7.651,7.651,26322.77
2024-07-02 22:00:00,7.652,7.66,7.622,7.632,46598.1
2024-07-02 22:30:00,7.631,7.686,7.624,7.685,44046.1
2024-07-02 23:00:00,7.685,7.714,7.674,7.68,33018.67
2024-07-02 23:30:00,7.68,7.685,7.645,7.661,33523.38
2024-07-03 00:00:00,7.662,7.728,7.662,7.703,45702.45
2024-07-03 00:30:00,7.703,7.729,7.673,7.673,38006.58
2024-07-03 01:00:00,7.674,7.675,7.568,7.583,119706.53
2024-07-03 01:30:00,7.583,7.624,7.542,7.589,142594.13
2024-07-03 02:00:00,7.588,7.603,7.512,7.559,145609.34
2024-07-03 02:30:00,7.561,7.561,7.468,7.478,101456.88
2024-07-03 03:00:00,7.478,7.48,7.335,7.422,182571.03
2024-07-03 03:30:00,7.421,7.435,7.399,7.426,48996.94
2024-07-03 04:00:00,7.427,7.429,7.364,7.398,59462.3
2024-07-03 04:30:00,7.399,7.399,7.348,7.371,41969.83
2024-07-03 05:00:00,7.37,7.398,7.36,7.375,27097.45
2024-07-03 05:30:00,7.376,7.45,7.367,7.448,51089.57
2024-07-03 06:00:00,7.448,7.481,7.422,7.446,50268.56
2024-07-03 06:30:00,7.447,7.489,7.446,7.475,49723.83
2024-07-03 07:00:00,7.474,7.474,7.378,7.382,64021.4
2024-07-03 07:30:00,7.379,7.409,7.374,7.384,53625.74
2024-07-03 08:00:00,7.38,7.38,7.324,7.353,97113.73
2024-07-03 08:30:00,7.352,7.357,7.301,7.316,69822.23
2024-07-03 09:00:00,7.318,7.356,7.309,7.348,48673.65
2024-07-03 09:30:00,7.349,7.365,7.327,7.332,45217.43
2024-07-03 10:00:00,7.334,7.335,7.208,7.216,187211.71
2024-07-03 10:30:00,7.215,7.28,7.145,7.261,229569.21
2024-07-03 11:00:00,7.26,7.26,7.182,7.188,142019.54
2024-07-03 11:30:00,7.189,7.268,7.159,7.238,109503.88
2024-07-03 12:00:00,7.236,7.236,7.168,7.192,70371.75
2024-07-03 12:30:00,7.192,7.205,7.079,7.112,239963.57
2024-07-03 13:00:00,7.111,7.259,7.084,7.247,262876.29
2024-07-03 13:30:00,7.249,7.332,7.209,7.302,204048.56
2024-07-03 14:00:00,7.302,7.332,7.276,7.32,128629.72
2024-07-03 14:30:00,7.32,7.331,7.213,7.216,172168.68
2024-07-03 15:00:00,7.215,7.264,7.156,7.246,93238.07
2024-07-03 15:30:00,7.245,7.264,7.207,7.214,59691.47
2024-07-03 16:00:00,7.213,7.262,7.152,7.247,170200.65
2024-07-03 16:30:00,7.247,7.253,7.167,7.22,55182.58
2024-07-03 17:00:00,7.218,7.232,7.162,7.188,42680.87
2024-07-03 17:30:00,7.189,7.191,7.13,7.169,48205.85
2024-07-03 18:00:00,7.17,7.199,7.133,7.193,84517.42
2024-07-03 18:30:00,7.192,7.211,7.121,7.153,52959.65
