datetime,open,high,low,close,volume
2024-02-06 12:00:00,4.342,4.416,4.3,4.364,985505.57
2024-02-06 16:00:00,4.363,4.417,4.35,4.385,685317.49
2024-02-06 20:00:00,4.385,4.402,4.262,4.265,914482.66
2024-02-07 00:00:00,4.266,4.383,4.251,4.348,568901.37
2024-02-07 04:00:00,4.348,4.381,4.279,4.3,406630.51
2024-02-07 08:00:00,4.3,4.381,4.279,4.325,453264.6
2024-02-07 12:00:00,4.324,4.363,4.291,4.333,747299.89
2024-02-07 16:00:00,4.334,4.436,4.308,4.381,1173211.63
2024-02-07 20:00:00,4.381,4.6,4.381,4.471,1648052.17
2024-02-08 00:00:00,4.472,4.58,4.44,4.546,976395.72
2024-02-08 04:00:00,4.546,4.571,4.457,4.469,655994.83
2024-02-08 08:00:00,4.469,4.528,4.45,4.479,607110.15
2024-02-08 12:00:00,4.479,4.546,4.411,4.531,1186042.48
2024-02-08 16:00:00,4.53,4.538,4.392,4.43,883673.77
2024-02-08 20:00:00,4.429,4.485,4.421,4.436,418486.21
2024-02-09 00:00:00,4.437,4.618,4.437,4.549,1058006.99
2024-02-09 04:00:00,4.548,4.58,4.503,4.578,605777.83
2024-02-09 08:00:00,4.578,4.664,4.57,4.621,1058464.54
2024-02-09 12:00:00,4.62,4.662,4.536,4.619,1333041.04
2024-02-09 16:00:00,4.62,4.68,4.579,4.586,1086332.03
2024-02-09 20:00:00,4.586,4.737,4.586,4.706,1283722.15
2024-02-10 00:00:00,4.704,4.811,4.704,4.749,1346111.44
2024-02-10 04:00:00,4.751,4.775,4.685,4.688,670063.36
2024-02-10 08:00:00,4.688,4.712,4.585,4.624,710615.51
2024-02-10 12:00:00,4.624,4.772,4.591,4.741,872675.82
2024-02-10 16:00:00,4.74,4.817,4.718,4.738,858944.58
2024-02-10 20:00:00,4.737,4.748,4.648,4.657,817148.53
2024-02-11 00:00:00,4.657,4.73,4.644,4.727,547323.09
2024-02-11 04:00:00,4.728,4.762,4.706,4.751,562483.5
2024-02-11 08:00:00,4.751,4.794,4.686,4.716,823015.27
2024-02-11 12:00:00,4.716,4.726,4.6,4.631,687091.76
2024-02-11 16:00:00,4.631,4.675,4.575,4.652,722429.45
2024-02-11 20:00:00,4.652,4.695,4.599,4.617,573106.31
2024-02-12 00:00:00,4.618,4.684,4.55,4.567,667194.24
2024-02-12 04:00:00,4.567,4.61,4.527,4.597,404520.63
2024-02-12 08:00:00,4.598,4.61,4.443,4.492,822065.54
2024-02-12 12:00:00,4.492,4.667,4.466,4.642,1138306.28
2024-02-12 16:00:00,4.642,4.79,4.591,4.703,1796185.89
2024-02-12 20:00:00,4.703,4.806,4.702,4.802,1042955.0
2024-02-13 00:00:00,4.802,4.846,4.733,4.771,1466206.07
2024-02-13 04:00:00,4.77,5.097,4.77,5.028,2828073.94
2024-02-13 08:00:00,5.028,5.157,4.996,5.078,2771522.65
2024-02-13 12:00:00,5.077,5.117,4.837,4.917,3966049.42
2024-02-13 16:00:00,4.918,5.051,4.89,4.904,1721367.57
2024-02-13 20:00:00,4.904,4.978,4.866,4.9,957201.87
2024-02-14 00:00:00,4.9,4.982,4.83,4.944,1187219.98
2024-02-14 04:00:00,4.941,4.983,4.909,4.982,734103.69
2024-02-14 08:00:00,4.981,5.066,4.954,5.023,1482726.26
2024-02-14 12:00:00,5.023,5.07,4.897,4.949,2215257.0
2024-02-14 16:00:00,4.948,5.07,4.868,5.005,2392475.63
2024-02-14 20:00:00,5.005,5.104,4.986,5.006,1444478.89
2024-02-15 00:00:00,5.004,5.069,4.931,5.015,1335455.48
2024-02-15 04:00:00,5.015,5.019,4.877,4.934,1526944.86
2024-02-15 08:00:00,4.934,5.008,4.917,4.977,913116.7
2024-02-15 12:00:00,4.977,5.05,4.906,4.918,2012559.64
2024-02-15 16:00:00,4.919,4.941,4.8,4.907,2256764.58
2024-02-15 20:00:00,4.908,5.359,4.85,5.293,4629270.99
2024-02-16 00:00:00,5.292,5.441,5.19,5.414,2707292.39
