datetime,open,high,low,close,volume
2025-10-24 15:00:00,0.1929,0.194,0.1916,0.192,1978508.6
2025-10-24 16:00:00,0.1921,0.1924,0.191,0.1919,1588690.5
2025-10-24 17:00:00,0.192,0.1934,0.192,0.1922,1642479.7
2025-10-24 18:00:00,0.1922,0.1931,0.1921,0.1931,752855.0
2025-10-24 19:00:00,0.193,0.1948,0.193,0.1938,1318801.9
2025-10-24 20:00:00,0.1938,0.1954,0.1937,0.1952,1191802.3
2025-10-24 21:00:00,0.1953,0.1959,0.1948,0.1957,1131208.3
2025-10-24 22:00:00,0.1958,0.196,0.1952,0.1957,1221069.4
2025-10-24 23:00:00,0.1956,0.1962,0.1952,0.1957,844950.6
2025-10-25 00:00:00,0.1958,0.1959,0.1944,0.1946,1006517.2
2025-10-25 01:00:00,0.1947,0.1957,0.1941,0.1952,810880.5
2025-10-25 02:00:00,0.1952,0.1965,0.1951,0.1957,1624025.0
2025-10-25 03:00:00,0.1956,0.1957,0.1943,0.1944,1479726.7
2025-10-25 04:00:00,0.1944,0.1959,0.1943,0.1955,848434.1
2025-10-25 05:00:00,0.1956,0.1958,0.195,0.1956,942732.3
2025-10-25 06:00:00,0.1957,0.1959,0.1947,0.1947,812078.2
2025-10-25 07:00:00,0.1948,0.1962,0.1947,0.195,1176016.9
2025-10-25 08:00:00,0.195,0.1961,0.1949,0.196,840943.2
2025-10-25 09:00:00,0.1961,0.1966,0.1954,0.1954,1054647.7
2025-10-25 10:00:00,0.1955,0.1961,0.1948,0.1954,982902.4
2025-10-25 11:00:00,0.1953,0.1958,0.1949,0.1952,674099.2
2025-10-25 12:00:00,0.1952,0.1973,0.195,0.197,2041872.6
2025-10-25 13:00:00,0.1971,0.1971,0.1957,0.1959,1067531.2
2025-10-25 14:00:00,0.1959,0.1976,0.1958,0.1975,1409452.7
2025-10-25 15:00:00,0.1975,0.1979,0.1967,0.1977,2397694.5
2025-10-25 16:00:00,0.1978,0.1989,0.1975,0.1984,2882804.7
2025-10-25 17:00:00,0.1983,0.1995,0.1982,0.1984,1087318.8
2025-10-25 18:00:00,0.1983,0.2022,0.198,0.2021,3681816.4
2025-10-25 19:00:00,0.2021,0.2027,0.2008,0.2027,2440457.6
2025-10-25 20:00:00,0.2027,0.2027,0.2005,0.2006,1458201.9
2025-10-25 21:00:00,0.2006,0.2013,0.1997,0.2013,998350.9
2025-10-25 22:00:00,0.2013,0.2013,0.1998,0.2009,916455.9
2025-10-25 23:00:00,0.2009,0.2009,0.1993,0.1993,1226984.0
2025-10-26 00:00:00,0.1994,0.2009,0.1983,0.2001,2009128.3
2025-10-26 01:00:00,0.2001,0.2001,0.1985,0.199,1568414.3
2025-10-26 02:00:00,0.199,0.1996,0.1981,0.1986,1380533.3
2025-10-26 03:00:00,0.1985,0.1995,0.1978,0.1983,1183512.1
2025-10-26 04:00:00,0.1983,0.1998,0.1979,0.1996,1523258.4
2025-10-26 05:00:00,0.1996,0.2009,0.199,0.2005,819136.1
2025-10-26 06:00:00,0.2005,0.2006,0.1995,0.2001,859178.1
2025-10-26 07:00:00,0.2001,0.201,0.1997,0.2009,2322619.1
2025-10-26 08:00:00,0.2008,0.2023,0.2008,0.2015,2566661.2
2025-10-26 09:00:00,0.2015,0.2039,0.201,0.2034,2739494.1
2025-10-26 10:00:00,0.2034,0.2038,0.2025,0.2034,1428154.9
2025-10-26 11:00:00,0.2033,0.2065,0.2028,0.2063,3755187.4
2025-10-26 12:00:00,0.2063,0.2066,0.2045,0.205,3639257.0
2025-10-26 13:00:00,0.2051,0.2069,0.2048,0.2059,2454154.9
2025-10-26 14:00:00,0.206,0.2061,0.204,0.2043,2300255.3
2025-10-26 15:00:00,0.2043,0.206,0.2035,0.2057,1533778.7
2025-10-26 16:00:00,0.2057,0.2057,0.2043,0.2043,1321144.0
2025-10-26 17:00:00,0.2043,0.2051,0.2042,0.2043,1072516.0
2025-10-26 18:00:00,0.2043,0.205,0.2041,0.2045,1095076.0
2025-10-26 19:00:00,0.2046,0.2051,0.2038,0.2051,833193.9
2025-10-26 20:00:00,0.2051,0.2051,0.2036,0.2042,843157.3
2025-10-26 21:00:00,0.2042,0.2055,0.2037,0.2054,1077251.7
2025-10-26 22:00:00,0.2055,0.209,0.2055,0.2077,3714612.1
2025-10-26 23:00:00,0.2077,0.2084,0.207,0.2071,2526743.7
2025-10-27 00:00:00,0.2071,0.2087,0.2066,0.2081,1393716.4
2025-10-27 01:00:00,0.2081,0.2099,0.2077,0.2097,2547342.0
2025-10-27 02:00:00,0.2097,0.2099,0.2084,0.2088,2191797.8
2025-10-27 03:00:00,0.2088,0.2093,0.2074,0.2084,1695537.0
2025-10-27 04:00:00,0.2084,0.2091,0.2078,0.209,664204.5
2025-10-27 05:00:00,0.2089,0.2113,0.2087,0.2099,1960771.7
2025-10-27 06:00:00,0.2099,0.2114,0.208,0.2104,4108624.8
2025-10-27 07:00:00,0.2104,0.211,0.2062,0.2071,2788288.5
2025-10-27 08:00:00,0.2071,0.208,0.2045,0.2051,4121935.0
2025-10-27 09:00:00,0.2052,0.2052,0.2026,0.2034,3552542.0
2025-10-27 10:00:00,0.2034,0.2042,0.2028,0.203,902574.4
2025-10-27 11:00:00,0.2031,0.2041,0.2019,0.2036,1885076.6
2025-10-27 12:00:00,0.2036,0.2037,0.2016,0.2018,1149935.6
2025-10-27 13:00:00,0.2018,0.203,0.1992,0.2019,5993878.9
2025-10-27 14:00:00,0.2019,0.2022,0.1991,0.2001,6486400.6
2025-10-27 15:00:00,0.2,0.2021,0.2,0.2008,1619836.6
2025-10-27 16:00:00,0.2008,0.2057,0.2008,0.2053,4063220.3
2025-10-27 17:00:00,0.2053,0.2065,0.2042,0.2051,3872050.2
2025-10-27 18:00:00,0.205,0.2059,0.2038,0.2041,1352628.7
2025-10-27 19:00:00,0.2042,0.2043,0.2017,0.2018,1849648.1
2025-10-27 20:00:00,0.2018,0.2027,0.2005,0.2006,4164743.8
2025-10-27 21:00:00,0.2005,0.2019,0.2002,0.2006,1160032.8
2025-10-27 22:00:00,0.2006,0.2019,0.1999,0.2001,1404828.6
2025-10-27 23:00:00,0.2001,0.2012,0.1993,0.2007,1739854.5
2025-10-28 00:00:00,0.2007,0.2021,0.1997,0.2005,1206753.0
2025-10-28 01:00:00,0.2006,0.2019,0.2006,0.2012,745777.1
2025-10-28 02:00:00,0.2012,0.2016,0.1983,0.1999,1334533.8
2025-10-28 03:00:00,0.1998,0.2005,0.1989,0.1996,1132702.9
2025-10-28 04:00:00,0.1995,0.2012,0.1992,0.2006,1060680.6
2025-10-28 05:00:00,0.2005,0.2013,0.1984,0.1985,1531848.2
2025-10-28 06:00:00,0.1985,0.2031,0.1985,0.203,1746469.3
2025-10-28 07:00:00,0.2031,0.2039,0.2007,0.2012,1726875.1
2025-10-28 08:00:00,0.2012,0.203,0.2005,0.2022,2197027.9
2025-10-28 09:00:00,0.2022,0.2026,0.2007,0.2018,1161145.4
2025-10-28 10:00:00,0.2018,0.2022,0.2007,0.2022,842072.4
2025-10-28 11:00:00,0.2023,0.2027,0.2006,0.2007,897334.0
2025-10-28 12:00:00,0.2007,0.2025,0.2002,0.2024,1710860.8
2025-10-28 13:00:00,0.2024,0.2044,0.2024,0.204,2841100.0
2025-10-28 14:00:00,0.204,0.2047,0.1984,0.202,5118371.5
2025-10-28 15:00:00,0.202,0.2029,0.2001,0.2013,2015979.1
2025-10-28 16:00:00,0.2012,0.2029,0.2004,0.2021,1506141.0
2025-10-28 17:00:00,0.2021,0.203,0.2015,0.2024,2681474.2
2025-10-28 18:00:00,0.2024,0.2026,0.2,0.2005,3402933.6
2025-10-28 19:00:00,0.2006,0.2008,0.1946,0.196,5221687.4
2025-10-28 20:00:00,0.196,0.1963,0.1927,0.1957,12717183.3
2025-10-28 21:00:00,0.1957,0.1969,0.1941,0.196,7731452.6
2025-10-28 22:00:00,0.1959,0.1964,0.1945,0.196,1852785.5
2025-10-28 23:00:00,0.196,0.196,0.1943,0.1954,1176537.4
2025-10-29 00:00:00,0.1954,0.1964,0.1947,0.195,1577395.0
2025-10-29 01:00:00,0.1949,0.1964,0.1947,0.1956,1147627.4
2025-10-29 02:00:00,0.1956,0.1956,0.1944,0.1946,980657.8
2025-10-29 03:00:00,0.1945,0.1946,0.1936,0.1942,1688623.2
2025-10-29 04:00:00,0.1942,0.1953,0.1941,0.1943,749189.3
2025-10-29 05:00:00,0.1944,0.196,0.1942,0.1955,1404128.6
2025-10-29 06:00:00,0.1954,0.1961,0.1951,0.1957,943966.3
