datetime,open,high,low,close,volume
2023-08-14,0.064,0.48,0.064,0.1517,3199147679.6
2023-08-21,0.1517,0.1561,0.1278,0.1319,706351050.8
2023-08-28,0.1319,0.1719,0.1184,0.1279,2089228853.3
2023-09-04,0.128,0.1364,0.1106,0.1203,646485853.6
2023-09-11,0.1203,0.1493,0.1132,0.123,936270935.5
2023-09-18,0.1229,0.1308,0.1173,0.1184,427674655.0
2023-09-25,0.1184,0.1269,0.1153,0.1247,328763070.0
2023-10-02,0.1247,0.1263,0.1107,0.1157,280144171.7
2023-10-09,0.1156,0.1157,0.1005,0.1031,239088809.0
2023-10-16,0.103,0.1118,0.0947,0.1055,490932312.6
2023-10-23,0.1055,0.1177,0.103,0.1115,690045933.9
2023-10-30,0.1116,0.1233,0.1059,0.1173,747857622.3
2023-11-06,0.1172,0.1372,0.1088,0.1328,733994843.2
2023-11-13,0.1327,0.1755,0.1302,0.1481,1867924597.3
2023-11-20,0.1482,0.2603,0.1456,0.2285,2535430958.3
2023-11-27,0.2286,0.2998,0.2,0.266,2086037329.2
2023-12-04,0.2659,0.32,0.2542,0.264,1090713409.7
2023-12-11,0.264,0.2659,0.2194,0.2329,916668988.3
2023-12-18,0.2329,0.4186,0.2213,0.3634,2422459782.5
2023-12-25,0.3633,0.6357,0.3508,0.5601,2455166306.8
2024-01-01,0.5602,0.8828,0.55,0.6771,2202899503.7
2024-01-08,0.677,0.828,0.58,0.693,1371162584.6
2024-01-15,0.693,0.8751,0.6456,0.6501,1135253928.7
2024-01-22,0.65,0.6898,0.5623,0.6568,1000248944.2
2024-01-29,0.6568,0.7546,0.5928,0.5953,868127915.6
2024-02-05,0.5953,0.7224,0.5793,0.6784,610868940.4
2024-02-12,0.6784,1.0368,0.6587,0.9614,1024706062.4
2024-02-19,0.9615,0.9804,0.77,0.8244,589045150.1
2024-02-26,0.8245,0.9387,0.7673,0.8194,726265577.7
2024-03-04,0.8196,0.9766,0.61,0.867,1061765825.0
2024-03-11,0.8669,1.145,0.7906,0.9046,1248594175.2
2024-03-18,0.9046,0.9047,0.749,0.8173,594275848.6
2024-03-25,0.8174,0.9135,0.8027,0.8234,429799989.2
2024-04-01,0.8235,0.8266,0.6684,0.733,328036095.0
2024-04-08,0.733,0.7533,0.4163,0.5454,544490217.4
2024-04-15,0.5455,0.6117,0.4558,0.588,474907473.0
2024-04-22,0.588,0.6852,0.5464,0.5937,505931808.1
2024-04-29,0.5937,0.6471,0.495,0.5601,503130246.2
2024-05-06,0.56,0.5871,0.4927,0.5,243304535.4
2024-05-13,0.5001,0.5908,0.4444,0.523,370351175.8
2024-05-20,0.523,0.6003,0.4929,0.5366,295914579.4
2024-05-27,0.5366,0.5799,0.4752,0.4792,253116348.2
2024-06-03,0.4793,0.5653,0.4636,0.5018,367918191.8
2024-06-10,0.5018,0.5044,0.4017,0.4142,314584768.8
2024-06-17,0.4142,0.4195,0.3311,0.3488,344485039.9
2024-06-24,0.3488,0.3844,0.3246,0.3408,211628121.7
2024-07-01,0.3409,0.3487,0.2407,0.2593,389531480.9
2024-07-08,0.2592,0.3463,0.2471,0.3279,512941977.9
2024-07-15,0.3278,0.43,0.325,0.3943,414316763.9
2024-07-22,0.3944,0.418,0.34,0.3519,345819722.9
2024-07-29,0.3519,0.3716,0.241,0.2501,401324168.4
2024-08-05,0.2502,0.3115,0.2026,0.2681,655637779.4
2024-08-12,0.2681,0.3145,0.2588,0.2666,491919943.6
2024-08-19,0.2665,0.3619,0.2563,0.351,563800894.1
2024-08-26,0.3509,0.3673,0.2644,0.2664,594805373.8
2024-09-02,0.2664,0.2903,0.2512,0.2812,444284565.4
2024-09-09,0.2811,0.3172,0.2724,0.2993,593834507.5
2024-09-16,0.2993,0.3996,0.2621,0.3717,1016037284.2
2024-09-23,0.3719,0.5208,0.3601,0.4823,1283550475.3
2024-09-30,0.4823,0.5031,0.3785,0.4389,1353508904.2
2024-10-07,0.4388,0.4948,0.3882,0.4905,1160839839.4
2024-10-14,0.4907,0.5107,0.4221,0.4532,755172007.4
2024-10-21,0.4532,0.4607,0.3526,0.3748,651375876.2
2024-10-28,0.3748,0.4207,0.3304,0.3483,645777957.0
2024-11-04,0.3483,0.4894,0.3321,0.4674,877189538.5
2024-11-11,0.4674,0.5533,0.4199,0.5,1559863814.7
2024-11-18,0.5001,0.6815,0.4426,0.6623,1436110384.8
2024-11-25,0.6623,0.7137,0.5876,0.6534,1435622395.2
2024-12-02,0.6534,0.7357,0.5914,0.6911,1196968652.7
2024-12-09,0.6912,0.6912,0.5,0.5954,951804729.8
2024-12-16,0.5954,0.6122,0.3717,0.4191,1084441912.7
2024-12-23,0.4192,0.4786,0.4055,0.4105,556527747.5
2024-12-30,0.4106,0.4804,0.3899,0.4585,455091431.4
2025-01-06,0.4586,0.4792,0.3665,0.3826,643880646.8
2025-01-13,0.3827,0.4339,0.3382,0.3476,845970984.8
2025-01-20,0.3476,0.389,0.3286,0.3373,813043109.7
2025-01-27,0.3373,0.3473,0.2433,0.2547,759488312.7
2025-02-03,0.2547,0.2593,0.188,0.2249,1128520336.9
2025-02-10,0.2249,0.2501,0.2161,0.2332,574061877.6
2025-02-17,0.2331,0.2914,0.2143,0.2806,1165288190.2
2025-02-24,0.2807,0.2923,0.2321,0.27,1586008525.5
2025-03-03,0.2701,0.2712,0.1977,0.2013,1051375920.7
2025-03-10,0.2013,0.2076,0.1725,0.1968,1090051154.1
2025-03-17,0.1967,0.2046,0.1872,0.1932,461316082.9
2025-03-24,0.1932,0.2181,0.1735,0.1754,631974019.8
2025-03-31,0.1755,0.1793,0.1424,0.1448,698063217.6
2025-04-07,0.1448,0.1862,0.1303,0.1728,974160769.4
2025-04-14,0.1729,0.1887,0.1634,0.1709,597567621.9
2025-04-21,0.1709,0.2119,0.1706,0.1993,698768516.1
