datetime,open,high,low,close,volume
2022-10-17,1.0,100.0,1.0,9.7815,155930272.43
2022-10-24,9.7808,9.968,7.592,7.8049,114530001.42
2022-10-31,7.8015,8.315,7.1259,7.3095,70463099.25
2022-11-07,7.3095,7.4586,3.4356,4.2196,111376960.55
2022-11-14,4.219,4.9688,3.7708,4.1024,63534299.64
2022-11-21,4.1011,5.0486,3.8563,4.7944,49803401.78
2022-11-28,4.7909,5.4,4.31,5.1829,37994976.04
2022-12-05,5.1857,5.4286,4.6033,4.6637,22927185.77
2022-12-12,4.6631,4.7976,3.9609,4.0537,28659813.31
2022-12-19,4.0536,4.1489,3.5208,3.5779,23600306.67
2022-12-26,3.5782,3.6723,3.066,3.5214,32276076.26
2023-01-02,3.5219,4.0249,3.4347,3.932,44310807.41
2023-01-09,3.9327,8.8549,3.8936,7.9255,169913955.44
2023-01-16,7.9245,14.578,7.0178,13.3033,137884199.61
2023-01-23,13.3036,20.4,11.7595,18.3357,105310556.06
2023-01-30,18.3226,20.3835,14.8,15.423,74368885.16
2023-02-06,15.4261,16.35,12.5883,13.1054,75323168.67
2023-02-13,13.105,16.7422,12.346,14.0791,68000922.69
2023-02-20,14.0766,14.3965,11.4966,12.6407,38203379.14
2023-02-27,12.638,13.7777,10.6252,11.1566,46120130.9
2023-03-06,11.1564,12.06,9.7006,11.8899,55515315.47
2023-03-13,11.877,14.6337,11.3999,13.0176,66654330.77
2023-03-20,13.0163,13.3378,11.4083,11.8537,36536251.09
2023-03-27,11.851,12.58,10.7233,12.1596,28014723.81
2023-04-03,12.1579,12.1597,10.6114,11.0699,22925460.69
2023-04-10,11.0682,13.6434,10.8912,12.591,34632997.16
2023-04-17,12.5904,13.164,9.72,10.216,30250009.98
2023-04-24,10.2131,11.0,9.43,10.3199,29590813.89
2023-05-01,10.3198,10.3494,9.0005,9.203,21406477.27
2023-05-08,9.201,9.2662,7.7275,8.4757,24554324.78
2023-05-15,8.4761,9.0078,8.0481,8.1618,17491196.87
2023-05-22,8.162,8.7,7.7405,8.5131,13931996.21
2023-05-29,8.5143,9.4228,8.1613,9.1779,20846249.59
2023-06-05,9.177,9.2379,5.4,6.2443,32889725.96
2023-06-12,6.247,7.26,5.8967,6.73,27217401.04
2023-06-19,6.7271,7.9817,6.649,7.5415,24376460.2
2023-06-26,7.5445,7.7375,6.67,7.3288,22149293.14
2023-07-03,7.3321,8.337,6.8887,7.0922,21505300.14
2023-07-10,7.0963,7.99,6.804,7.4102,21831174.02
2023-07-17,7.4092,8.1948,7.3261,7.5724,16259352.93
2023-07-24,7.572,7.5938,6.8187,7.0179,10447908.14
2023-07-31,7.0167,7.1,6.6016,6.7128,8605560.21
2023-08-07,6.7137,8.0,6.45,7.0542,31394974.94
2023-08-14,7.0542,7.1425,4.93,6.0691,21726147.76
2023-08-21,6.0682,6.1355,5.5727,5.7007,9592063.0
2023-08-28,5.7011,5.9888,5.3831,5.4664,9809886.46
2023-09-04,5.467,5.6732,5.1,5.1715,8391572.88
2023-09-11,5.1715,5.3626,4.89,5.2265,12664557.6
2023-09-18,5.2271,5.49,5.0306,5.3246,13772774.52
2023-09-25,5.324,5.8312,5.1881,5.6719,31673719.45
2023-10-02,5.6744,5.7615,5.11,5.1985,11697879.95
2023-10-09,5.1986,5.2235,4.7,4.9283,9344970.4
2023-10-16,4.9282,6.3,4.7924,6.1583,32906294.98
2023-10-23,6.1622,7.027,5.7777,6.7377,43024334.29
2023-10-30,6.7382,7.4625,6.3703,6.8751,25740991.12
2023-11-06,6.8752,8.4743,6.3,7.8127,35949867.27
2023-11-13,7.8131,8.2768,6.7,7.2135,29194103.29
2023-11-20,7.2147,7.6203,6.7343,7.2757,20103751.95
2023-11-27,7.2758,7.5258,6.7306,7.3024,11920478.55
2023-12-04,7.3025,8.799,6.9,8.4324,31126429.64
2023-12-11,8.4296,9.22,7.36,8.0393,37276228.98
2023-12-18,8.0393,10.15,7.4679,9.3105,36195127.95
2023-12-25,9.3109,10.9882,9.1268,9.3869,30885149.0
2024-01-01,9.3867,11.1018,7.8203,8.4746,41938253.68
2024-01-08,8.4761,10.4061,7.7912,9.6752,44204417.01
2024-01-15,9.6754,10.4294,8.1,8.4456,23275737.81
2024-01-22,8.4457,9.3523,7.5,8.8666,23354597.56
2024-01-29,8.866,9.744,8.5814,8.8369,22598768.94
2024-02-05,8.8363,9.279,8.4547,9.0435,17797593.01
2024-02-12,9.0445,10.798,8.7532,9.6915,37052315.94
2024-02-19,9.6922,10.2582,8.8582,9.6543,29525822.05
2024-02-26,9.6577,13.1635,9.3205,11.5984,64701608.83
2024-03-04,11.5995,14.5508,11.3331,12.7445,57570298.55
2024-03-11,12.7467,15.811,12.0505,14.026,61480766.1
2024-03-18,14.0279,16.9906,13.5354,16.34,70107307.51
2024-03-25,16.3408,19.3664,15.768,17.0751,37823118.0
2024-04-01,17.0717,17.8974,12.6076,13.6318,42831460.15
