datetime,open,high,low,close,volume
2026-01-22 15:00:00,2.346,2.352,2.33,2.332,22191.36
2026-01-22 15:30:00,2.332,2.365,2.33,2.351,21941.47
2026-01-22 16:00:00,2.351,2.362,2.339,2.351,38032.79
2026-01-22 16:30:00,2.352,2.362,2.346,2.356,20304.83
2026-01-22 17:00:00,2.357,2.36,2.343,2.346,14304.07
2026-01-22 17:30:00,2.346,2.354,2.334,2.347,25398.79
2026-01-22 18:00:00,2.346,2.346,2.334,2.336,15649.58
2026-01-22 18:30:00,2.337,2.342,2.333,2.333,17834.29
2026-01-22 19:00:00,2.333,2.342,2.329,2.34,15552.38
2026-01-22 19:30:00,2.34,2.358,2.34,2.352,22279.44
2026-01-22 20:00:00,2.351,2.354,2.337,2.339,14920.98
2026-01-22 20:30:00,2.339,2.346,2.333,2.344,15807.73
2026-01-22 21:00:00,2.344,2.354,2.343,2.351,11940.17
2026-01-22 21:30:00,2.351,2.351,2.342,2.345,12118.3
2026-01-22 22:00:00,2.345,2.355,2.336,2.338,21518.43
2026-01-22 22:30:00,2.338,2.343,2.332,2.338,14529.3
2026-01-22 23:00:00,2.338,2.338,2.327,2.335,16572.93
2026-01-22 23:30:00,2.335,2.337,2.329,2.335,8232.45
2026-01-23 00:00:00,2.336,2.346,2.33,2.343,13312.14
2026-01-23 00:30:00,2.343,2.355,2.338,2.349,37183.62
2026-01-23 01:00:00,2.35,2.362,2.35,2.362,17530.01
2026-01-23 01:30:00,2.363,2.376,2.362,2.375,12600.53
2026-01-23 02:00:00,2.374,2.376,2.369,2.373,10120.36
2026-01-23 02:30:00,2.373,2.377,2.362,2.364,22749.2
2026-01-23 03:00:00,2.363,2.388,2.361,2.387,50423.48
2026-01-23 03:30:00,2.388,2.392,2.384,2.386,16246.94
2026-01-23 04:00:00,2.386,2.395,2.376,2.394,38385.11
2026-01-23 04:30:00,2.393,2.404,2.388,2.396,20913.74
2026-01-23 05:00:00,2.395,2.397,2.384,2.389,22480.35
2026-01-23 05:30:00,2.389,2.392,2.377,2.386,13151.14
2026-01-23 06:00:00,2.386,2.388,2.365,2.367,19754.0
2026-01-23 06:30:00,2.369,2.386,2.369,2.373,18996.61
2026-01-23 07:00:00,2.373,2.377,2.369,2.37,18269.94
2026-01-23 07:30:00,2.37,2.374,2.367,2.369,11344.37
2026-01-23 08:00:00,2.369,2.374,2.364,2.365,14713.82
2026-01-23 08:30:00,2.365,2.365,2.349,2.36,22058.11
2026-01-23 09:00:00,2.36,2.38,2.36,2.373,43642.49
2026-01-23 09:30:00,2.374,2.391,2.372,2.387,26043.31
2026-01-23 10:00:00,2.386,2.387,2.369,2.371,16367.7
2026-01-23 10:30:00,2.372,2.381,2.367,2.376,35048.95
2026-01-23 11:00:00,2.376,2.389,2.373,2.378,32730.35
2026-01-23 11:30:00,2.377,2.379,2.369,2.377,14845.76
2026-01-23 12:00:00,2.379,2.383,2.371,2.373,16884.99
2026-01-23 12:30:00,2.373,2.373,2.367,2.369,13471.9
2026-01-23 13:00:00,2.369,2.38,2.365,2.376,21952.47
2026-01-23 13:30:00,2.376,2.384,2.373,2.379,13641.61
2026-01-23 14:00:00,2.38,2.38,2.373,2.377,13010.29
2026-01-23 14:30:00,2.376,2.377,2.333,2.35,103176.73
2026-01-23 15:00:00,2.351,2.367,2.337,2.36,60928.6
2026-01-23 15:30:00,2.359,2.392,2.358,2.39,34471.83
2026-01-23 16:00:00,2.39,2.398,2.38,2.382,24014.91
2026-01-23 16:30:00,2.383,2.407,2.375,2.393,35068.99
2026-01-23 17:00:00,2.393,2.411,2.378,2.41,29900.89
2026-01-23 17:30:00,2.41,2.419,2.396,2.398,31397.48
2026-01-23 18:00:00,2.398,2.413,2.394,2.399,16779.4
2026-01-23 18:30:00,2.399,2.403,2.388,2.391,13171.83
2026-01-23 19:00:00,2.392,2.393,2.367,2.369,38335.92
2026-01-23 19:30:00,2.369,2.37,2.358,2.368,15051.93
2026-01-23 20:00:00,2.366,2.373,2.358,2.358,15376.32
2026-01-23 20:30:00,2.357,2.357,2.34,2.352,26044.6
2026-01-23 21:00:00,2.351,2.366,2.351,2.359,17040.01
2026-01-23 21:30:00,2.359,2.359,2.35,2.35,10170.33
2026-01-23 22:00:00,2.35,2.363,2.35,2.362,11232.2
2026-01-23 22:30:00,2.362,2.372,2.358,2.371,11061.78
2026-01-23 23:00:00,2.37,2.37,2.359,2.362,11299.87
2026-01-23 23:30:00,2.362,2.369,2.359,2.368,6996.61
2026-01-24 00:00:00,2.368,2.373,2.362,2.368,22640.37
2026-01-24 00:30:00,2.369,2.369,2.356,2.356,7275.47
2026-01-24 01:00:00,2.355,2.359,2.351,2.357,7836.32
2026-01-24 01:30:00,2.358,2.359,2.35,2.355,7943.51
2026-01-24 02:00:00,2.356,2.361,2.355,2.356,7310.87
2026-01-24 02:30:00,2.355,2.359,2.354,2.355,7827.83
2026-01-24 03:00:00,2.355,2.363,2.354,2.363,7088.96
2026-01-24 03:30:00,2.362,2.364,2.354,2.357,8218.99
2026-01-24 04:00:00,2.357,2.359,2.349,2.35,9146.96
2026-01-24 04:30:00,2.349,2.357,2.349,2.356,6040.35
2026-01-24 05:00:00,2.357,2.361,2.351,2.358,13898.61
2026-01-24 05:30:00,2.357,2.359,2.351,2.358,5464.77
2026-01-24 06:00:00,2.358,2.373,2.357,2.372,18432.81
2026-01-24 06:30:00,2.373,2.381,2.366,2.369,34074.44
2026-01-24 07:00:00,2.369,2.369,2.358,2.359,8565.97
2026-01-24 07:30:00,2.359,2.369,2.359,2.365,12067.55
