datetime,open,high,low,close,volume
2025-04-22 16:00:00,4.208,4.256,4.197,4.255,364599.87
2025-04-22 20:00:00,4.256,4.34,4.247,4.31,452864.45
2025-04-23 00:00:00,4.311,4.383,4.292,4.383,432948.15
2025-04-23 04:00:00,4.382,4.422,4.344,4.36,807165.02
2025-04-23 08:00:00,4.359,4.399,4.313,4.371,577543.22
2025-04-23 12:00:00,4.371,4.415,4.275,4.353,610121.67
2025-04-23 16:00:00,4.352,4.43,4.305,4.373,334256.43
2025-04-23 20:00:00,4.372,4.443,4.37,4.409,190107.4
2025-04-24 00:00:00,4.408,4.422,4.302,4.302,210046.14
2025-04-24 04:00:00,4.302,4.398,4.296,4.339,305764.31
2025-04-24 08:00:00,4.339,4.382,4.281,4.36,216134.94
2025-04-24 12:00:00,4.362,4.594,4.346,4.556,1084616.22
2025-04-24 16:00:00,4.556,4.615,4.52,4.552,471794.16
2025-04-24 20:00:00,4.553,4.602,4.534,4.551,259245.49
2025-04-25 00:00:00,4.55,4.56,4.424,4.484,386774.78
2025-04-25 04:00:00,4.484,4.579,4.45,4.57,235466.72
2025-04-25 08:00:00,4.571,4.579,4.508,4.549,288646.74
2025-04-25 12:00:00,4.55,4.612,4.492,4.607,491034.48
2025-04-25 16:00:00,4.607,4.63,4.521,4.544,310900.74
2025-04-25 20:00:00,4.544,4.585,4.51,4.543,131781.95
2025-04-26 00:00:00,4.544,4.642,4.544,4.6,194675.79
2025-04-26 04:00:00,4.601,4.663,4.555,4.644,355939.24
2025-04-26 08:00:00,4.644,4.67,4.548,4.558,903660.87
2025-04-26 12:00:00,4.558,4.692,4.549,4.664,396309.17
2025-04-26 16:00:00,4.665,4.734,4.628,4.643,290687.84
2025-04-26 20:00:00,4.644,4.651,4.576,4.587,132002.0
2025-04-27 00:00:00,4.588,4.626,4.466,4.499,324858.14
2025-04-27 04:00:00,4.499,4.523,4.435,4.478,1145619.37
2025-04-27 08:00:00,4.479,4.49,4.439,4.481,160554.38
2025-04-27 12:00:00,4.481,4.493,4.408,4.417,264791.91
2025-04-27 16:00:00,4.417,4.462,4.363,4.459,345622.69
