datetime,open,high,low,close,volume
2025-10-24 15:00:00,19.31,19.45,19.23,19.26,97414.39
2025-10-24 16:00:00,19.27,19.36,19.12,19.22,99761.27
2025-10-24 17:00:00,19.21,19.35,19.2,19.24,75062.54
2025-10-24 18:00:00,19.24,19.4,19.23,19.39,34093.04
2025-10-24 19:00:00,19.4,19.57,19.39,19.51,125320.66
2025-10-24 20:00:00,19.51,19.65,19.5,19.58,139924.29
2025-10-24 21:00:00,19.58,19.63,19.53,19.6,122390.95
2025-10-24 22:00:00,19.6,19.62,19.53,19.56,88594.89
2025-10-24 23:00:00,19.55,19.55,19.47,19.49,104897.3
2025-10-25 00:00:00,19.49,19.52,19.37,19.41,98826.16
2025-10-25 01:00:00,19.42,19.52,19.37,19.45,72529.89
2025-10-25 02:00:00,19.44,19.46,19.37,19.39,44052.35
2025-10-25 03:00:00,19.39,19.41,19.32,19.34,64409.32
2025-10-25 04:00:00,19.34,19.42,19.32,19.32,84122.64
2025-10-25 05:00:00,19.33,19.37,19.31,19.35,79515.93
2025-10-25 06:00:00,19.35,19.38,19.29,19.31,66686.74
2025-10-25 07:00:00,19.31,19.46,19.3,19.36,75603.66
2025-10-25 08:00:00,19.36,19.44,19.34,19.43,51378.88
2025-10-25 09:00:00,19.43,19.45,19.32,19.33,50865.32
2025-10-25 10:00:00,19.33,19.35,19.24,19.3,59000.68
2025-10-25 11:00:00,19.3,19.37,19.27,19.33,22881.41
2025-10-25 12:00:00,19.34,19.57,19.32,19.55,61708.42
2025-10-25 13:00:00,19.55,19.56,19.46,19.51,58336.67
2025-10-25 14:00:00,19.51,19.56,19.47,19.55,47890.43
2025-10-25 15:00:00,19.55,19.56,19.48,19.53,32822.86
2025-10-25 16:00:00,19.53,19.54,19.45,19.49,26832.08
2025-10-25 17:00:00,19.48,19.55,19.47,19.52,21765.96
2025-10-25 18:00:00,19.51,19.72,19.5,19.7,90304.84
2025-10-25 19:00:00,19.71,19.83,19.7,19.74,176757.74
2025-10-25 20:00:00,19.74,19.77,19.66,19.67,57255.41
2025-10-25 21:00:00,19.67,19.71,19.64,19.7,50850.22
2025-10-25 22:00:00,19.7,19.77,19.65,19.76,56884.58
2025-10-25 23:00:00,19.75,19.76,19.69,19.71,30144.56
2025-10-26 00:00:00,19.72,19.81,19.63,19.67,79022.77
2025-10-26 01:00:00,19.67,19.68,19.46,19.53,89687.89
2025-10-26 02:00:00,19.53,19.54,19.37,19.43,57672.35
2025-10-26 03:00:00,19.43,19.43,19.34,19.39,27376.32
2025-10-26 04:00:00,19.38,19.53,19.36,19.49,42749.38
2025-10-26 05:00:00,19.49,19.67,19.45,19.66,52104.9
2025-10-26 06:00:00,19.67,19.69,19.6,19.65,43102.72
2025-10-26 07:00:00,19.66,19.72,19.62,19.7,30752.38
2025-10-26 08:00:00,19.71,20.11,19.71,20.01,358959.65
2025-10-26 09:00:00,20.01,20.14,19.92,20.07,225198.96
2025-10-26 10:00:00,20.07,20.1,19.97,20.0,60857.99
2025-10-26 11:00:00,19.99,20.4,19.91,20.37,311149.28
2025-10-26 12:00:00,20.37,20.43,20.27,20.35,212299.17
2025-10-26 13:00:00,20.35,20.67,20.34,20.59,333015.49
2025-10-26 14:00:00,20.59,20.63,20.41,20.46,113560.15
2025-10-26 15:00:00,20.45,20.47,20.27,20.41,161993.91
2025-10-26 16:00:00,20.41,20.42,20.24,20.28,77250.21
2025-10-26 17:00:00,20.28,20.33,20.22,20.26,48081.67
2025-10-26 18:00:00,20.26,20.32,20.24,20.27,39644.55
2025-10-26 19:00:00,20.27,20.31,20.21,20.31,44452.8
2025-10-26 20:00:00,20.3,20.31,20.14,20.18,56929.84
2025-10-26 21:00:00,20.19,20.3,20.1,20.26,51693.68
2025-10-26 22:00:00,20.26,20.78,20.26,20.72,382283.17
2025-10-26 23:00:00,20.72,20.96,20.7,20.82,176620.03
2025-10-27 00:00:00,20.83,20.98,20.79,20.79,100380.35
2025-10-27 01:00:00,20.8,20.99,20.73,20.97,81259.31
2025-10-27 02:00:00,20.97,21.04,20.82,20.91,85171.92
2025-10-27 03:00:00,20.91,20.97,20.77,20.8,53418.25
2025-10-27 04:00:00,20.81,21.0,20.77,20.98,65402.35
