datetime,open,high,low,close,volume
2025-10-24 15:00:00,496.5,502.0,495.2,498.0,3437.811
2025-10-24 16:00:00,498.0,503.9,495.7,503.9,1328.074
2025-10-24 17:00:00,504.0,505.8,498.8,498.8,700.643
2025-10-24 18:00:00,498.7,502.2,498.2,500.2,623.872
2025-10-24 19:00:00,500.2,501.7,499.4,499.6,554.821
2025-10-24 20:00:00,499.7,502.9,499.0,502.1,498.636
2025-10-24 21:00:00,502.2,503.7,500.9,502.9,354.48
2025-10-24 22:00:00,502.8,503.7,502.0,502.6,338.241
2025-10-24 23:00:00,502.6,503.2,501.7,503.2,260.451
2025-10-25 00:00:00,503.2,507.2,499.5,503.3,6530.243
2025-10-25 01:00:00,503.4,507.5,503.2,505.8,1060.434
2025-10-25 02:00:00,505.8,506.3,502.7,503.1,789.588
2025-10-25 03:00:00,503.1,504.0,502.2,502.3,249.296
2025-10-25 04:00:00,502.3,507.2,501.9,504.7,509.388
2025-10-25 05:00:00,504.7,506.2,503.8,506.1,221.1
2025-10-25 06:00:00,506.2,512.8,506.2,508.7,3705.586
2025-10-25 07:00:00,508.7,509.8,507.0,507.7,877.679
2025-10-25 08:00:00,507.7,511.0,507.3,510.1,627.791
2025-10-25 09:00:00,510.1,511.1,507.8,507.9,555.807
2025-10-25 10:00:00,507.9,508.0,495.9,501.2,4749.465
2025-10-25 11:00:00,501.1,501.5,498.3,500.0,1123.921
2025-10-25 12:00:00,499.9,508.7,499.7,506.6,10653.53
2025-10-25 13:00:00,506.7,511.0,505.6,509.3,4809.473
2025-10-25 14:00:00,509.3,509.9,506.9,507.7,868.529
2025-10-25 15:00:00,507.7,508.6,506.3,507.1,601.905
2025-10-25 16:00:00,507.2,507.6,504.8,506.1,966.378
2025-10-25 17:00:00,506.1,509.0,506.1,507.4,306.669
2025-10-25 18:00:00,507.4,508.7,506.6,508.2,435.42
2025-10-25 19:00:00,508.3,508.3,506.4,507.5,322.547
2025-10-25 20:00:00,507.4,508.5,506.6,506.9,568.741
2025-10-25 21:00:00,506.8,507.6,505.8,507.1,236.069
2025-10-25 22:00:00,507.1,512.8,504.9,509.7,6315.144
2025-10-25 23:00:00,509.6,511.0,507.5,508.2,3253.891
2025-10-26 00:00:00,508.2,515.5,508.2,512.8,6983.992
2025-10-26 01:00:00,512.9,516.1,510.0,511.0,4055.961
2025-10-26 02:00:00,511.0,520.4,508.8,509.7,6912.096
2025-10-26 03:00:00,509.7,510.3,508.3,508.4,674.914
2025-10-26 04:00:00,508.5,511.7,508.3,511.2,827.191
2025-10-26 05:00:00,511.2,512.2,510.6,511.1,305.051
2025-10-26 06:00:00,511.1,511.5,509.7,510.5,499.272
2025-10-26 07:00:00,510.6,519.8,510.2,518.9,6768.271
2025-10-26 08:00:00,518.9,519.7,517.2,517.7,1206.727
2025-10-26 09:00:00,517.8,524.3,517.7,523.9,4601.331
2025-10-26 10:00:00,523.9,525.6,521.3,522.2,1625.162
2025-10-26 11:00:00,522.2,544.2,522.2,539.6,8511.961
2025-10-26 12:00:00,539.6,565.7,539.6,561.9,20557.929
2025-10-26 13:00:00,561.9,562.6,553.1,559.7,5129.583
2025-10-26 14:00:00,559.8,560.0,545.6,548.3,6173.056
2025-10-26 15:00:00,548.2,549.5,545.5,548.8,3415.083
2025-10-26 16:00:00,548.8,554.6,548.1,551.0,3736.791
2025-10-26 17:00:00,551.1,553.4,550.5,551.0,754.122
2025-10-26 18:00:00,551.0,559.0,551.0,555.0,6418.76
2025-10-26 19:00:00,555.0,556.4,552.9,554.5,1552.369
2025-10-26 20:00:00,554.5,554.5,551.9,553.7,781.428
2025-10-26 21:00:00,553.8,554.3,549.3,552.2,1044.906
2025-10-26 22:00:00,552.2,560.0,552.2,558.6,5196.972
2025-10-26 23:00:00,558.6,560.0,556.1,559.4,2940.211
2025-10-27 00:00:00,559.4,565.4,557.3,558.0,4943.167
2025-10-27 01:00:00,558.0,564.3,557.5,563.2,4111.533
2025-10-27 02:00:00,563.3,563.7,560.4,560.9,2349.23
2025-10-27 03:00:00,560.9,561.7,555.0,560.1,1831.782
2025-10-27 04:00:00,560.2,561.4,557.8,559.0,1561.919
2025-10-27 05:00:00,559.0,560.8,556.1,556.2,1451.54
2025-10-27 06:00:00,556.1,565.7,555.5,561.7,13489.449
2025-10-27 07:00:00,561.6,561.9,558.0,560.7,5585.882
2025-10-27 08:00:00,560.7,562.1,558.0,561.3,3959.099
2025-10-27 09:00:00,561.2,561.4,556.0,556.6,1780.757
2025-10-27 10:00:00,556.6,561.1,556.6,559.7,2647.834
2025-10-27 11:00:00,559.7,563.7,558.1,562.0,3449.912
2025-10-27 12:00:00,561.9,566.8,561.2,562.1,3018.195
2025-10-27 13:00:00,562.2,572.3,559.6,569.5,4786.05
2025-10-27 14:00:00,569.5,570.3,561.0,561.4,2468.4
2025-10-27 15:00:00,561.5,567.6,561.3,563.1,2896.12
2025-10-27 16:00:00,563.2,565.5,557.8,561.3,4514.787
2025-10-27 17:00:00,561.3,562.1,559.5,560.3,768.4
2025-10-27 18:00:00,560.4,561.5,558.0,558.7,1569.266
2025-10-27 19:00:00,558.7,560.0,556.0,558.1,1426.913
2025-10-27 20:00:00,558.1,580.0,545.8,556.5,14688.928
2025-10-27 21:00:00,556.4,558.8,555.9,556.9,1816.072
2025-10-27 22:00:00,556.8,558.7,554.5,555.2,961.095
2025-10-27 23:00:00,555.3,557.4,553.0,555.6,752.447
2025-10-28 00:00:00,555.6,558.0,554.3,555.6,2227.714
2025-10-28 01:00:00,555.9,557.7,554.8,556.5,2209.583
2025-10-28 02:00:00,556.4,560.7,552.8,556.7,4636.766
2025-10-28 03:00:00,556.7,560.7,555.2,559.8,20373.116
2025-10-28 04:00:00,559.7,580.0,559.1,562.2,7393.448
2025-10-28 05:00:00,562.3,562.8,550.0,555.1,14242.38
2025-10-28 06:00:00,555.1,563.9,554.1,558.7,15012.471
2025-10-28 07:00:00,558.7,561.1,554.9,555.0,10220.306
2025-10-28 08:00:00,555.1,562.7,552.6,555.6,16813.506
2025-10-28 09:00:00,555.6,558.9,553.7,555.4,4763.766
2025-10-28 10:00:00,555.4,556.2,554.3,555.4,721.799
2025-10-28 11:00:00,555.5,556.6,555.1,555.7,849.976
2025-10-28 12:00:00,555.7,560.9,554.8,560.0,1737.533
