datetime,open,high,low,close,volume
2026-04-08 14:30:00,606.78,607.11,603.35,603.36,2961.194
2026-04-08 14:35:00,603.35,604.51,602.3,604.13,1236.723
2026-04-08 14:40:00,604.14,604.66,603.5,603.69,770.624
2026-04-08 14:45:00,603.68,604.09,602.26,603.68,760.757
2026-04-08 14:50:00,603.69,603.74,602.02,602.59,703.454
2026-04-08 14:55:00,602.59,602.6,601.16,602.59,963.279
2026-04-08 15:00:00,602.6,603.41,602.33,603.22,430.901
2026-04-08 15:05:00,603.22,603.5,601.88,601.89,633.928
2026-04-08 15:10:00,601.89,603.16,601.69,603.15,304.729
2026-04-08 15:15:00,603.16,604.19,602.81,604.19,522.938
2026-04-08 15:20:00,604.19,604.59,604.01,604.28,515.665
2026-04-08 15:25:00,604.29,604.49,604.0,604.4,320.512
2026-04-08 15:30:00,604.41,604.67,604.3,604.6,329.371
2026-04-08 15:35:00,604.6,605.58,604.6,605.12,688.695
2026-04-08 15:40:00,605.11,605.3,604.73,605.19,268.616
2026-04-08 15:45:00,605.19,605.8,605.19,605.6,494.994
2026-04-08 15:50:00,605.6,605.7,605.0,605.37,1850.084
2026-04-08 15:55:00,605.37,605.76,605.2,605.35,179.644
2026-04-08 16:00:00,605.34,605.72,605.16,605.56,811.875
2026-04-08 16:05:00,605.57,605.75,605.53,605.57,427.753
2026-04-08 16:10:00,605.57,606.31,605.55,606.09,416.014
2026-04-08 16:15:00,606.1,606.62,605.91,606.51,388.878
2026-04-08 16:20:00,606.51,606.8,606.3,606.79,265.928
2026-04-08 16:25:00,606.79,606.81,606.48,606.53,325.582
2026-04-08 16:30:00,606.54,606.54,605.79,606.43,320.257
2026-04-08 16:35:00,606.43,606.91,606.43,606.9,232.289
2026-04-08 16:40:00,606.9,607.19,605.96,605.96,1441.339
2026-04-08 16:45:00,605.96,606.37,605.0,605.37,1863.273
2026-04-08 16:50:00,605.37,605.37,604.83,605.16,294.204
2026-04-08 16:55:00,605.17,605.93,605.17,605.2,222.667
2026-04-08 17:00:00,605.2,605.97,605.2,605.57,182.388
2026-04-08 17:05:00,605.58,605.62,605.39,605.49,140.216
2026-04-08 17:10:00,605.5,606.36,605.5,606.19,214.559
2026-04-08 17:15:00,606.18,606.19,605.56,605.66,150.347
2026-04-08 17:20:00,605.66,605.74,605.28,605.28,119.733
2026-04-08 17:25:00,605.29,605.44,604.63,605.25,166.651
2026-04-08 17:30:00,605.25,605.94,605.25,605.93,139.699
2026-04-08 17:35:00,605.93,607.79,605.92,606.89,828.378
2026-04-08 17:40:00,606.9,607.3,606.44,607.2,317.744
2026-04-08 17:45:00,607.2,607.32,606.88,607.21,176.135
2026-04-08 17:50:00,607.21,607.21,606.71,606.72,69.282
2026-04-08 17:55:00,606.72,606.95,606.68,606.94,90.25
2026-04-08 18:00:00,606.95,606.95,606.39,606.61,139.402
2026-04-08 18:05:00,606.61,607.01,606.61,606.69,73.46
2026-04-08 18:10:00,606.69,606.7,606.25,606.59,97.76
2026-04-08 18:15:00,606.59,606.86,604.26,604.73,819.081
2026-04-08 18:20:00,604.72,605.11,604.27,604.29,383.999
