datetime,open,high,low,close,volume
2026-04-08 14:40:00,1.291,1.292,1.288,1.289,39561.25
2026-04-08 14:45:00,1.288,1.291,1.285,1.288,33546.0
2026-04-08 14:50:00,1.288,1.288,1.281,1.286,51383.95
2026-04-08 14:55:00,1.285,1.285,1.281,1.285,36560.82
2026-04-08 15:00:00,1.285,1.286,1.282,1.285,49812.55
2026-04-08 15:05:00,1.285,1.286,1.283,1.284,15256.02
2026-04-08 15:10:00,1.283,1.288,1.282,1.286,13411.05
2026-04-08 15:15:00,1.286,1.291,1.285,1.291,15536.22
2026-04-08 15:20:00,1.29,1.291,1.288,1.289,22430.44
2026-04-08 15:25:00,1.289,1.29,1.285,1.286,11458.83
2026-04-08 15:30:00,1.286,1.288,1.285,1.286,9290.95
2026-04-08 15:35:00,1.287,1.289,1.286,1.289,15270.7
2026-04-08 15:40:00,1.289,1.29,1.288,1.288,9168.11
2026-04-08 15:45:00,1.289,1.291,1.289,1.291,12479.58
2026-04-08 15:50:00,1.29,1.292,1.29,1.292,7035.21
2026-04-08 15:55:00,1.292,1.293,1.291,1.293,3017.46
2026-04-08 16:00:00,1.293,1.293,1.291,1.291,14087.67
2026-04-08 16:05:00,1.291,1.294,1.291,1.291,20553.01
2026-04-08 16:10:00,1.291,1.292,1.29,1.291,4408.54
2026-04-08 16:15:00,1.29,1.291,1.288,1.29,8117.29
2026-04-08 16:20:00,1.29,1.29,1.287,1.288,2650.47
2026-04-08 16:25:00,1.287,1.289,1.286,1.287,14614.43
2026-04-08 16:30:00,1.287,1.287,1.284,1.287,12690.27
2026-04-08 16:35:00,1.287,1.289,1.287,1.288,9972.39
2026-04-08 16:40:00,1.288,1.289,1.287,1.289,4953.76
2026-04-08 16:45:00,1.289,1.294,1.288,1.293,17270.7
2026-04-08 16:50:00,1.293,1.293,1.291,1.292,7292.15
2026-04-08 16:55:00,1.292,1.293,1.292,1.293,1233.56
2026-04-08 17:00:00,1.292,1.297,1.292,1.296,11087.29
2026-04-08 17:05:00,1.296,1.299,1.296,1.298,12263.43
2026-04-08 17:10:00,1.299,1.302,1.298,1.298,22214.85
2026-04-08 17:15:00,1.298,1.299,1.295,1.295,4091.15
2026-04-08 17:20:00,1.295,1.295,1.291,1.291,11586.18
2026-04-08 17:25:00,1.292,1.292,1.289,1.289,6201.52
2026-04-08 17:30:00,1.29,1.291,1.287,1.288,8541.71
2026-04-08 17:35:00,1.288,1.295,1.288,1.291,36380.17
2026-04-08 17:40:00,1.291,1.292,1.29,1.292,22654.48
2026-04-08 17:45:00,1.292,1.292,1.291,1.291,6019.53
2026-04-08 17:50:00,1.291,1.293,1.291,1.292,4394.78
2026-04-08 17:55:00,1.292,1.292,1.291,1.292,2813.52
2026-04-08 18:00:00,1.292,1.292,1.289,1.29,6835.44
2026-04-08 18:05:00,1.29,1.291,1.289,1.29,3957.48
2026-04-08 18:10:00,1.289,1.29,1.289,1.289,4201.35
2026-04-08 18:15:00,1.289,1.29,1.285,1.286,9731.36
2026-04-08 18:20:00,1.286,1.286,1.282,1.283,10161.73
2026-04-08 18:25:00,1.282,1.284,1.281,1.282,14332.27
2026-04-08 18:30:00,1.282,1.288,1.282,1.288,12952.11
2026-04-08 18:35:00,1.288,1.288,1.284,1.285,8210.24
2026-04-08 18:40:00,1.284,1.284,1.279,1.28,16232.29
2026-04-08 18:45:00,1.28,1.282,1.279,1.279,11374.99
2026-04-08 18:50:00,1.278,1.279,1.276,1.277,13463.03
2026-04-08 18:55:00,1.277,1.277,1.274,1.276,8607.3
