datetime,open,high,low,close,volume
2026-04-08 14:50:00,8.53,8.54,8.5,8.54,2402.88
2026-04-08 14:55:00,8.53,8.55,8.49,8.54,18948.97
2026-04-08 15:00:00,8.54,8.55,8.53,8.54,3073.9
2026-04-08 15:05:00,8.54,8.55,8.52,8.53,6462.8
2026-04-08 15:10:00,8.53,8.55,8.53,8.55,2978.28
2026-04-08 15:15:00,8.55,8.56,8.53,8.54,1550.19
2026-04-08 15:20:00,8.54,8.56,8.54,8.55,1859.97
2026-04-08 15:25:00,8.54,8.54,8.52,8.52,461.75
2026-04-08 15:30:00,8.52,8.52,8.51,8.51,536.46
2026-04-08 15:35:00,8.51,8.53,8.51,8.52,873.94
2026-04-08 15:40:00,8.52,8.53,8.52,8.53,1542.54
2026-04-08 15:45:00,8.52,8.53,8.52,8.53,1810.2
2026-04-08 15:50:00,8.53,8.54,8.51,8.52,8304.77
2026-04-08 15:55:00,8.52,8.53,8.51,8.52,7631.73
2026-04-08 16:00:00,8.52,8.53,8.52,8.52,1616.01
2026-04-08 16:05:00,8.52,8.54,8.52,8.53,577.27
2026-04-08 16:10:00,8.53,8.54,8.51,8.52,1396.61
2026-04-08 16:15:00,8.52,8.53,8.51,8.52,1290.53
2026-04-08 16:20:00,8.52,8.53,8.51,8.53,1771.5
2026-04-08 16:25:00,8.54,8.54,8.52,8.52,181.59
2026-04-08 16:30:00,8.52,8.52,8.5,8.52,2267.92
2026-04-08 16:35:00,8.52,8.53,8.52,8.52,163.9
2026-04-08 16:40:00,8.53,8.54,8.52,8.53,2005.22
2026-04-08 16:45:00,8.54,8.56,8.53,8.56,979.79
2026-04-08 16:50:00,8.56,8.56,8.54,8.55,706.27
2026-04-08 16:55:00,8.55,8.56,8.55,8.55,151.32
2026-04-08 17:00:00,8.56,8.59,8.56,8.58,3642.99
2026-04-08 17:05:00,8.58,8.59,8.58,8.58,174.89
2026-04-08 17:10:00,8.57,8.59,8.57,8.58,431.95
2026-04-08 17:15:00,8.58,8.58,8.56,8.56,389.88
2026-04-08 17:20:00,8.56,8.56,8.54,8.55,266.41
2026-04-08 17:25:00,8.54,8.56,8.54,8.54,598.47
2026-04-08 17:30:00,8.55,8.55,8.54,8.54,470.52
2026-04-08 17:35:00,8.54,8.6,8.54,8.57,1843.32
2026-04-08 17:40:00,8.57,8.58,8.55,8.56,1094.71
2026-04-08 17:45:00,8.56,8.57,8.56,8.57,398.2
2026-04-08 17:50:00,8.57,8.58,8.56,8.57,610.66
2026-04-08 17:55:00,8.57,8.57,8.56,8.56,258.31
2026-04-08 18:00:00,8.56,8.57,8.56,8.56,19.04
2026-04-08 18:05:00,8.56,8.57,8.56,8.57,479.56
2026-04-08 18:10:00,8.57,8.57,8.56,8.57,638.96
2026-04-08 18:15:00,8.57,8.57,8.55,8.56,654.27
2026-04-08 18:20:00,8.56,8.56,8.54,8.55,89.01
2026-04-08 18:25:00,8.54,8.56,8.54,8.54,1555.41
2026-04-08 18:30:00,8.54,8.57,8.54,8.57,5125.33
2026-04-08 18:35:00,8.56,8.57,8.55,8.56,239.97
2026-04-08 18:40:00,8.56,8.56,8.54,8.54,286.32
2026-04-08 18:45:00,8.54,8.56,8.52,8.54,1277.97
2026-04-08 18:50:00,8.53,8.53,8.52,8.52,3445.07
2026-04-08 18:55:00,8.52,8.53,8.52,8.52,356.81
2026-04-08 19:00:00,8.52,8.53,8.51,8.51,1404.57
2026-04-08 19:05:00,8.51,8.53,8.51,8.51,554.22
2026-04-08 19:10:00,8.52,8.53,8.51,8.52,316.88
2026-04-08 19:15:00,8.52,8.53,8.51,8.51,1390.51
2026-04-08 19:20:00,8.51,8.51,8.48,8.5,7798.86
2026-04-08 19:25:00,8.49,8.5,8.47,8.48,7411.48
2026-04-08 19:30:00,8.48,8.5,8.47,8.48,4587.11
2026-04-08 19:35:00,8.48,8.49,8.47,8.49,4182.82
2026-04-08 19:40:00,8.49,8.5,8.49,8.5,751.92
2026-04-08 19:45:00,8.5,8.51,8.5,8.51,544.56
2026-04-08 19:50:00,8.5,8.5,8.49,8.49,295.0
2026-04-08 19:55:00,8.49,8.5,8.48,8.5,529.97
2026-04-08 20:00:00,8.5,8.5,8.49,8.5,423.48
2026-04-08 20:05:00,8.49,8.49,8.49,8.49,1007.84
2026-04-08 20:10:00,8.49,8.51,8.49,8.51,622.39
2026-04-08 20:15:00,8.5,8.5,8.5,8.5,323.62
2026-04-08 20:20:00,8.49,8.49,8.49,8.49,704.34
2026-04-08 20:25:00,8.49,8.49,8.49,8.49,59.15
2026-04-08 20:30:00,8.49,8.5,8.49,8.49,200.13
2026-04-08 20:35:00,8.48,8.48,8.48,8.48,64.07
2026-04-08 20:40:00,8.48,8.48,8.47,8.48,5.64
2026-04-08 20:45:00,8.48,8.48,8.45,8.47,4911.21
2026-04-08 20:50:00,8.47,8.48,8.46,8.47,529.7
2026-04-08 20:55:00,8.47,8.47,8.47,8.47,255.38
2026-04-08 21:00:00,8.47,8.47,8.45,8.45,2181.16
2026-04-08 21:05:00,8.46,8.47,8.46,8.47,388.04
2026-04-08 21:10:00,8.46,8.47,8.46,8.47,576.71
2026-04-08 21:15:00,8.47,8.49,8.47,8.48,2911.62
2026-04-08 21:20:00,8.48,8.5,8.48,8.49,897.46
2026-04-08 21:25:00,8.49,8.51,8.48,8.5,1607.82
2026-04-08 21:30:00,8.5,8.51,8.49,8.49,1006.33
2026-04-08 21:35:00,8.49,8.5,8.49,8.5,742.76
2026-04-08 21:40:00,8.5,8.5,8.49,8.5,173.04
2026-04-08 21:45:00,8.5,8.5,8.5,8.5,38.04
2026-04-08 21:50:00,8.5,8.5,8.5,8.5,162.55
2026-04-08 21:55:00,8.49,8.5,8.48,8.48,936.82
2026-04-08 22:00:00,8.48,8.48,8.48,8.48,588.83
2026-04-08 22:05:00,8.47,8.47,8.47,8.47,65.88
2026-04-08 22:10:00,8.47,8.47,8.46,8.46,390.11
2026-04-08 22:15:00,8.46,8.48,8.46,8.46,828.91
2026-04-08 22:20:00,8.46,8.47,8.45,8.47,7231.04
2026-04-08 22:25:00,8.47,8.48,8.45,8.46,913.22
2026-04-08 22:30:00,8.45,8.49,8.45,8.49,1925.87
2026-04-08 22:35:00,8.49,8.5,8.49,8.5,481.6
2026-04-08 22:40:00,8.49,8.49,8.48,8.48,678.3
2026-04-08 22:45:00,8.48,8.49,8.48,8.49,653.81
2026-04-08 22:50:00,8.48,8.49,8.47,8.47,151.06
2026-04-08 22:55:00,8.48,8.48,8.45,8.45,782.84
2026-04-08 23:00:00,8.45,8.45,8.42,8.43,3880.5
2026-04-08 23:05:00,8.42,8.44,8.42,8.43,1588.38
2026-04-08 23:10:00,8.43,8.46,8.43,8.46,968.56
2026-04-08 23:15:00,8.46,8.47,8.45,8.45,597.73
2026-04-08 23:20:00,8.45,8.45,8.41,8.43,1830.17
2026-04-08 23:25:00,8.44,8.44,8.42,8.42,566.25
2026-04-08 23:30:00,8.42,8.42,8.37,8.41,7530.14
2026-04-08 23:35:00,8.41,8.42,8.4,8.4,442.55
2026-04-08 23:40:00,8.4,8.41,8.4,8.41,1543.26
2026-04-08 23:45:00,8.41,8.42,8.41,8.42,171.64
2026-04-08 23:50:00,8.42,8.43,8.42,8.42,607.23
2026-04-08 23:55:00,8.42,8.42,8.42,8.42,822.6
2026-04-09 00:00:00,8.41,8.42,8.39,8.4,4314.32
2026-04-09 00:05:00,8.4,8.41,8.39,8.4,1030.33
2026-04-09 00:10:00,8.4,8.4,8.4,8.4,15.28
2026-04-09 00:15:00,8.39,8.41,8.39,8.39,1641.24
2026-04-09 00:20:00,8.39,8.41,8.37,8.4,3264.53
2026-04-09 00:25:00,8.39,8.4,8.37,8.38,1292.96
2026-04-09 00:30:00,8.37,8.39,8.37,8.38,1245.11
2026-04-09 00:35:00,8.38,8.39,8.37,8.37,1025.65
2026-04-09 00:40:00,8.37,8.38,8.36,8.38,2297.42
2026-04-09 00:45:00,8.38,8.39,8.38,8.39,571.98
2026-04-09 00:50:00,8.38,8.38,8.36,8.38,2260.32
2026-04-09 00:55:00,8.38,8.4,8.38,8.39,530.43
2026-04-09 01:00:00,8.39,8.39,8.38,8.38,366.46
2026-04-09 01:05:00,8.37,8.37,8.32,8.34,5189.02
2026-04-09 01:10:00,8.34,8.36,8.34,8.35,373.49
2026-04-09 01:15:00,8.36,8.36,8.34,8.36,1035.59
2026-04-09 01:20:00,8.36,8.36,8.35,8.35,520.59
2026-04-09 01:25:00,8.35,8.35,8.34,8.34,87.32
2026-04-09 01:30:00,8.34,8.37,8.33,8.37,1020.66
2026-04-09 01:35:00,8.37,8.37,8.36,8.36,395.33
2026-04-09 01:40:00,8.36,8.36,8.36,8.36,389.25
2026-04-09 01:45:00,8.37,8.37,8.34,8.36,4977.85
2026-04-09 01:50:00,8.36,8.37,8.36,8.37,1035.54
2026-04-09 01:55:00,8.37,8.39,8.37,8.38,482.06
2026-04-09 02:00:00,8.39,8.4,8.39,8.39,1195.34
2026-04-09 02:05:00,8.39,8.39,8.38,8.38,355.77
2026-04-09 02:10:00,8.38,8.38,8.37,8.37,259.92
2026-04-09 02:15:00,8.37,8.38,8.37,8.38,368.92
2026-04-09 02:20:00,8.39,8.4,8.38,8.38,1867.37
2026-04-09 02:25:00,8.39,8.4,8.38,8.38,1811.81
2026-04-09 02:30:00,8.39,8.39,8.39,8.39,802.21
2026-04-09 02:35:00,8.39,8.4,8.38,8.38,141.9
2026-04-09 02:40:00,8.38,8.39,8.38,8.39,421.72
2026-04-09 02:45:00,8.39,8.41,8.39,8.4,3269.56
2026-04-09 02:50:00,8.4,8.41,8.39,8.41,897.39
2026-04-09 02:55:00,8.4,8.4,8.39,8.4,1161.08
2026-04-09 03:00:00,8.4,8.42,8.39,8.42,537.57
2026-04-09 03:05:00,8.41,8.42,8.4,8.4,655.93
2026-04-09 03:10:00,8.4,8.41,8.4,8.4,735.77
2026-04-09 03:15:00,8.41,8.41,8.4,8.41,286.8
2026-04-09 03:20:00,8.41,8.41,8.4,8.41,269.42
2026-04-09 03:25:00,8.4,8.4,8.37,8.39,1758.08
2026-04-09 03:30:00,8.39,8.41,8.39,8.4,642.43
2026-04-09 03:35:00,8.41,8.41,8.41,8.41,5.71
2026-04-09 03:40:00,8.41,8.41,8.37,8.38,6587.38
2026-04-09 03:45:00,8.38,8.39,8.38,8.39,372.82
2026-04-09 03:50:00,8.4,8.41,8.4,8.4,297.02
2026-04-09 03:55:00,8.41,8.41,8.4,8.4,563.09
2026-04-09 04:00:00,8.4,8.4,8.4,8.4,0.0
2026-04-09 04:05:00,8.39,8.39,8.39,8.39,234.46
2026-04-09 04:10:00,8.38,8.39,8.38,8.39,11.62
2026-04-09 04:15:00,8.39,8.39,8.37,8.38,578.77
2026-04-09 04:20:00,8.38,8.38,8.38,8.38,122.57
2026-04-09 04:25:00,8.39,8.39,8.39,8.39,9.81
