datetime,open,high,low,close,volume
2026-03-08 14:45:00,0.936,0.941,0.935,0.941,43519.86
2026-03-08 15:00:00,0.94,0.94,0.935,0.939,51785.14
2026-03-08 15:15:00,0.938,0.939,0.933,0.935,28160.52
2026-03-08 15:30:00,0.934,0.935,0.933,0.934,27205.0
2026-03-08 15:45:00,0.934,0.936,0.931,0.936,75487.29
2026-03-08 16:00:00,0.936,0.937,0.935,0.935,37162.28
2026-03-08 16:15:00,0.935,0.937,0.934,0.935,48483.21
2026-03-08 16:30:00,0.935,0.935,0.93,0.933,74826.0
2026-03-08 16:45:00,0.933,0.933,0.929,0.931,56670.43
2026-03-08 17:00:00,0.931,0.937,0.93,0.933,49998.93
2026-03-08 17:15:00,0.934,0.936,0.932,0.933,45297.19
2026-03-08 17:30:00,0.932,0.935,0.932,0.934,37525.01
2026-03-08 17:45:00,0.934,0.936,0.932,0.935,19801.59
2026-03-08 18:00:00,0.935,0.935,0.932,0.932,31440.4
2026-03-08 18:15:00,0.933,0.934,0.93,0.931,76339.1
2026-03-08 18:30:00,0.932,0.933,0.931,0.931,20762.6
2026-03-08 18:45:00,0.931,0.934,0.931,0.933,15911.46
2026-03-08 19:00:00,0.933,0.939,0.931,0.938,56233.68
2026-03-08 19:15:00,0.938,0.951,0.938,0.948,182735.94
2026-03-08 19:30:00,0.948,0.951,0.946,0.951,97818.11
2026-03-08 19:45:00,0.95,0.953,0.948,0.95,19951.47
2026-03-08 20:00:00,0.95,0.95,0.944,0.944,39555.59
2026-03-08 20:15:00,0.943,0.947,0.943,0.945,64908.92
2026-03-08 20:30:00,0.945,0.957,0.945,0.954,131759.22
2026-03-08 20:45:00,0.953,0.954,0.949,0.949,42226.01
2026-03-08 21:00:00,0.949,0.949,0.941,0.944,47480.64
2026-03-08 21:15:00,0.944,0.947,0.944,0.946,28290.23
2026-03-08 21:30:00,0.946,0.947,0.944,0.946,71447.45
2026-03-08 21:45:00,0.946,0.947,0.945,0.946,22676.87
2026-03-08 22:00:00,0.946,0.946,0.92,0.931,354430.22
2026-03-08 22:15:00,0.931,0.937,0.923,0.935,159377.97
2026-03-08 22:30:00,0.934,0.944,0.93,0.939,129231.57
2026-03-08 22:45:00,0.94,0.945,0.94,0.942,89956.15
2026-03-08 23:00:00,0.942,0.945,0.937,0.94,111871.46
2026-03-08 23:15:00,0.941,0.942,0.938,0.939,24588.39
2026-03-08 23:30:00,0.94,0.94,0.933,0.933,33532.3
2026-03-08 23:45:00,0.933,0.937,0.931,0.934,46568.05
2026-03-09 00:00:00,0.934,0.941,0.933,0.94,126213.16
2026-03-09 00:15:00,0.939,0.941,0.934,0.939,68820.41
2026-03-09 00:30:00,0.94,0.952,0.94,0.945,83912.95
2026-03-09 00:45:00,0.945,0.946,0.941,0.941,37289.99
2026-03-09 01:00:00,0.942,0.943,0.937,0.938,78559.59
2026-03-09 01:15:00,0.938,0.944,0.938,0.942,86926.52
2026-03-09 01:30:00,0.941,0.948,0.94,0.945,111476.35
2026-03-09 01:45:00,0.945,0.946,0.937,0.937,40948.54
2026-03-09 02:00:00,0.936,0.938,0.932,0.934,161666.12
2026-03-09 02:15:00,0.933,0.934,0.931,0.933,59785.29
2026-03-09 02:30:00,0.932,0.946,0.931,0.946,114079.75
2026-03-09 02:45:00,0.945,0.946,0.942,0.942,57970.12
2026-03-09 03:00:00,0.942,0.957,0.941,0.955,349426.26
2026-03-09 03:15:00,0.956,0.957,0.944,0.946,160163.81
2026-03-09 03:30:00,0.946,0.946,0.94,0.942,90523.0
2026-03-09 03:45:00,0.942,0.944,0.939,0.942,102052.08
2026-03-09 04:00:00,0.942,0.945,0.942,0.942,55926.98
2026-03-09 04:15:00,0.943,0.951,0.942,0.951,98107.73
2026-03-09 04:30:00,0.95,0.951,0.949,0.95,130754.91
2026-03-09 04:45:00,0.95,0.952,0.946,0.946,88827.0
2026-03-09 05:00:00,0.946,0.948,0.946,0.947,38042.12
2026-03-09 05:15:00,0.947,0.953,0.947,0.953,42571.96
2026-03-09 05:30:00,0.952,0.968,0.952,0.966,343609.93
2026-03-09 05:45:00,0.967,0.973,0.964,0.969,329178.27
2026-03-09 06:00:00,0.969,0.969,0.962,0.964,151721.23
2026-03-09 06:15:00,0.964,0.965,0.96,0.96,80988.0
2026-03-09 06:30:00,0.959,0.962,0.956,0.956,116995.92
2026-03-09 06:45:00,0.956,0.956,0.955,0.955,25115.95
2026-03-09 07:00:00,0.955,0.955,0.947,0.948,90522.21
2026-03-09 07:15:00,0.948,0.95,0.941,0.948,107781.23
2026-03-09 07:30:00,0.948,0.953,0.947,0.953,104963.69
2026-03-09 07:45:00,0.952,0.953,0.95,0.951,50634.07
2026-03-09 08:00:00,0.951,0.953,0.949,0.952,115815.91
2026-03-09 08:15:00,0.951,0.955,0.949,0.952,105517.33
2026-03-09 08:30:00,0.952,0.952,0.947,0.949,55410.68
2026-03-09 08:45:00,0.949,0.95,0.947,0.948,70523.06
2026-03-09 09:00:00,0.947,0.948,0.943,0.947,134082.02
2026-03-09 09:15:00,0.947,0.95,0.946,0.95,76385.05
2026-03-09 09:30:00,0.95,0.958,0.948,0.954,311470.17
2026-03-09 09:45:00,0.955,0.956,0.947,0.948,67171.67
2026-03-09 10:00:00,0.948,0.949,0.944,0.945,78709.85
2026-03-09 10:15:00,0.945,0.946,0.943,0.943,125617.51
2026-03-09 10:30:00,0.943,0.945,0.94,0.941,116543.59
2026-03-09 10:45:00,0.941,0.942,0.938,0.938,97423.28
2026-03-09 11:00:00,0.938,0.941,0.937,0.939,57355.64
2026-03-09 11:15:00,0.939,0.939,0.931,0.932,137220.68
2026-03-09 11:30:00,0.932,0.937,0.932,0.936,53351.16
2026-03-09 11:45:00,0.936,0.938,0.935,0.936,70290.65
