datetime,open,high,low,close,volume
2025-04-22 16:00:00,4.839,4.93,4.789,4.906,440203.44
2025-04-22 20:00:00,4.904,5.123,4.899,5.1,486056.99
2025-04-23 00:00:00,5.101,5.22,5.075,5.216,377092.58
2025-04-23 04:00:00,5.217,5.24,5.153,5.206,257690.02
2025-04-23 08:00:00,5.204,5.255,5.131,5.185,308729.51
2025-04-23 12:00:00,5.185,5.242,5.028,5.105,649686.36
2025-04-23 16:00:00,5.106,5.205,5.048,5.139,318335.98
2025-04-23 20:00:00,5.137,5.217,5.102,5.179,179395.02
2025-04-24 00:00:00,5.179,5.195,5.023,5.025,202431.88
2025-04-24 04:00:00,5.026,5.091,4.99,5.012,293242.81
2025-04-24 08:00:00,5.013,5.045,4.958,5.024,302595.03
2025-04-24 12:00:00,5.023,5.188,4.989,5.12,503502.51
2025-04-24 16:00:00,5.122,5.172,5.037,5.148,270934.9
2025-04-24 20:00:00,5.148,5.205,5.09,5.195,173570.8
2025-04-25 00:00:00,5.195,5.355,5.105,5.166,542848.29
2025-04-25 04:00:00,5.165,5.299,5.139,5.292,351933.06
2025-04-25 08:00:00,5.292,5.381,5.239,5.277,570380.95
2025-04-25 12:00:00,5.278,5.344,5.173,5.267,510388.84
2025-04-25 16:00:00,5.268,5.306,5.194,5.26,311440.87
2025-04-25 20:00:00,5.26,5.337,5.24,5.283,190854.2
2025-04-26 00:00:00,5.283,5.41,5.283,5.331,212784.81
2025-04-26 04:00:00,5.332,5.48,5.313,5.408,284962.38
2025-04-26 08:00:00,5.406,5.463,5.256,5.276,286539.01
2025-04-26 12:00:00,5.275,5.313,5.227,5.305,255731.16
2025-04-26 16:00:00,5.303,5.303,5.23,5.286,129852.35
2025-04-26 20:00:00,5.286,5.306,5.246,5.263,89114.75
2025-04-27 00:00:00,5.264,5.308,5.135,5.167,309642.2
2025-04-27 04:00:00,5.168,5.178,5.073,5.133,223921.51
2025-04-27 08:00:00,5.132,5.155,5.088,5.097,210678.23
2025-04-27 12:00:00,5.096,5.117,5.037,5.055,374731.08
2025-04-27 16:00:00,5.055,5.09,5.014,5.089,187451.75
2025-04-27 20:00:00,5.089,5.111,5.02,5.026,151133.02
2025-04-28 00:00:00,5.027,5.048,4.907,5.026,405512.98
2025-04-28 04:00:00,5.028,5.2,5.019,5.134,419847.3
2025-04-28 08:00:00,5.134,5.19,5.099,5.159,368998.38
2025-04-28 12:00:00,5.16,5.178,4.933,4.974,528097.75
2025-04-28 16:00:00,4.974,5.099,4.929,5.093,158654.92
2025-04-28 20:00:00,5.092,5.127,5.054,5.101,125051.51
2025-04-29 00:00:00,5.102,5.165,5.073,5.098,301345.39
2025-04-29 04:00:00,5.098,5.145,5.034,5.134,267989.14
2025-04-29 08:00:00,5.135,5.17,5.036,5.046,438653.97
2025-04-29 12:00:00,5.046,5.059,4.975,4.99,454315.02
2025-04-29 16:00:00,4.989,5.021,4.929,4.986,335992.53
2025-04-29 20:00:00,4.986,4.995,4.835,4.888,380124.49
2025-04-30 00:00:00,4.889,4.93,4.837,4.917,245394.42
2025-04-30 04:00:00,4.915,4.935,4.844,4.864,124758.34
2025-04-30 08:00:00,4.863,4.944,4.842,4.931,270578.31
2025-04-30 12:00:00,4.934,4.934,4.74,4.843,885972.66
2025-04-30 16:00:00,4.842,4.927,4.797,4.911,217246.07
2025-04-30 20:00:00,4.913,4.97,4.899,4.913,201828.75
2025-05-01 00:00:00,4.917,5.0,4.91,4.926,177057.42
2025-05-01 04:00:00,4.927,4.985,4.916,4.984,162053.4
2025-05-01 08:00:00,4.983,5.029,4.946,4.966,430262.18
2025-05-01 12:00:00,4.966,4.977,4.829,4.923,815932.87
2025-05-01 16:00:00,4.924,4.992,4.913,4.95,215364.26
2025-05-01 20:00:00,4.95,4.991,4.925,4.945,151169.36
2025-05-02 00:00:00,4.943,5.069,4.942,4.997,258694.47
2025-05-02 04:00:00,4.997,5.014,4.907,4.927,224014.4
2025-05-02 08:00:00,4.927,4.972,4.902,4.907,212617.19
2025-05-02 12:00:00,4.906,5.004,4.885,4.96,233402.3
2025-05-02 16:00:00,4.96,5.005,4.922,4.927,251893.5
2025-05-02 20:00:00,4.926,4.995,4.917,4.993,120195.71
2025-05-03 00:00:00,4.992,5.001,4.908,4.925,99770.94
2025-05-03 04:00:00,4.924,4.929,4.843,4.863,157668.81
2025-05-03 08:00:00,4.863,4.867,4.753,4.755,276819.39
2025-05-03 12:00:00,4.756,4.817,4.751,4.769,362522.15
2025-05-03 16:00:00,4.769,4.78,4.651,4.777,250043.16
2025-05-03 20:00:00,4.777,4.783,4.712,4.717,134766.45
2025-05-04 00:00:00,4.716,4.747,4.67,4.679,171589.27
2025-05-04 04:00:00,4.68,4.72,4.651,4.67,109360.97
2025-05-04 08:00:00,4.671,4.673,4.594,4.657,145725.08
2025-05-04 12:00:00,4.656,4.691,4.597,4.627,153221.68
2025-05-04 16:00:00,4.628,4.632,4.564,4.607,231100.98
2025-05-04 20:00:00,4.607,4.628,4.543,4.605,184886.13
2025-05-05 00:00:00,4.606,4.65,4.562,4.605,245337.05
2025-05-05 04:00:00,4.606,4.669,4.587,4.66,192382.86
2025-05-05 08:00:00,4.662,4.674,4.579,4.6,189008.86
2025-05-05 12:00:00,4.601,4.634,4.568,4.589,239457.65
2025-05-05 16:00:00,4.59,4.688,4.581,4.627,131780.41
2025-05-05 20:00:00,4.627,4.639,4.552,4.605,130166.98
2025-05-06 00:00:00,4.606,4.635,4.531,4.595,206677.91
2025-05-06 04:00:00,4.596,4.615,4.559,4.563,174562.6
2025-05-06 08:00:00,4.563,4.563,4.456,4.482,304918.14
2025-05-06 12:00:00,4.482,4.564,4.444,4.522,418900.75
2025-05-06 16:00:00,4.523,4.609,4.506,4.585,180171.46
2025-05-06 20:00:00,4.586,4.64,4.474,4.632,272921.18
2025-05-07 00:00:00,4.63,4.692,4.586,4.617,170099.85
2025-05-07 04:00:00,4.617,4.669,4.616,4.668,85211.75
2025-05-07 08:00:00,4.667,4.68,4.632,4.649,102781.41
2025-05-07 12:00:00,4.65,4.653,4.556,4.562,163519.34
2025-05-07 16:00:00,4.562,4.579,4.497,4.521,296551.0
2025-05-07 20:00:00,4.518,4.652,4.502,4.649,105551.37
2025-05-08 00:00:00,4.651,4.798,4.639,4.792,299525.67
2025-05-08 04:00:00,4.792,4.834,4.758,4.799,236430.0
2025-05-08 08:00:00,4.799,4.891,4.799,4.87,281762.81
2025-05-08 12:00:00,4.869,4.999,4.84,4.938,412660.42
2025-05-08 16:00:00,4.937,5.084,4.932,5.059,475511.75
2025-05-08 20:00:00,5.06,5.234,5.055,5.219,344767.78
2025-05-09 00:00:00,5.219,5.305,5.184,5.197,371723.57
2025-05-09 04:00:00,5.196,5.4,5.182,5.375,357801.61
2025-05-09 08:00:00,5.375,5.457,5.246,5.312,701529.68
2025-05-09 12:00:00,5.314,5.429,5.273,5.344,420049.47
2025-05-09 16:00:00,5.346,5.45,5.312,5.418,220631.61
2025-05-09 20:00:00,5.418,5.46,5.368,5.449,172245.44
2025-05-10 00:00:00,5.448,5.54,5.383,5.512,302462.12
2025-05-10 04:00:00,5.509,5.606,5.486,5.526,454771.75
2025-05-10 08:00:00,5.527,5.558,5.418,5.431,655854.77
2025-05-10 12:00:00,5.431,5.502,5.392,5.456,328174.02
2025-05-10 16:00:00,5.454,5.583,5.447,5.559,560211.92
2025-05-10 20:00:00,5.558,5.855,5.531,5.838,587512.49
2025-05-11 00:00:00,5.837,5.96,5.681,5.887,674098.59
2025-05-11 04:00:00,5.886,5.89,5.493,5.564,1097904.86
2025-05-11 08:00:00,5.564,5.67,5.526,5.646,281550.46
2025-05-11 12:00:00,5.645,5.715,5.607,5.652,366393.89
2025-05-11 16:00:00,5.651,5.737,5.581,5.711,207383.64
2025-05-11 20:00:00,5.711,5.81,5.684,5.763,325887.16
2025-05-12 00:00:00,5.764,5.858,5.726,5.813,302462.87
2025-05-12 04:00:00,5.814,6.127,5.733,5.912,908147.68
2025-05-12 08:00:00,5.912,6.077,5.862,5.942,682830.57
2025-05-12 12:00:00,5.94,6.13,5.777,5.819,954644.58
2025-05-12 16:00:00,5.819,5.878,5.561,5.687,715904.18
2025-05-12 20:00:00,5.686,5.8,5.661,5.739,214866.46
2025-05-13 00:00:00,5.739,5.75,5.446,5.47,455697.61
2025-05-13 04:00:00,5.468,5.632,5.444,5.571,291216.31
2025-05-13 08:00:00,5.57,5.667,5.528,5.641,252847.84
2025-05-13 12:00:00,5.642,5.721,5.572,5.683,288194.67
2025-05-13 16:00:00,5.684,5.964,5.683,5.875,487143.25
2025-05-13 20:00:00,5.874,5.987,5.825,5.903,506747.36
2025-05-14 00:00:00,5.904,5.977,5.822,5.89,292193.45
2025-05-14 04:00:00,5.891,5.994,5.84,5.865,278031.83
2025-05-14 08:00:00,5.865,5.888,5.732,5.811,317489.16
2025-05-14 12:00:00,5.812,5.848,5.656,5.725,407937.82
2025-05-14 16:00:00,5.725,5.743,5.599,5.678,259877.54
2025-05-14 20:00:00,5.678,5.69,5.591,5.638,97126.85
2025-05-15 00:00:00,5.638,5.706,5.553,5.574,187711.82
2025-05-15 04:00:00,5.574,5.603,5.387,5.416,306147.54
2025-05-15 08:00:00,5.413,5.578,5.397,5.466,309081.28
2025-05-15 12:00:00,5.466,5.539,5.303,5.509,455928.68
2025-05-15 16:00:00,5.508,5.597,5.355,5.4,234097.17
2025-05-15 20:00:00,5.4,5.471,5.298,5.406,243846.92
2025-05-16 00:00:00,5.407,5.503,5.376,5.496,214623.09
2025-05-16 04:00:00,5.495,5.542,5.459,5.499,151750.83
2025-05-16 08:00:00,5.501,5.534,5.396,5.477,359362.09
2025-05-16 12:00:00,5.479,5.504,5.332,5.395,334734.68
2025-05-16 16:00:00,5.395,5.434,5.354,5.388,179365.3
2025-05-16 20:00:00,5.387,5.389,5.213,5.263,396388.0
2025-05-17 00:00:00,5.265,5.277,5.11,5.217,280626.31
2025-05-17 04:00:00,5.216,5.274,5.205,5.226,149698.76
2025-05-17 08:00:00,5.226,5.247,5.156,5.199,131295.72
2025-05-17 12:00:00,5.198,5.218,5.09,5.18,187852.29
2025-05-17 16:00:00,5.179,5.19,5.08,5.094,279642.11
2025-05-17 20:00:00,5.095,5.177,5.08,5.146,142177.11
2025-05-18 00:00:00,5.146,5.195,5.112,5.145,98440.76
2025-05-18 04:00:00,5.145,5.279,5.145,5.268,139744.51
2025-05-18 08:00:00,5.267,5.324,5.223,5.226,171737.2
2025-05-18 12:00:00,5.226,5.455,5.19,5.433,269838.57
2025-05-18 16:00:00,5.434,5.453,5.128,5.134,326324.37
2025-05-18 20:00:00,5.133,5.359,5.01,5.333,273821.37
2025-05-19 00:00:00,5.334,5.365,5.073,5.082,175967.2
2025-05-19 04:00:00,5.082,5.12,4.984,5.083,314045.34
2025-05-19 08:00:00,5.083,5.086,5.018,5.053,151803.31
2025-05-19 12:00:00,5.053,5.177,4.98,5.156,227781.87
2025-05-19 16:00:00,5.157,5.274,5.124,5.23,209260.57
2025-05-19 20:00:00,5.23,5.241,5.15,5.211,110905.01
2025-05-20 00:00:00,5.212,5.339,5.177,5.274,157709.13
2025-05-20 04:00:00,5.274,5.362,5.22,5.232,164016.15
2025-05-20 08:00:00,5.233,5.249,5.093,5.134,178841.7
2025-05-20 12:00:00,5.133,5.158,5.083,5.143,151799.7
2025-05-20 16:00:00,5.143,5.212,5.061,5.202,191408.21
2025-05-20 20:00:00,5.202,5.321,5.181,5.261,183314.97
2025-05-21 00:00:00,5.262,5.352,5.188,5.329,277007.37
2025-05-21 04:00:00,5.328,5.401,5.259,5.283,269271.28
2025-05-21 08:00:00,5.284,5.309,5.18,5.265,265531.03
2025-05-21 12:00:00,5.265,5.379,5.226,5.377,347638.01
2025-05-21 16:00:00,5.377,5.492,5.171,5.311,653202.46
2025-05-21 20:00:00,5.311,5.405,5.256,5.348,195436.74
2025-05-22 00:00:00,5.349,5.515,5.34,5.498,321098.69
2025-05-22 04:00:00,5.499,5.529,5.434,5.512,284095.62
2025-05-22 08:00:00,5.513,5.626,5.507,5.541,334324.01
2025-05-22 12:00:00,5.543,5.669,5.479,5.602,384141.02
2025-05-22 16:00:00,5.604,5.673,5.591,5.614,225197.16
2025-05-22 20:00:00,5.615,5.708,5.589,5.695,195829.5
2025-05-23 00:00:00,5.695,5.84,5.661,5.805,334066.87
2025-05-23 04:00:00,5.807,5.823,5.6,5.627,319639.1
2025-05-23 08:00:00,5.629,5.73,5.425,5.463,383171.45
2025-05-23 12:00:00,5.465,5.552,5.322,5.456,525037.12
2025-05-23 16:00:00,5.458,5.503,5.4,5.405,220359.8
2025-05-23 20:00:00,5.404,5.404,5.203,5.225,275178.02
2025-05-24 00:00:00,5.225,5.311,5.191,5.281,198010.28
