datetime,open,high,low,close,volume
2023-04-24,0.953,1.0,0.938,0.969,4911502.84
2023-04-25,0.968,0.986,0.919,0.973,5241976.2
2023-04-26,0.973,1.039,0.892,0.959,13497818.71
2023-04-27,0.959,1.09,0.955,1.062,18357024.8
2023-04-28,1.062,1.083,1.015,1.031,9438671.76
2023-04-29,1.031,1.035,0.994,1.013,3841106.11
2023-04-30,1.013,1.023,0.98,0.986,3974805.42
2023-05-01,0.986,0.996,0.924,0.934,5748759.76
2023-05-02,0.934,0.945,0.917,0.934,4271852.73
2023-05-03,0.934,0.947,0.892,0.938,7688771.79
2023-05-04,0.938,0.943,0.895,0.901,5146663.51
2023-05-05,0.9,0.919,0.862,0.914,8088523.86
2023-05-06,0.914,0.921,0.833,0.859,6259007.65
2023-05-07,0.858,0.87,0.846,0.857,4271723.45
2023-05-08,0.857,0.863,0.744,0.787,10011369.63
2023-05-09,0.786,0.794,0.752,0.765,6799241.85
2023-05-10,0.764,0.809,0.741,0.785,9470355.9
2023-05-11,0.784,0.786,0.706,0.733,8101723.79
2023-05-12,0.733,0.759,0.699,0.757,6557566.68
2023-05-13,0.757,0.758,0.733,0.745,3046591.46
2023-05-14,0.745,0.768,0.732,0.75,3136432.98
2023-05-15,0.75,0.778,0.731,0.758,4256758.55
2023-05-16,0.758,0.762,0.727,0.74,3977784.01
2023-05-17,0.741,0.796,0.726,0.788,8511869.64
2023-05-18,0.788,0.803,0.746,0.766,7860787.44
2023-05-19,0.765,0.774,0.749,0.764,4666860.72
2023-05-20,0.764,0.766,0.748,0.752,3192396.37
2023-05-21,0.752,0.756,0.715,0.72,3147779.81
2023-05-22,0.721,0.737,0.703,0.729,4588690.42
2023-05-23,0.728,0.782,0.725,0.77,6144746.91
2023-05-24,0.77,0.8,0.716,0.723,7963046.8
2023-05-25,0.723,0.759,0.699,0.736,5498044.9
2023-05-26,0.736,0.746,0.719,0.735,4191938.95
2023-05-27,0.735,0.751,0.723,0.73,4336181.82
2023-05-28,0.73,0.785,0.723,0.772,5571879.02
2023-05-29,0.772,0.785,0.75,0.765,5558265.17
2023-05-30,0.764,0.794,0.757,0.776,5427132.02
2023-05-31,0.776,0.788,0.718,0.728,5123712.79
2023-06-01,0.728,0.76,0.719,0.746,3588322.65
2023-06-02,0.745,0.837,0.73,0.804,11600381.56
2023-06-03,0.804,0.83,0.779,0.797,5961035.43
2023-06-04,0.796,0.84,0.787,0.816,6120973.36
2023-06-05,0.816,0.822,0.71,0.731,10468547.24
2023-06-06,0.731,0.761,0.705,0.75,6942375.79
2023-06-07,0.751,0.751,0.67,0.682,7610092.72
2023-06-08,0.681,0.729,0.679,0.716,4078240.05
2023-06-09,0.716,0.744,0.712,0.727,4139422.39
2023-06-10,0.728,0.728,0.555,0.609,12751748.95
