datetime,open,high,low,close,volume
2025-10-24 15:00:00,8.38,8.43,8.3,8.34,36525.92
2025-10-24 16:00:00,8.34,8.34,8.24,8.29,37610.85
2025-10-24 17:00:00,8.29,8.36,8.28,8.32,29062.25
2025-10-24 18:00:00,8.32,8.4,8.31,8.38,15582.75
2025-10-24 19:00:00,8.38,8.47,8.38,8.45,20687.95
2025-10-24 20:00:00,8.44,8.51,8.44,8.47,18450.96
2025-10-24 21:00:00,8.48,8.51,8.45,8.51,21433.78
2025-10-24 22:00:00,8.51,8.54,8.49,8.49,11561.35
2025-10-24 23:00:00,8.49,8.51,8.46,8.48,12086.29
2025-10-25 00:00:00,8.48,8.48,8.41,8.42,24705.67
2025-10-25 01:00:00,8.42,8.48,8.41,8.43,11831.41
2025-10-25 02:00:00,8.43,8.46,8.41,8.44,10400.71
2025-10-25 03:00:00,8.43,8.43,8.36,8.36,18151.93
2025-10-25 04:00:00,8.36,8.4,8.34,8.35,16480.44
2025-10-25 05:00:00,8.35,8.37,8.31,8.33,21898.78
2025-10-25 06:00:00,8.34,8.35,8.32,8.34,16836.37
2025-10-25 07:00:00,8.34,8.4,8.33,8.35,15026.24
2025-10-25 08:00:00,8.35,8.42,8.35,8.42,20345.77
2025-10-25 09:00:00,8.42,8.42,8.35,8.35,12779.2
2025-10-25 10:00:00,8.35,8.39,8.32,8.37,14697.05
2025-10-25 11:00:00,8.36,8.41,8.35,8.41,5428.72
2025-10-25 12:00:00,8.4,8.48,8.4,8.46,19662.15
2025-10-25 13:00:00,8.46,8.46,8.39,8.41,16508.84
2025-10-25 14:00:00,8.41,8.47,8.41,8.46,22777.94
2025-10-25 15:00:00,8.46,8.47,8.41,8.43,27164.55
2025-10-25 16:00:00,8.43,8.44,8.4,8.41,19196.53
2025-10-25 17:00:00,8.42,8.45,8.41,8.41,11634.13
2025-10-25 18:00:00,8.41,8.49,8.39,8.47,14061.41
2025-10-25 19:00:00,8.47,8.48,8.45,8.46,5367.23
2025-10-25 20:00:00,8.46,8.49,8.44,8.44,10783.78
2025-10-25 21:00:00,8.45,8.46,8.41,8.43,8763.38
2025-10-25 22:00:00,8.43,8.44,8.4,8.43,13980.73
2025-10-25 23:00:00,8.42,8.43,8.39,8.4,14309.83
2025-10-26 00:00:00,8.41,8.43,8.38,8.4,25570.12
2025-10-26 01:00:00,8.4,8.41,8.32,8.35,14679.49
2025-10-26 02:00:00,8.34,8.36,8.31,8.34,9620.3
2025-10-26 03:00:00,8.33,8.33,8.29,8.31,8767.58
2025-10-26 04:00:00,8.31,8.37,8.3,8.36,8772.09
2025-10-26 05:00:00,8.36,8.44,8.35,8.43,7308.01
2025-10-26 06:00:00,8.43,8.46,8.41,8.45,12054.1
2025-10-26 07:00:00,8.45,8.49,8.43,8.49,12434.37
2025-10-26 08:00:00,8.49,8.58,8.49,8.56,31049.05
2025-10-26 09:00:00,8.57,8.7,8.53,8.67,48472.86
2025-10-26 10:00:00,8.67,8.68,8.62,8.63,14722.88
2025-10-26 11:00:00,8.64,8.79,8.62,8.79,25604.38
2025-10-26 12:00:00,8.79,8.8,8.73,8.77,41071.22
2025-10-26 13:00:00,8.78,8.86,8.75,8.85,31473.14
2025-10-26 14:00:00,8.85,8.86,8.78,8.86,31467.24
2025-10-26 15:00:00,8.87,8.87,8.81,8.85,23354.84
2025-10-26 16:00:00,8.84,8.84,8.78,8.79,26029.42
2025-10-26 17:00:00,8.79,8.85,8.77,8.85,49814.19
