datetime,open,high,low,close,volume
2026-04-08 14:50:00,2.95,2.95,2.936,2.946,4748.88
2026-04-08 14:55:00,2.945,2.946,2.938,2.946,2425.73
2026-04-08 15:00:00,2.945,2.958,2.942,2.953,6863.76
2026-04-08 15:05:00,2.953,2.956,2.95,2.95,3573.26
2026-04-08 15:10:00,2.95,2.952,2.948,2.951,913.18
2026-04-08 15:15:00,2.952,2.961,2.948,2.961,5567.48
2026-04-08 15:20:00,2.961,2.961,2.956,2.956,1384.01
2026-04-08 15:25:00,2.956,2.957,2.952,2.952,533.24
2026-04-08 15:30:00,2.952,2.954,2.95,2.953,479.83
2026-04-08 15:35:00,2.954,2.959,2.954,2.959,1018.16
2026-04-08 15:40:00,2.958,2.959,2.956,2.956,965.14
2026-04-08 15:45:00,2.956,2.96,2.956,2.96,288.33
2026-04-08 15:50:00,2.96,2.962,2.958,2.962,212.83
2026-04-08 15:55:00,2.962,2.963,2.962,2.962,277.99
2026-04-08 16:00:00,2.961,2.963,2.959,2.962,3117.27
2026-04-08 16:05:00,2.963,2.971,2.963,2.968,796.89
2026-04-08 16:10:00,2.968,2.97,2.965,2.965,825.9
2026-04-08 16:15:00,2.965,2.967,2.963,2.967,979.36
2026-04-08 16:20:00,2.966,2.966,2.963,2.963,29.63
2026-04-08 16:25:00,2.963,2.965,2.963,2.964,707.82
2026-04-08 16:30:00,2.963,2.963,2.955,2.958,1900.57
2026-04-08 16:35:00,2.958,2.962,2.957,2.959,2937.82
2026-04-08 16:40:00,2.96,2.961,2.959,2.961,31.11
2026-04-08 16:45:00,2.962,2.967,2.962,2.967,410.23
2026-04-08 16:50:00,2.967,2.967,2.963,2.966,1066.57
2026-04-08 16:55:00,2.966,2.97,2.966,2.968,272.04
2026-04-08 17:00:00,2.968,2.977,2.967,2.975,2018.52
2026-04-08 17:05:00,2.975,2.977,2.975,2.976,769.28
2026-04-08 17:10:00,2.976,2.982,2.976,2.981,2898.81
2026-04-08 17:15:00,2.979,2.979,2.972,2.973,1009.37
2026-04-08 17:20:00,2.973,2.973,2.967,2.967,1885.49
2026-04-08 17:25:00,2.967,2.967,2.959,2.963,3218.71
2026-04-08 17:30:00,2.963,2.966,2.961,2.962,6000.09
2026-04-08 17:35:00,2.962,2.976,2.962,2.967,3475.71
2026-04-08 17:40:00,2.968,2.968,2.964,2.965,1463.69
2026-04-08 17:45:00,2.965,2.967,2.965,2.967,4516.28
2026-04-08 17:50:00,2.966,2.967,2.965,2.965,277.2
2026-04-08 17:55:00,2.964,2.964,2.962,2.962,51.55
2026-04-08 18:00:00,2.962,2.962,2.956,2.956,5847.39
2026-04-08 18:05:00,2.956,2.957,2.954,2.954,961.24
2026-04-08 18:10:00,2.953,2.953,2.95,2.95,2240.22
2026-04-08 18:15:00,2.95,2.95,2.932,2.935,8122.16
2026-04-08 18:20:00,2.934,2.934,2.923,2.925,30953.12
2026-04-08 18:25:00,2.925,2.925,2.917,2.919,3863.96
2026-04-08 18:30:00,2.918,2.931,2.918,2.931,4515.86
2026-04-08 18:35:00,2.932,2.932,2.928,2.929,970.47
2026-04-08 18:40:00,2.929,2.93,2.924,2.924,2377.26
2026-04-08 18:45:00,2.923,2.926,2.919,2.919,2041.66
2026-04-08 18:50:00,2.918,2.919,2.913,2.913,4098.71
2026-04-08 18:55:00,2.914,2.914,2.907,2.91,542.98
2026-04-08 19:00:00,2.91,2.91,2.886,2.895,24916.62
2026-04-08 19:05:00,2.895,2.903,2.895,2.901,1623.91
2026-04-08 19:10:00,2.902,2.907,2.899,2.9,1915.38
2026-04-08 19:15:00,2.901,2.906,2.901,2.906,2395.16
2026-04-08 19:20:00,2.906,2.91,2.905,2.91,656.93
2026-04-08 19:25:00,2.911,2.915,2.909,2.911,1325.79
2026-04-08 19:30:00,2.911,2.913,2.908,2.908,2197.56
2026-04-08 19:35:00,2.91,2.921,2.908,2.918,3033.36
2026-04-08 19:40:00,2.918,2.918,2.913,2.915,467.04
2026-04-08 19:45:00,2.916,2.916,2.912,2.912,323.2
2026-04-08 19:50:00,2.912,2.913,2.911,2.911,83.5
2026-04-08 19:55:00,2.911,2.918,2.91,2.918,1033.72
2026-04-08 20:00:00,2.919,2.928,2.918,2.926,3501.85
2026-04-08 20:05:00,2.927,2.927,2.922,2.922,389.41
2026-04-08 20:10:00,2.922,2.924,2.92,2.921,873.84
2026-04-08 20:15:00,2.92,2.922,2.919,2.922,740.65
2026-04-08 20:20:00,2.922,2.922,2.92,2.92,96.39
2026-04-08 20:25:00,2.921,2.923,2.921,2.922,153.81
2026-04-08 20:30:00,2.923,2.923,2.921,2.922,977.22
2026-04-08 20:35:00,2.922,2.922,2.915,2.92,3074.22
2026-04-08 20:40:00,2.92,2.92,2.917,2.92,309.85
2026-04-08 20:45:00,2.919,2.92,2.916,2.919,1434.65
2026-04-08 20:50:00,2.92,2.923,2.919,2.922,714.47
2026-04-08 20:55:00,2.922,2.922,2.919,2.922,479.56
2026-04-08 21:00:00,2.922,2.924,2.921,2.922,1533.75
2026-04-08 21:05:00,2.923,2.927,2.921,2.927,1236.45
2026-04-08 21:10:00,2.928,2.94,2.928,2.936,1243.31
2026-04-08 21:15:00,2.935,2.937,2.935,2.936,135.85
2026-04-08 21:20:00,2.936,2.943,2.936,2.942,891.02
2026-04-08 21:25:00,2.942,2.952,2.941,2.947,4783.06
2026-04-08 21:30:00,2.946,2.946,2.942,2.942,208.98
2026-04-08 21:35:00,2.939,2.947,2.939,2.944,448.39
2026-04-08 21:40:00,2.943,2.943,2.939,2.939,367.75
2026-04-08 21:45:00,2.939,2.942,2.931,2.936,23139.78
2026-04-08 21:50:00,2.937,2.941,2.937,2.941,479.33
2026-04-08 21:55:00,2.941,2.941,2.937,2.941,987.02
2026-04-08 22:00:00,2.942,2.942,2.935,2.935,256.33
2026-04-08 22:05:00,2.935,2.938,2.935,2.937,72.73
2026-04-08 22:10:00,2.936,2.936,2.931,2.932,269.61
2026-04-08 22:15:00,2.932,2.934,2.924,2.926,2711.48
2026-04-08 22:20:00,2.926,2.93,2.92,2.928,2985.88
2026-04-08 22:25:00,2.928,2.932,2.92,2.922,4268.29
2026-04-08 22:30:00,2.921,2.931,2.915,2.931,3637.44
2026-04-08 22:35:00,2.931,2.936,2.931,2.934,2569.61
2026-04-08 22:40:00,2.933,2.933,2.928,2.928,1072.25
2026-04-08 22:45:00,2.93,2.93,2.927,2.928,283.98
2026-04-08 22:50:00,2.928,2.93,2.926,2.926,277.0
2026-04-08 22:55:00,2.925,2.925,2.916,2.917,1964.77
2026-04-08 23:00:00,2.917,2.918,2.902,2.905,5417.06
2026-04-08 23:05:00,2.904,2.908,2.904,2.906,677.0
2026-04-08 23:10:00,2.906,2.914,2.906,2.914,678.8
2026-04-08 23:15:00,2.914,2.916,2.91,2.91,977.3
2026-04-08 23:20:00,2.911,2.911,2.9,2.906,773.65
2026-04-08 23:25:00,2.907,2.907,2.902,2.903,406.67
2026-04-08 23:30:00,2.902,2.904,2.898,2.902,439.15
2026-04-08 23:35:00,2.901,2.907,2.9,2.9,502.88
2026-04-08 23:40:00,2.899,2.903,2.898,2.899,798.99
2026-04-08 23:45:00,2.899,2.903,2.899,2.903,219.62
2026-04-08 23:50:00,2.904,2.905,2.903,2.903,254.14
2026-04-08 23:55:00,2.904,2.906,2.903,2.904,900.49
2026-04-09 00:00:00,2.904,2.905,2.9,2.902,687.04
2026-04-09 00:05:00,2.902,2.906,2.902,2.903,761.48
2026-04-09 00:10:00,2.902,2.903,2.9,2.9,362.78
2026-04-09 00:15:00,2.9,2.9,2.894,2.898,1314.78
2026-04-09 00:20:00,2.896,2.899,2.895,2.897,3133.38
2026-04-09 00:25:00,2.898,2.9,2.889,2.893,3895.52
2026-04-09 00:30:00,2.892,2.898,2.892,2.893,634.11
2026-04-09 00:35:00,2.892,2.896,2.883,2.887,1503.65
2026-04-09 00:40:00,2.887,2.889,2.885,2.889,90.32
2026-04-09 00:45:00,2.89,2.893,2.886,2.892,861.98
2026-04-09 00:50:00,2.891,2.891,2.888,2.89,533.77
2026-04-09 00:55:00,2.891,2.895,2.891,2.893,67.62
2026-04-09 01:00:00,2.892,2.893,2.888,2.888,426.14
2026-04-09 01:05:00,2.89,2.891,2.874,2.88,21236.56
2026-04-09 01:10:00,2.879,2.881,2.878,2.879,1057.11
2026-04-09 01:15:00,2.881,2.882,2.875,2.876,406.94
2026-04-09 01:20:00,2.876,2.878,2.872,2.874,1778.68
2026-04-09 01:25:00,2.875,2.876,2.872,2.873,1086.87
2026-04-09 01:30:00,2.872,2.886,2.871,2.884,2055.7
2026-04-09 01:35:00,2.883,2.884,2.877,2.879,732.58
2026-04-09 01:40:00,2.879,2.879,2.875,2.876,420.98
2026-04-09 01:45:00,2.877,2.88,2.875,2.879,1315.37
2026-04-09 01:50:00,2.88,2.884,2.88,2.884,633.12
2026-04-09 01:55:00,2.884,2.884,2.882,2.884,359.72
2026-04-09 02:00:00,2.885,2.891,2.884,2.888,786.52
2026-04-09 02:05:00,2.888,2.889,2.888,2.888,39.33
2026-04-09 02:10:00,2.888,2.888,2.884,2.884,606.64
2026-04-09 02:15:00,2.886,2.894,2.886,2.894,226.45
2026-04-09 02:20:00,2.894,2.894,2.892,2.892,97.13
2026-04-09 02:25:00,2.894,2.896,2.893,2.894,451.63
2026-04-09 02:30:00,2.893,2.899,2.893,2.899,623.76
2026-04-09 02:35:00,2.898,2.899,2.897,2.899,149.31
2026-04-09 02:40:00,2.9,2.9,2.896,2.9,911.33
2026-04-09 02:45:00,2.899,2.904,2.899,2.9,550.56
2026-04-09 02:50:00,2.899,2.9,2.899,2.9,260.14
2026-04-09 02:55:00,2.899,2.902,2.898,2.898,1450.92
2026-04-09 03:00:00,2.898,2.898,2.896,2.897,90.84
2026-04-09 03:05:00,2.898,2.898,2.894,2.897,625.21
2026-04-09 03:10:00,2.897,2.9,2.896,2.899,603.57
2026-04-09 03:15:00,2.898,2.902,2.897,2.9,791.7
2026-04-09 03:20:00,2.9,2.9,2.897,2.898,213.66
2026-04-09 03:25:00,2.899,2.899,2.892,2.892,815.68
2026-04-09 03:30:00,2.892,2.895,2.891,2.895,241.08
2026-04-09 03:35:00,2.896,2.898,2.895,2.895,62.52
2026-04-09 03:40:00,2.896,2.896,2.889,2.89,1216.08
2026-04-09 03:45:00,2.89,2.892,2.888,2.891,1591.25
2026-04-09 03:50:00,2.892,2.895,2.891,2.891,818.73
2026-04-09 03:55:00,2.891,2.892,2.89,2.891,111.74
2026-04-09 04:00:00,2.89,2.89,2.887,2.887,594.24
2026-04-09 04:05:00,2.89,2.892,2.89,2.89,234.44
2026-04-09 04:10:00,2.891,2.893,2.891,2.893,955.31
2026-04-09 04:15:00,2.891,2.894,2.891,2.894,503.95
2026-04-09 04:20:00,2.894,2.899,2.893,2.899,420.08
2026-04-09 04:25:00,2.9,2.901,2.898,2.898,427.56
2026-04-09 04:30:00,2.899,2.903,2.897,2.897,735.53
2026-04-09 04:35:00,2.899,2.9,2.898,2.9,334.99
2026-04-09 04:40:00,2.9,2.9,2.898,2.9,525.95
2026-04-09 04:45:00,2.898,2.898,2.893,2.895,2909.34
2026-04-09 04:50:00,2.893,2.893,2.892,2.893,69.78
2026-04-09 04:55:00,2.893,2.893,2.89,2.891,755.6
2026-04-09 05:00:00,2.891,2.893,2.89,2.892,2270.66
2026-04-09 05:05:00,2.892,2.897,2.892,2.895,948.4
2026-04-09 05:10:00,2.895,2.895,2.893,2.895,94.27
2026-04-09 05:15:00,2.896,2.899,2.894,2.899,432.91
2026-04-09 05:20:00,2.9,2.9,2.898,2.898,75.48
2026-04-09 05:25:00,2.898,2.901,2.898,2.901,270.26
2026-04-09 05:30:00,2.902,2.908,2.901,2.907,990.41
2026-04-09 05:35:00,2.907,2.913,2.907,2.913,1819.41
2026-04-09 05:40:00,2.912,2.912,2.907,2.907,566.5
2026-04-09 05:45:00,2.908,2.909,2.905,2.907,1199.91
2026-04-09 05:50:00,2.905,2.905,2.896,2.898,2001.13
2026-04-09 05:55:00,2.898,2.899,2.895,2.899,1391.99
2026-04-09 06:00:00,2.899,2.91,2.899,2.91,23258.59
2026-04-09 06:05:00,2.908,2.912,2.906,2.911,414.11
2026-04-09 06:10:00,2.91,2.912,2.908,2.909,433.5
2026-04-09 06:15:00,2.909,2.909,2.906,2.906,221.75
2026-04-09 06:20:00,2.907,2.907,2.906,2.907,102.61
2026-04-09 06:25:00,2.906,2.906,2.904,2.905,641.61
2026-04-09 06:30:00,2.905,2.908,2.904,2.908,87.31
2026-04-09 06:35:00,2.909,2.912,2.909,2.911,266.6
2026-04-09 06:40:00,2.911,2.911,2.91,2.91,116.92
2026-04-09 06:45:00,2.909,2.911,2.908,2.911,105.54
2026-04-09 06:50:00,2.911,2.912,2.909,2.912,496.48
2026-04-09 06:55:00,2.913,2.915,2.913,2.915,92.62
2026-04-09 07:00:00,2.916,2.921,2.916,2.921,287.49
2026-04-09 07:05:00,2.921,2.921,2.916,2.918,478.1
2026-04-09 07:10:00,2.918,2.923,2.916,2.92,6512.44
2026-04-09 07:15:00,2.92,2.92,2.915,2.916,153.53
2026-04-09 07:20:00,2.915,2.916,2.913,2.913,1781.79
2026-04-09 07:25:00,2.914,2.914,2.913,2.913,5.72
2026-04-09 07:30:00,2.913,2.918,2.913,2.918,297.08
2026-04-09 07:35:00,2.919,2.92,2.917,2.919,2748.42
2026-04-09 07:40:00,2.918,2.918,2.915,2.918,992.08
