datetime,open,high,low,close,volume
2026-04-08 14:35:00,9.0,9.04,9.0,9.02,26293.37
2026-04-08 14:40:00,9.03,9.04,9.01,9.02,7437.88
2026-04-08 14:45:00,9.01,9.03,8.98,9.02,39463.91
2026-04-08 14:50:00,9.01,9.01,8.97,9.0,20045.01
2026-04-08 14:55:00,8.99,9.0,8.97,9.0,28927.82
2026-04-08 15:00:00,8.99,9.02,8.99,9.01,12140.94
2026-04-08 15:05:00,9.01,9.02,8.99,8.99,11672.37
2026-04-08 15:10:00,8.99,9.01,8.98,9.01,15298.48
2026-04-08 15:15:00,9.0,9.04,9.0,9.04,7314.96
2026-04-08 15:20:00,9.04,9.05,9.02,9.02,4752.46
2026-04-08 15:25:00,9.03,9.03,9.0,9.01,4152.21
2026-04-08 15:30:00,9.01,9.02,9.0,9.01,6019.24
2026-04-08 15:35:00,9.02,9.05,9.01,9.04,40270.35
2026-04-08 15:40:00,9.04,9.05,9.02,9.03,2572.86
2026-04-08 15:45:00,9.03,9.04,9.03,9.04,12134.6
2026-04-08 15:50:00,9.03,9.05,9.02,9.03,22942.69
2026-04-08 15:55:00,9.04,9.05,9.03,9.03,19368.83
2026-04-08 16:00:00,9.03,9.05,9.02,9.04,3456.25
2026-04-08 16:05:00,9.04,9.05,9.03,9.03,4944.34
2026-04-08 16:10:00,9.03,9.05,9.02,9.04,14200.68
2026-04-08 16:15:00,9.04,9.06,9.03,9.05,2125.42
2026-04-08 16:20:00,9.05,9.06,9.04,9.06,540.0
2026-04-08 16:25:00,9.05,9.05,9.04,9.05,2430.17
2026-04-08 16:30:00,9.04,9.04,9.03,9.03,4877.62
2026-04-08 16:35:00,9.04,9.05,9.04,9.05,1774.33
2026-04-08 16:40:00,9.04,9.06,9.04,9.06,8211.22
2026-04-08 16:45:00,9.05,9.07,9.05,9.06,2157.07
2026-04-08 16:50:00,9.07,9.07,9.05,9.06,1967.72
2026-04-08 16:55:00,9.07,9.08,9.06,9.06,6505.21
2026-04-08 17:00:00,9.07,9.09,9.06,9.08,2713.48
2026-04-08 17:05:00,9.08,9.08,9.07,9.08,1929.91
2026-04-08 17:10:00,9.07,9.1,9.07,9.08,8402.18
2026-04-08 17:15:00,9.08,9.09,9.07,9.08,1044.77
2026-04-08 17:20:00,9.07,9.08,9.05,9.05,6213.61
2026-04-08 17:25:00,9.06,9.07,9.04,9.05,5749.33
2026-04-08 17:30:00,9.05,9.07,9.04,9.06,16449.0
2026-04-08 17:35:00,9.05,9.12,9.05,9.09,31449.98
2026-04-08 17:40:00,9.09,9.1,9.08,9.09,7629.14
2026-04-08 17:45:00,9.1,9.11,9.09,9.09,7146.68
2026-04-08 17:50:00,9.09,9.1,9.08,9.1,8879.33
2026-04-08 17:55:00,9.1,9.11,9.09,9.11,3950.26
2026-04-08 18:00:00,9.11,9.11,9.08,9.09,7225.88
2026-04-08 18:05:00,9.09,9.09,9.07,9.07,3526.09
2026-04-08 18:10:00,9.07,9.08,9.07,9.07,10107.29
2026-04-08 18:15:00,9.08,9.09,9.03,9.04,6235.04
2026-04-08 18:20:00,9.04,9.05,9.02,9.03,6216.1
2026-04-08 18:25:00,9.03,9.03,9.01,9.02,3247.98
2026-04-08 18:30:00,9.02,9.04,9.02,9.04,3388.96
2026-04-08 18:35:00,9.04,9.04,9.02,9.03,4304.46
2026-04-08 18:40:00,9.02,9.02,8.99,9.0,13295.67
2026-04-08 18:45:00,9.0,9.01,8.99,9.0,4938.91
2026-04-08 18:50:00,8.99,9.0,8.98,8.98,17699.45
2026-04-08 18:55:00,8.98,8.99,8.96,8.96,18233.46
2026-04-08 19:00:00,8.96,8.97,8.94,8.96,34734.55
2026-04-08 19:05:00,8.97,8.98,8.95,8.97,3136.89
2026-04-08 19:10:00,8.97,8.99,8.96,8.98,13433.98
2026-04-08 19:15:00,8.97,8.98,8.95,8.97,23994.74
2026-04-08 19:20:00,8.96,8.96,8.94,8.96,6188.47
2026-04-08 19:25:00,8.96,8.97,8.94,8.95,4118.38
2026-04-08 19:30:00,8.94,8.96,8.93,8.95,8005.59
2026-04-08 19:35:00,8.95,8.98,8.94,8.97,3745.03
2026-04-08 19:40:00,8.97,8.97,8.95,8.97,4739.39
2026-04-08 19:45:00,8.97,8.98,8.96,8.97,2152.83
2026-04-08 19:50:00,8.97,8.99,8.97,8.97,4878.76
2026-04-08 19:55:00,8.97,8.99,8.97,8.99,2327.03
2026-04-08 20:00:00,8.99,9.0,8.98,8.99,20667.86
2026-04-08 20:05:00,9.0,9.0,8.98,8.99,4952.48
