datetime,open,high,low,close,volume
2025-04-22 16:00:00,0.716,0.721,0.706,0.719,1957421.11
2025-04-22 20:00:00,0.719,0.743,0.715,0.741,2419162.87
2025-04-23 00:00:00,0.741,0.762,0.738,0.761,4103388.67
2025-04-23 04:00:00,0.761,0.769,0.747,0.757,2875776.05
2025-04-23 08:00:00,0.757,0.764,0.749,0.756,2751362.05
2025-04-23 12:00:00,0.757,0.771,0.744,0.762,5063823.57
2025-04-23 16:00:00,0.762,0.778,0.753,0.76,3500670.31
2025-04-23 20:00:00,0.76,0.775,0.759,0.772,1173713.01
2025-04-24 00:00:00,0.771,0.776,0.751,0.752,2024658.35
2025-04-24 04:00:00,0.752,0.766,0.747,0.751,1936537.05
2025-04-24 08:00:00,0.751,0.757,0.741,0.755,1951952.33
2025-04-24 12:00:00,0.756,0.793,0.748,0.785,4101667.78
2025-04-24 16:00:00,0.786,0.796,0.774,0.787,3586888.03
2025-04-24 20:00:00,0.788,0.796,0.784,0.792,1692248.79
2025-04-25 00:00:00,0.791,0.802,0.775,0.783,2862966.53
2025-04-25 04:00:00,0.783,0.813,0.779,0.808,2337205.05
2025-04-25 08:00:00,0.808,0.814,0.801,0.806,3553950.44
2025-04-25 12:00:00,0.807,0.82,0.786,0.806,5097221.99
2025-04-25 16:00:00,0.807,0.811,0.797,0.806,2019303.62
2025-04-25 20:00:00,0.807,0.821,0.805,0.807,1766273.68
2025-04-26 00:00:00,0.808,0.841,0.808,0.831,2274204.54
2025-04-26 04:00:00,0.83,0.843,0.82,0.833,1569249.83
2025-04-26 08:00:00,0.833,0.848,0.818,0.82,2522039.11
2025-04-26 12:00:00,0.82,0.838,0.813,0.836,1646754.11
2025-04-26 16:00:00,0.835,0.843,0.827,0.841,863005.83
2025-04-26 20:00:00,0.84,0.847,0.833,0.842,1263120.05
2025-04-27 00:00:00,0.843,0.855,0.82,0.825,2434144.59
2025-04-27 04:00:00,0.825,0.827,0.81,0.816,1203745.18
2025-04-27 08:00:00,0.815,0.824,0.804,0.805,1881317.69
2025-04-27 12:00:00,0.806,0.807,0.781,0.784,9127989.5
2025-04-27 16:00:00,0.783,0.79,0.776,0.79,1414241.54
2025-04-27 20:00:00,0.79,0.791,0.773,0.774,1438319.98
2025-04-28 00:00:00,0.773,0.78,0.754,0.778,3577299.91
2025-04-28 04:00:00,0.778,0.801,0.777,0.796,2630816.8
2025-04-28 08:00:00,0.797,0.804,0.78,0.791,3480382.58
2025-04-28 12:00:00,0.792,0.793,0.762,0.768,3611133.82
2025-04-28 16:00:00,0.769,0.792,0.758,0.79,2647761.09
2025-04-28 20:00:00,0.791,0.793,0.781,0.783,1670082.47
2025-04-29 00:00:00,0.784,0.788,0.776,0.787,1710065.25
2025-04-29 04:00:00,0.787,0.797,0.774,0.793,2030761.81
2025-04-29 08:00:00,0.793,0.798,0.781,0.784,2188721.87
2025-04-29 12:00:00,0.785,0.796,0.774,0.783,1974184.18
2025-04-29 16:00:00,0.783,0.789,0.775,0.775,1163771.88
2025-04-29 20:00:00,0.775,0.777,0.75,0.758,2625033.54
2025-04-30 00:00:00,0.758,0.763,0.744,0.754,2615600.8
2025-04-30 04:00:00,0.754,0.755,0.748,0.75,3943562.38
2025-04-30 08:00:00,0.751,0.763,0.748,0.761,1753181.65
2025-04-30 12:00:00,0.762,0.762,0.725,0.734,3292125.44
2025-04-30 16:00:00,0.733,0.743,0.722,0.729,2023645.18
2025-04-30 20:00:00,0.729,0.741,0.727,0.729,2073221.71
2025-05-01 00:00:00,0.729,0.742,0.728,0.731,2161533.97
2025-05-01 04:00:00,0.731,0.733,0.724,0.729,1909656.71
2025-05-01 08:00:00,0.728,0.743,0.726,0.737,3071562.83
