datetime,open,high,low,close,volume
2023-04-24,1.706,1.839,1.684,1.773,18407258.22
2023-04-25,1.773,2.042,1.733,2.022,25710030.91
2023-04-26,2.022,2.48,2.0,2.298,55376400.9
2023-04-27,2.299,2.415,2.202,2.34,27131924.82
2023-04-28,2.34,2.6,2.321,2.364,33115991.4
2023-04-29,2.363,2.489,2.336,2.372,14472733.01
2023-04-30,2.372,2.567,2.341,2.387,20028012.2
2023-05-01,2.388,2.467,2.186,2.204,23312115.02
2023-05-02,2.204,2.274,2.051,2.066,27750833.99
2023-05-03,2.066,2.334,2.023,2.278,24685542.75
2023-05-04,2.279,2.317,2.181,2.213,17841559.4
2023-05-05,2.214,2.26,2.126,2.184,20322845.66
2023-05-06,2.184,2.214,2.01,2.079,11556310.23
2023-05-07,2.079,2.237,2.028,2.127,13109774.11
2023-05-08,2.127,2.161,1.782,1.859,22026424.39
2023-05-09,1.859,1.878,1.698,1.739,17729177.19
2023-05-10,1.739,1.958,1.68,1.831,27701963.3
2023-05-11,1.831,1.835,1.628,1.709,17277826.25
2023-05-12,1.709,1.819,1.651,1.818,14571077.78
2023-05-13,1.818,1.886,1.773,1.837,10621633.64
2023-05-14,1.837,1.895,1.78,1.825,7706778.24
2023-05-15,1.825,1.9,1.792,1.795,8121133.88
2023-05-16,1.796,1.986,1.773,1.925,14411836.88
2023-05-17,1.925,2.379,1.916,2.303,29250764.88
2023-05-18,2.303,2.52,2.254,2.392,35763757.81
2023-05-19,2.392,2.461,2.307,2.316,20252686.44
2023-05-20,2.317,2.422,2.267,2.351,15144541.84
2023-05-21,2.352,2.95,2.324,2.462,45372942.46
2023-05-22,2.462,2.518,2.335,2.452,18656859.83
2023-05-23,2.452,2.799,2.398,2.721,24267123.12
2023-05-24,2.721,2.766,2.402,2.635,31743291.15
2023-05-25,2.636,2.9,2.528,2.704,32120137.6
2023-05-26,2.705,2.879,2.654,2.729,22148334.34
2023-05-27,2.729,2.789,2.594,2.643,13947306.16
2023-05-28,2.643,2.811,2.597,2.741,14243495.33
2023-05-29,2.741,2.77,2.481,2.542,18072411.72
2023-05-30,2.541,2.694,2.469,2.57,14781526.9
2023-05-31,2.57,2.624,2.42,2.522,12019378.34
2023-06-01,2.522,2.622,2.43,2.496,11686629.74
