datetime,open,high,low,close,volume
2026-03-08 14:45:00,5.29e-06,5.3e-06,5.28e-06,5.29e-06,4764133121.0
2026-03-08 15:00:00,5.29e-06,5.3e-06,5.27e-06,5.29e-06,3434489893.0
2026-03-08 15:15:00,5.29e-06,5.29e-06,5.26e-06,5.27e-06,9575368010.0
2026-03-08 15:30:00,5.26e-06,5.28e-06,5.26e-06,5.27e-06,5933777647.0
2026-03-08 15:45:00,5.28e-06,5.29e-06,5.26e-06,5.28e-06,10724208837.0
2026-03-08 16:00:00,5.28e-06,5.29e-06,5.27e-06,5.28e-06,3326861499.0
2026-03-08 16:15:00,5.28e-06,5.29e-06,5.27e-06,5.28e-06,3923104252.0
2026-03-08 16:30:00,5.27e-06,5.28e-06,5.24e-06,5.27e-06,11073494447.0
2026-03-08 16:45:00,5.27e-06,5.27e-06,5.25e-06,5.26e-06,7627031579.0
2026-03-08 17:00:00,5.27e-06,5.31e-06,5.26e-06,5.29e-06,6683466247.0
2026-03-08 17:15:00,5.29e-06,5.3e-06,5.27e-06,5.29e-06,8501823603.0
2026-03-08 17:30:00,5.28e-06,5.29e-06,5.27e-06,5.27e-06,5132327313.0
2026-03-08 17:45:00,5.27e-06,5.29e-06,5.27e-06,5.29e-06,2708553797.0
2026-03-08 18:00:00,5.29e-06,5.29e-06,5.27e-06,5.29e-06,4865811428.0
2026-03-08 18:15:00,5.29e-06,5.29e-06,5.26e-06,5.27e-06,14790282007.0
2026-03-08 18:30:00,5.27e-06,5.29e-06,5.27e-06,5.27e-06,6823484576.0
2026-03-08 18:45:00,5.28e-06,5.29e-06,5.27e-06,5.28e-06,1860258125.0
2026-03-08 19:00:00,5.28e-06,5.32e-06,5.28e-06,5.32e-06,4292814539.0
2026-03-08 19:15:00,5.32e-06,5.36e-06,5.32e-06,5.35e-06,7630503401.0
2026-03-08 19:30:00,5.36e-06,5.37e-06,5.34e-06,5.36e-06,5616748752.0
2026-03-08 19:45:00,5.35e-06,5.36e-06,5.34e-06,5.34e-06,5536614563.0
2026-03-08 20:00:00,5.35e-06,5.35e-06,5.33e-06,5.33e-06,2475257623.0
2026-03-08 20:15:00,5.33e-06,5.35e-06,5.32e-06,5.33e-06,8963572832.0
2026-03-08 20:30:00,5.33e-06,5.38e-06,5.32e-06,5.36e-06,6229346788.0
2026-03-08 20:45:00,5.36e-06,5.37e-06,5.34e-06,5.35e-06,7789170539.0
2026-03-08 21:00:00,5.34e-06,5.35e-06,5.31e-06,5.32e-06,13646542566.0
2026-03-08 21:15:00,5.32e-06,5.34e-06,5.32e-06,5.34e-06,6756031787.0
2026-03-08 21:30:00,5.33e-06,5.35e-06,5.33e-06,5.35e-06,6262482036.0
2026-03-08 21:45:00,5.35e-06,5.35e-06,5.33e-06,5.34e-06,10823155987.0
2026-03-08 22:00:00,5.34e-06,5.34e-06,5.23e-06,5.29e-06,67291896596.0
2026-03-08 22:15:00,5.29e-06,5.3e-06,5.24e-06,5.28e-06,22120289814.0
2026-03-08 22:30:00,5.29e-06,5.33e-06,5.26e-06,5.3e-06,21796557274.0
2026-03-08 22:45:00,5.31e-06,5.33e-06,5.3e-06,5.31e-06,23498197525.0
2026-03-08 23:00:00,5.31e-06,5.34e-06,5.3e-06,5.3e-06,12542402171.0
2026-03-08 23:15:00,5.31e-06,5.33e-06,5.3e-06,5.32e-06,3519089569.0
2026-03-08 23:30:00,5.32e-06,5.33e-06,5.28e-06,5.29e-06,3334383703.0
2026-03-08 23:45:00,5.28e-06,5.3e-06,5.27e-06,5.29e-06,8720047807.0
2026-03-09 00:00:00,5.29e-06,5.33e-06,5.28e-06,5.31e-06,6145592432.0
2026-03-09 00:15:00,5.32e-06,5.33e-06,5.28e-06,5.32e-06,10598398407.0
2026-03-09 00:30:00,5.32e-06,5.36e-06,5.32e-06,5.33e-06,15277836106.0
2026-03-09 00:45:00,5.34e-06,5.34e-06,5.31e-06,5.32e-06,5318510814.0
2026-03-09 01:00:00,5.32e-06,5.32e-06,5.29e-06,5.3e-06,7412524992.0
2026-03-09 01:15:00,5.31e-06,5.34e-06,5.3e-06,5.33e-06,6584863049.0
2026-03-09 01:30:00,5.32e-06,5.34e-06,5.3e-06,5.33e-06,10298786461.0
2026-03-09 01:45:00,5.34e-06,5.34e-06,5.29e-06,5.29e-06,5527376722.0
2026-03-09 02:00:00,5.3e-06,5.31e-06,5.28e-06,5.29e-06,3461369423.0
2026-03-09 02:15:00,5.29e-06,5.29e-06,5.27e-06,5.28e-06,7428166701.0
2026-03-09 02:30:00,5.28e-06,5.33e-06,5.27e-06,5.33e-06,3575701062.0
2026-03-09 02:45:00,5.33e-06,5.34e-06,5.31e-06,5.31e-06,3562052884.0
2026-03-09 03:00:00,5.32e-06,5.4e-06,5.31e-06,5.39e-06,24387029778.0
2026-03-09 03:15:00,5.39e-06,5.41e-06,5.34e-06,5.35e-06,19063082384.0
2026-03-09 03:30:00,5.36e-06,5.36e-06,5.33e-06,5.34e-06,7307168233.0
2026-03-09 03:45:00,5.34e-06,5.35e-06,5.33e-06,5.34e-06,3797857196.0
2026-03-09 04:00:00,5.34e-06,5.35e-06,5.33e-06,5.34e-06,5402512274.0
2026-03-09 04:15:00,5.34e-06,5.37e-06,5.33e-06,5.37e-06,3355178523.0
2026-03-09 04:30:00,5.37e-06,5.37e-06,5.35e-06,5.36e-06,3298957806.0
2026-03-09 04:45:00,5.37e-06,5.37e-06,5.33e-06,5.34e-06,5048489461.0
2026-03-09 05:00:00,5.34e-06,5.35e-06,5.33e-06,5.35e-06,4431229339.0
2026-03-09 05:15:00,5.35e-06,5.37e-06,5.34e-06,5.36e-06,7631674489.0
2026-03-09 05:30:00,5.36e-06,5.42e-06,5.36e-06,5.4e-06,18642725608.0
2026-03-09 05:45:00,5.41e-06,5.44e-06,5.4e-06,5.41e-06,15880233115.0
2026-03-09 06:00:00,5.42e-06,5.43e-06,5.4e-06,5.4e-06,4356332328.0
2026-03-09 06:15:00,5.41e-06,5.42e-06,5.39e-06,5.4e-06,8142476284.0
2026-03-09 06:30:00,5.39e-06,5.4e-06,5.36e-06,5.36e-06,5516702647.0
2026-03-09 06:45:00,5.36e-06,5.37e-06,5.34e-06,5.35e-06,5441070901.0
2026-03-09 07:00:00,5.35e-06,5.35e-06,5.32e-06,5.32e-06,12073730336.0
2026-03-09 07:15:00,5.33e-06,5.34e-06,5.29e-06,5.33e-06,7781232926.0
2026-03-09 07:30:00,5.33e-06,5.34e-06,5.32e-06,5.33e-06,3492836410.0
2026-03-09 07:45:00,5.33e-06,5.34e-06,5.32e-06,5.33e-06,2957408955.0
2026-03-09 08:00:00,5.33e-06,5.34e-06,5.32e-06,5.33e-06,5044303087.0
2026-03-09 08:15:00,5.32e-06,5.35e-06,5.31e-06,5.34e-06,3396914606.0
2026-03-09 08:30:00,5.34e-06,5.35e-06,5.31e-06,5.33e-06,14274345171.0
2026-03-09 08:45:00,5.33e-06,5.34e-06,5.32e-06,5.34e-06,5812745919.0
2026-03-09 09:00:00,5.34e-06,5.34e-06,5.3e-06,5.33e-06,9143376175.0
2026-03-09 09:15:00,5.33e-06,5.35e-06,5.32e-06,5.33e-06,16064356015.0
2026-03-09 09:30:00,5.33e-06,5.39e-06,5.32e-06,5.38e-06,23688386446.0
2026-03-09 09:45:00,5.38e-06,5.39e-06,5.34e-06,5.35e-06,17607331848.0
2026-03-09 10:00:00,5.35e-06,5.37e-06,5.35e-06,5.36e-06,7058752576.0
2026-03-09 10:15:00,5.35e-06,5.37e-06,5.35e-06,5.36e-06,3876562151.0
2026-03-09 10:30:00,5.36e-06,5.37e-06,5.33e-06,5.34e-06,4772866923.0
2026-03-09 10:45:00,5.34e-06,5.34e-06,5.32e-06,5.34e-06,4158636607.0
2026-03-09 11:00:00,5.33e-06,5.36e-06,5.33e-06,5.34e-06,3631856483.0
2026-03-09 11:15:00,5.34e-06,5.35e-06,5.31e-06,5.33e-06,10673099826.0
2026-03-09 11:30:00,5.33e-06,5.36e-06,5.33e-06,5.36e-06,1513433723.0
2026-03-09 11:45:00,5.35e-06,5.37e-06,5.35e-06,5.35e-06,7884648428.0
2026-03-09 12:00:00,5.35e-06,5.37e-06,5.35e-06,5.37e-06,3903072647.0
2026-03-09 12:15:00,5.37e-06,5.39e-06,5.36e-06,5.38e-06,12046968297.0
2026-03-09 12:30:00,5.37e-06,5.39e-06,5.36e-06,5.38e-06,13071869320.0
2026-03-09 12:45:00,5.38e-06,5.38e-06,5.36e-06,5.37e-06,5923043979.0
