datetime,open,high,low,close,volume
2026-01-22 15:00:00,1.4926,1.5015,1.4817,1.4845,1633662.0
2026-01-22 15:30:00,1.4845,1.5066,1.4818,1.4961,1231068.2
2026-01-22 16:00:00,1.4961,1.5064,1.494,1.5016,616751.5
2026-01-22 16:30:00,1.5017,1.511,1.4967,1.505,726765.3
2026-01-22 17:00:00,1.5051,1.5121,1.4974,1.4992,957359.0
2026-01-22 17:30:00,1.4992,1.5128,1.4985,1.5098,660070.1
2026-01-22 18:00:00,1.5097,1.5135,1.503,1.5078,772866.7
2026-01-22 18:30:00,1.5078,1.5133,1.498,1.4981,411979.1
2026-01-22 19:00:00,1.4982,1.5033,1.4937,1.5008,310773.0
2026-01-22 19:30:00,1.5009,1.5126,1.5009,1.5072,660044.8
2026-01-22 20:00:00,1.5071,1.5096,1.4981,1.4998,518566.8
2026-01-22 20:30:00,1.4999,1.5031,1.496,1.5002,510631.1
2026-01-22 21:00:00,1.5003,1.5044,1.4979,1.4997,450722.5
2026-01-22 21:30:00,1.4997,1.5002,1.4925,1.4948,585556.0
2026-01-22 22:00:00,1.4949,1.5019,1.4931,1.497,413936.9
2026-01-22 22:30:00,1.497,1.4971,1.4922,1.495,259097.3
2026-01-22 23:00:00,1.495,1.4963,1.4865,1.4933,336454.0
2026-01-22 23:30:00,1.4934,1.4979,1.4913,1.4958,268000.1
2026-01-23 00:00:00,1.4958,1.4995,1.4939,1.4962,323646.6
2026-01-23 00:30:00,1.4961,1.4976,1.4894,1.4946,493027.7
2026-01-23 01:00:00,1.4947,1.5004,1.4945,1.4996,502013.5
2026-01-23 01:30:00,1.4996,1.5076,1.4985,1.5062,973215.6
2026-01-23 02:00:00,1.5061,1.5083,1.5004,1.5008,871654.9
2026-01-23 02:30:00,1.5008,1.5027,1.4974,1.4976,159333.9
2026-01-23 03:00:00,1.4975,1.5113,1.4975,1.5095,262238.5
2026-01-23 03:30:00,1.5095,1.5108,1.5047,1.5068,259002.1
2026-01-23 04:00:00,1.5068,1.5115,1.5049,1.5079,291353.1
2026-01-23 04:30:00,1.5078,1.511,1.5057,1.5089,271717.9
2026-01-23 05:00:00,1.5089,1.5094,1.5008,1.504,199933.5
2026-01-23 05:30:00,1.5039,1.5053,1.5008,1.505,254368.4
2026-01-23 06:00:00,1.505,1.5102,1.4943,1.4983,361115.6
2026-01-23 06:30:00,1.4983,1.5063,1.4966,1.498,263876.6
2026-01-23 07:00:00,1.4981,1.5034,1.4968,1.5005,254561.8
2026-01-23 07:30:00,1.5004,1.5031,1.4976,1.5009,247977.8
2026-01-23 08:00:00,1.5008,1.5031,1.497,1.4978,232566.8
2026-01-23 08:30:00,1.4978,1.4995,1.4864,1.4886,575045.1
2026-01-23 09:00:00,1.4885,1.4961,1.4883,1.4914,566269.3
2026-01-23 09:30:00,1.4915,1.4947,1.4841,1.4926,688800.9
2026-01-23 10:00:00,1.4926,1.4972,1.4873,1.4936,415970.3
2026-01-23 10:30:00,1.4936,1.4947,1.4888,1.4908,286429.7
2026-01-23 11:00:00,1.4908,1.4989,1.49,1.497,328949.9
2026-01-23 11:30:00,1.497,1.5005,1.4933,1.4943,220555.8
2026-01-23 12:00:00,1.4943,1.496,1.49,1.4905,500787.2
2026-01-23 12:30:00,1.4904,1.492,1.4863,1.4889,352867.1
2026-01-23 13:00:00,1.4888,1.4914,1.4876,1.4891,341938.0
2026-01-23 13:30:00,1.489,1.491,1.4848,1.4865,401601.6
2026-01-23 14:00:00,1.4864,1.491,1.483,1.4903,771923.5
2026-01-23 14:30:00,1.4902,1.4916,1.4623,1.475,3017740.3
2026-01-23 15:00:00,1.4751,1.487,1.4688,1.4824,1319406.5
2026-01-23 15:30:00,1.4823,1.5066,1.4816,1.5026,1271487.6
2026-01-23 16:00:00,1.5026,1.5083,1.495,1.4977,888828.5
2026-01-23 16:30:00,1.4976,1.5205,1.4936,1.5088,1616816.8
2026-01-23 17:00:00,1.5089,1.5294,1.5,1.5288,1335299.1
2026-01-23 17:30:00,1.5287,1.5354,1.5157,1.5168,1621504.4
2026-01-23 18:00:00,1.5167,1.5245,1.5117,1.5189,741523.6
2026-01-23 18:30:00,1.519,1.5237,1.513,1.5144,696310.6
2026-01-23 19:00:00,1.5143,1.5143,1.4947,1.4971,1209039.2
2026-01-23 19:30:00,1.4971,1.4978,1.4874,1.4952,853470.3
2026-01-23 20:00:00,1.4953,1.4985,1.4895,1.4899,511315.8
2026-01-23 20:30:00,1.4898,1.4898,1.4743,1.482,1251716.8
2026-01-23 21:00:00,1.4819,1.492,1.4805,1.4898,366782.1
2026-01-23 21:30:00,1.4897,1.4897,1.4831,1.4838,221919.6
2026-01-23 22:00:00,1.4838,1.4953,1.4834,1.4939,397915.4
2026-01-23 22:30:00,1.4943,1.4962,1.4903,1.4929,421063.8
2026-01-23 23:00:00,1.4929,1.4933,1.4881,1.4903,861954.7
2026-01-23 23:30:00,1.4903,1.4915,1.4877,1.4886,901483.9
2026-01-24 00:00:00,1.4886,1.4931,1.4849,1.4852,653736.9
2026-01-24 00:30:00,1.4852,1.4896,1.4824,1.4827,249288.5
2026-01-24 01:00:00,1.4827,1.4857,1.4811,1.4853,149315.1
2026-01-24 01:30:00,1.4853,1.4853,1.4789,1.4845,385624.4
2026-01-24 02:00:00,1.4846,1.4907,1.4844,1.488,190687.1
2026-01-24 02:30:00,1.488,1.4912,1.4867,1.4899,193144.9
2026-01-24 03:00:00,1.49,1.4975,1.4878,1.4975,344527.7
2026-01-24 03:30:00,1.4974,1.498,1.4931,1.494,255259.5
2026-01-24 04:00:00,1.494,1.4948,1.4895,1.4906,194567.3
2026-01-24 04:30:00,1.4906,1.4936,1.4905,1.4919,108402.7
2026-01-24 05:00:00,1.4919,1.4923,1.4887,1.4905,149649.4
2026-01-24 05:30:00,1.4905,1.4905,1.4861,1.4899,84152.5
2026-01-24 06:00:00,1.4898,1.4912,1.4868,1.4876,118213.8
2026-01-24 06:30:00,1.4877,1.4917,1.4877,1.4886,201595.5
2026-01-24 07:00:00,1.4887,1.4903,1.4836,1.484,234461.5
2026-01-24 07:30:00,1.4839,1.4895,1.4838,1.4845,240887.6
2026-01-24 08:00:00,1.4845,1.4873,1.4836,1.4862,193218.6
2026-01-24 08:30:00,1.4861,1.4906,1.4861,1.49,149539.5
2026-01-24 09:00:00,1.49,1.49,1.4851,1.4856,107400.5
2026-01-24 09:30:00,1.4855,1.4872,1.4844,1.4852,110463.9
2026-01-24 10:00:00,1.4853,1.4863,1.482,1.4847,183028.9
2026-01-24 10:30:00,1.4847,1.4887,1.4844,1.4878,126451.3
2026-01-24 11:00:00,1.4879,1.4952,1.4878,1.4901,556354.8
2026-01-24 11:30:00,1.49,1.4907,1.4878,1.4887,93156.8
2026-01-24 12:00:00,1.4887,1.4904,1.4882,1.4899,99436.6
2026-01-24 12:30:00,1.4898,1.4933,1.4898,1.4918,170499.0
2026-01-24 13:00:00,1.4918,1.4919,1.4878,1.4891,101688.0
2026-01-24 13:30:00,1.4891,1.494,1.4851,1.4851,241266.9
2026-01-24 14:00:00,1.4851,1.4889,1.4822,1.4878,389156.1
2026-01-24 14:30:00,1.4878,1.4928,1.4867,1.4913,164546.8
2026-01-24 15:00:00,1.4913,1.4942,1.4895,1.49,203015.3
2026-01-24 15:30:00,1.49,1.4913,1.4801,1.4825,279544.8
2026-01-24 16:00:00,1.4825,1.4861,1.4753,1.4793,485964.6
2026-01-24 16:30:00,1.4794,1.4857,1.4778,1.4834,289192.3
2026-01-24 17:00:00,1.4835,1.4875,1.4817,1.4865,137142.4
2026-01-24 17:30:00,1.4864,1.4873,1.4845,1.4864,63425.0
2026-01-24 18:00:00,1.4865,1.4867,1.4834,1.4855,90513.1
2026-01-24 18:30:00,1.4857,1.4879,1.4837,1.4841,193976.2
2026-01-24 19:00:00,1.4842,1.4844,1.4815,1.483,159196.0
2026-01-24 19:30:00,1.483,1.484,1.4761,1.4798,353156.1
2026-01-24 20:00:00,1.4798,1.4866,1.4798,1.485,131460.4
2026-01-24 20:30:00,1.4851,1.4859,1.4828,1.4837,88382.2
2026-01-24 21:00:00,1.4836,1.4841,1.4803,1.4812,89719.5
2026-01-24 21:30:00,1.4811,1.4817,1.4791,1.4813,91946.9
2026-01-24 22:00:00,1.4813,1.4878,1.4813,1.4859,238942.8
2026-01-24 22:30:00,1.4859,1.4898,1.4856,1.4895,115469.7
2026-01-24 23:00:00,1.4895,1.4906,1.4851,1.4861,166911.9
2026-01-24 23:30:00,1.486,1.486,1.4828,1.4847,120042.0
2026-01-25 00:00:00,1.4847,1.4887,1.484,1.4841,221129.6
2026-01-25 00:30:00,1.484,1.4892,1.4818,1.4891,274517.2
2026-01-25 01:00:00,1.4892,1.492,1.486,1.4878,345664.0
2026-01-25 01:30:00,1.4877,1.489,1.4843,1.4881,238640.0
2026-01-25 02:00:00,1.488,1.4939,1.487,1.4909,309506.0
2026-01-25 02:30:00,1.4909,1.492,1.4862,1.4877,176353.5
2026-01-25 03:00:00,1.4878,1.4889,1.48,1.48,229310.2
2026-01-25 03:30:00,1.48,1.48,1.4717,1.4747,489200.5
2026-01-25 04:00:00,1.4746,1.4788,1.4728,1.4776,188208.5
2026-01-25 04:30:00,1.4777,1.4821,1.4762,1.4764,157850.9
2026-01-25 05:00:00,1.4764,1.4796,1.4757,1.4796,144627.8
2026-01-25 05:30:00,1.4795,1.4842,1.4765,1.4834,264622.5
2026-01-25 06:00:00,1.4835,1.4839,1.4776,1.4784,377652.3
2026-01-25 06:30:00,1.4785,1.4819,1.476,1.4767,198292.7
2026-01-25 07:00:00,1.4767,1.4767,1.4644,1.4709,563935.6
2026-01-25 07:30:00,1.4708,1.4735,1.4694,1.4712,208037.5
2026-01-25 08:00:00,1.4712,1.4759,1.4699,1.4726,276489.5
2026-01-25 08:30:00,1.4726,1.4733,1.4621,1.4651,565493.0
2026-01-25 09:00:00,1.4651,1.4697,1.4639,1.4685,239429.3
2026-01-25 09:30:00,1.4686,1.474,1.4673,1.4676,247999.0
2026-01-25 10:00:00,1.4676,1.4797,1.4674,1.4795,515703.4
2026-01-25 10:30:00,1.4795,1.4839,1.4753,1.4753,472980.0
2026-01-25 11:00:00,1.4753,1.4776,1.4709,1.4766,197252.5
2026-01-25 11:30:00,1.4767,1.478,1.4715,1.4743,187082.8
2026-01-25 12:00:00,1.4742,1.4742,1.4671,1.4709,303296.0
2026-01-25 12:30:00,1.4709,1.4736,1.4689,1.4731,120363.3
2026-01-25 13:00:00,1.4731,1.4749,1.468,1.4682,173917.8
2026-01-25 13:30:00,1.4682,1.4739,1.4669,1.471,290906.6
2026-01-25 14:00:00,1.4711,1.472,1.456,1.4602,854366.3
2026-01-25 14:30:00,1.4602,1.4653,1.4563,1.4643,429434.3
2026-01-25 15:00:00,1.4642,1.4698,1.4624,1.4694,240816.4
2026-01-25 15:30:00,1.4693,1.4693,1.4512,1.4555,1011354.4
