datetime,open,high,low,close,volume
2024-08-05,4.352,6.846,4.352,6.21,28178773.54
2024-08-12,6.21,7.269,6.057,6.887,50904097.83
2024-08-19,6.887,7.068,5.245,5.77,124228820.76
2024-08-26,5.77,5.98,5.03,5.184,127728094.32
2024-09-02,5.183,5.3,4.444,4.896,68665446.36
2024-09-09,4.896,5.887,4.871,5.554,57784300.81
2024-09-16,5.554,5.813,5.366,5.62,39187434.21
2024-09-23,5.62,6.134,5.459,5.847,44502579.18
2024-09-30,5.847,5.889,5.135,5.315,40614812.43
2024-10-07,5.315,5.4,4.997,5.192,30496536.99
2024-10-14,5.193,5.38,5.105,5.358,32289896.57
2024-10-21,5.358,5.408,4.56,4.997,35032110.01
2024-10-28,4.997,5.147,4.664,4.818,34334681.97
2024-11-04,4.818,5.578,4.542,5.274,77621937.11
2024-11-11,5.276,5.832,5.088,5.383,93805801.18
2024-11-18,5.383,6.625,5.188,6.151,89231653.81
2024-11-25,6.151,6.997,5.685,6.836,66953994.25
2024-12-02,6.837,7.2,6.315,6.78,70465376.28
2024-12-09,6.78,6.815,5.3,6.391,58620822.69
2024-12-16,6.392,6.467,4.775,5.381,79573845.37
2024-12-23,5.382,6.104,5.293,5.634,27929888.21
2024-12-30,5.635,5.838,5.402,5.724,19189424.54
2025-01-06,5.724,5.804,5.094,5.307,28885781.28
2025-01-13,5.309,5.659,4.781,4.864,49729834.02
2025-01-20,4.865,5.363,4.72,4.93,44525603.92
2025-01-27,4.929,5.034,3.914,4.061,44812477.22
2025-02-03,4.062,4.853,2.978,3.811,69055762.8
2025-02-10,3.812,3.904,3.6,3.779,29756817.73
2025-02-17,3.778,3.857,3.5,3.767,29490203.67
2025-02-24,3.768,3.799,3.12,3.507,42664654.38
2025-03-03,3.508,3.514,2.606,2.648,51410919.38
2025-03-10,2.65,3.638,2.354,3.44,84834952.67
2025-03-17,3.441,3.913,3.386,3.683,62582251.27
2025-03-24,3.683,4.091,3.527,3.894,59591025.39
2025-03-31,3.894,4.211,2.853,2.917,65992429.72
2025-04-07,2.917,3.244,2.779,2.815,73670235.9
2025-04-14,2.816,3.024,2.778,2.998,44766902.66
2025-04-21,2.999,3.391,2.864,3.269,51124073.9
2025-04-28,3.269,3.35,3.01,3.015,34738224.98
2025-05-05,3.015,3.589,2.937,3.411,55719556.34
2025-05-12,3.411,3.588,3.003,3.138,58301782.11
2025-05-19,3.139,3.221,2.882,2.994,40708401.18
2025-05-26,2.995,3.698,2.923,3.188,103730050.69
2025-06-02,3.188,3.259,2.995,3.17,38874644.85
2025-06-09,3.171,3.395,2.898,2.973,51094789.41
2025-06-16,2.974,3.047,2.604,2.732,40341540.89
2025-06-23,2.731,2.935,2.713,2.913,26059106.4
2025-06-30,2.913,3.09,2.717,2.838,64895875.03
2025-07-07,2.838,3.047,2.726,2.969,61202806.88
2025-07-14,2.97,3.352,2.952,3.275,59790972.51
2025-07-21,3.276,3.594,3.018,3.375,83936214.19
2025-07-28,3.375,3.749,3.18,3.559,102625354.11
2025-08-04,3.559,3.674,3.139,3.348,78532724.39
2025-08-11,3.349,3.643,3.295,3.517,66219342.13
2025-08-18,3.517,3.526,3.184,3.299,50789879.81
2025-08-25,3.3,3.327,3.021,3.165,47493399.43
2025-09-01,3.165,3.203,2.998,3.094,26508010.86
2025-09-08,3.094,3.266,3.065,3.18,38619888.31
2025-09-15,3.18,3.225,3.044,3.065,30498690.3
2025-09-22,3.065,3.084,2.581,2.723,46882523.93
2025-09-29,2.722,2.899,2.61,2.796,38710247.59
2025-10-06,2.795,2.877,0.554,2.274,108818786.59
2025-10-13,2.274,2.376,2.015,2.21,52905226.25
2025-10-20,2.21,2.318,2.061,2.228,32496520.83
2025-10-27,2.228,2.362,2.077,2.31,51827533.15
2025-11-03,2.311,2.312,1.792,2.11,69400309.04
2025-11-10,2.109,2.165,1.751,1.823,56371509.88
2025-11-17,1.824,1.855,1.457,1.47,66005262.07
2025-11-24,1.469,1.657,1.454,1.593,51053318.87
2025-12-01,1.594,1.676,1.438,1.616,45928221.08
2025-12-08,1.616,1.705,1.534,1.546,36273755.01
2025-12-15,1.547,1.583,1.42,1.459,39950786.06
2025-12-22,1.459,1.674,1.432,1.653,37649967.19
2025-12-29,1.652,1.92,1.552,1.867,50390996.09
2026-01-05,1.866,1.95,1.718,1.75,40210073.7
2026-01-12,1.75,1.818,1.662,1.666,32039481.4
2026-01-19,1.667,1.667,1.484,1.506,33331232.18
2026-01-26,1.506,1.55,1.25,1.337,40140418.55
2026-02-02,1.337,1.458,1.124,1.4,65578482.01
2026-02-09,1.4,1.518,1.288,1.471,29941495.27
2026-02-16,1.471,1.474,1.308,1.344,24575459.56
2026-02-23,1.344,1.384,1.187,1.201,44075271.38
2026-03-02,1.202,1.4,1.192,1.312,40446612.75
2026-03-09,1.313,1.365,1.284,1.306,26672992.31
2026-03-16,1.306,1.357,1.202,1.25,37475254.02
2026-03-23,1.25,1.35,1.204,1.219,33325718.37
2026-03-30,1.219,1.263,1.199,1.251,29895584.61
2026-04-06,1.252,1.518,1.208,1.45,63756787.51
2026-04-13,1.45,1.466,1.256,1.288,65220356.17
2026-04-20,1.287,1.389,1.284,1.376,31754271.1
