datetime,open,high,low,close,volume
2026-01-22 15:00:00,1.539,1.545,1.531,1.533,88946.86
2026-01-22 15:30:00,1.533,1.55,1.53,1.545,79899.49
2026-01-22 16:00:00,1.544,1.557,1.544,1.554,87789.7
2026-01-22 16:30:00,1.554,1.562,1.553,1.556,75925.42
2026-01-22 17:00:00,1.557,1.559,1.547,1.548,77891.14
2026-01-22 17:30:00,1.548,1.556,1.546,1.556,56174.46
2026-01-22 18:00:00,1.555,1.555,1.549,1.552,58997.53
2026-01-22 18:30:00,1.552,1.556,1.537,1.539,176973.45
2026-01-22 19:00:00,1.539,1.543,1.533,1.538,145007.13
2026-01-22 19:30:00,1.539,1.548,1.538,1.545,68740.59
2026-01-22 20:00:00,1.545,1.548,1.538,1.54,61171.64
2026-01-22 20:30:00,1.54,1.543,1.536,1.539,48682.99
2026-01-22 21:00:00,1.54,1.549,1.54,1.548,24706.05
2026-01-22 21:30:00,1.548,1.549,1.542,1.543,30018.51
2026-01-22 22:00:00,1.542,1.553,1.542,1.548,52536.34
2026-01-22 22:30:00,1.548,1.548,1.536,1.542,218369.65
2026-01-22 23:00:00,1.542,1.542,1.535,1.541,25068.53
2026-01-22 23:30:00,1.541,1.543,1.54,1.541,40113.84
2026-01-23 00:00:00,1.542,1.545,1.539,1.542,48378.77
2026-01-23 00:30:00,1.542,1.544,1.536,1.536,59673.31
2026-01-23 01:00:00,1.537,1.54,1.535,1.536,35887.87
2026-01-23 01:30:00,1.536,1.543,1.536,1.541,74976.01
2026-01-23 02:00:00,1.541,1.544,1.537,1.537,43248.76
2026-01-23 02:30:00,1.537,1.539,1.53,1.53,45194.2
2026-01-23 03:00:00,1.53,1.541,1.53,1.538,42610.22
2026-01-23 03:30:00,1.538,1.539,1.528,1.534,89481.88
2026-01-23 04:00:00,1.535,1.539,1.533,1.538,24278.67
2026-01-23 04:30:00,1.538,1.54,1.537,1.539,29028.84
2026-01-23 05:00:00,1.54,1.54,1.533,1.533,32905.46
2026-01-23 05:30:00,1.534,1.537,1.53,1.535,39924.78
2026-01-23 06:00:00,1.534,1.54,1.531,1.533,62777.79
2026-01-23 06:30:00,1.532,1.537,1.529,1.531,104943.17
2026-01-23 07:00:00,1.531,1.538,1.531,1.534,42668.88
2026-01-23 07:30:00,1.535,1.545,1.534,1.544,124149.77
2026-01-23 08:00:00,1.544,1.547,1.538,1.539,71518.59
2026-01-23 08:30:00,1.54,1.541,1.534,1.538,36092.95
2026-01-23 09:00:00,1.538,1.544,1.538,1.542,34162.78
2026-01-23 09:30:00,1.541,1.544,1.533,1.534,55867.97
2026-01-23 10:00:00,1.535,1.54,1.53,1.531,69880.52
2026-01-23 10:30:00,1.531,1.537,1.525,1.535,48498.25
2026-01-23 11:00:00,1.536,1.539,1.535,1.538,30387.79
2026-01-23 11:30:00,1.538,1.544,1.537,1.539,98666.81
2026-01-23 12:00:00,1.54,1.543,1.534,1.538,51417.78
2026-01-23 12:30:00,1.537,1.55,1.536,1.549,91455.06
2026-01-23 13:00:00,1.548,1.551,1.543,1.549,103968.85
2026-01-23 13:30:00,1.548,1.552,1.542,1.546,44702.58
2026-01-23 14:00:00,1.547,1.547,1.541,1.542,37418.59
2026-01-23 14:30:00,1.543,1.544,1.518,1.527,276980.65
2026-01-23 15:00:00,1.527,1.535,1.521,1.53,110062.8
2026-01-23 15:30:00,1.53,1.541,1.529,1.54,51628.2
2026-01-23 16:00:00,1.541,1.545,1.536,1.537,78512.61
2026-01-23 16:30:00,1.537,1.551,1.534,1.54,173011.62
2026-01-23 17:00:00,1.539,1.552,1.534,1.552,140734.42
2026-01-23 17:30:00,1.551,1.556,1.541,1.543,141761.73
2026-01-23 18:00:00,1.543,1.548,1.54,1.546,95699.91
2026-01-23 18:30:00,1.546,1.549,1.541,1.542,85428.69
2026-01-23 19:00:00,1.542,1.542,1.528,1.529,190337.22
2026-01-23 19:30:00,1.528,1.529,1.522,1.527,83920.61
2026-01-23 20:00:00,1.528,1.534,1.525,1.525,84967.17
2026-01-23 20:30:00,1.525,1.53,1.517,1.529,309982.43
2026-01-23 21:00:00,1.528,1.532,1.523,1.53,114894.04
2026-01-23 21:30:00,1.529,1.533,1.527,1.527,34402.14
2026-01-23 22:00:00,1.527,1.534,1.527,1.532,18243.99
2026-01-23 22:30:00,1.532,1.537,1.531,1.537,14613.59
2026-01-23 23:00:00,1.536,1.536,1.531,1.531,19659.02
2026-01-23 23:30:00,1.532,1.534,1.53,1.533,15524.45
2026-01-24 00:00:00,1.533,1.537,1.532,1.533,25439.58
2026-01-24 00:30:00,1.533,1.535,1.523,1.526,120912.57
2026-01-24 01:00:00,1.526,1.528,1.515,1.519,496082.85
2026-01-24 01:30:00,1.518,1.519,1.516,1.518,47055.59
2026-01-24 02:00:00,1.519,1.524,1.519,1.522,28844.22
2026-01-24 02:30:00,1.523,1.525,1.521,1.521,33531.65
2026-01-24 03:00:00,1.522,1.524,1.517,1.52,35183.47
2026-01-24 03:30:00,1.521,1.53,1.519,1.522,61514.14
2026-01-24 04:00:00,1.523,1.525,1.522,1.524,21799.23
2026-01-24 04:30:00,1.523,1.532,1.523,1.531,49350.93
2026-01-24 05:00:00,1.531,1.537,1.529,1.536,101980.61
2026-01-24 05:30:00,1.536,1.541,1.535,1.536,39099.0
2026-01-24 06:00:00,1.535,1.538,1.533,1.535,37636.44
2026-01-24 06:30:00,1.534,1.538,1.532,1.535,34838.81
2026-01-24 07:00:00,1.535,1.539,1.534,1.539,28885.12
2026-01-24 07:30:00,1.539,1.54,1.537,1.538,13776.63
2026-01-24 08:00:00,1.538,1.54,1.536,1.539,27980.78
