datetime,open,high,low,close,volume
2026-03-08 14:45:00,0.2876,0.2881,0.2875,0.288,3134728.7
2026-03-08 15:00:00,0.2881,0.2885,0.288,0.2885,4982775.2
2026-03-08 15:15:00,0.2885,0.2886,0.2884,0.2884,1115624.2
2026-03-08 15:30:00,0.2885,0.2886,0.2884,0.2885,578667.4
2026-03-08 15:45:00,0.2886,0.2887,0.2884,0.2886,1097473.9
2026-03-08 16:00:00,0.2887,0.2899,0.2886,0.2892,6723571.3
2026-03-08 16:15:00,0.2892,0.2892,0.2883,0.2884,2148342.1
2026-03-08 16:30:00,0.2884,0.2886,0.2883,0.2884,1075678.3
2026-03-08 16:45:00,0.2884,0.2887,0.2883,0.2886,636357.0
2026-03-08 17:00:00,0.2887,0.2892,0.2886,0.2892,3210703.4
2026-03-08 17:15:00,0.2892,0.2893,0.2891,0.2893,1262044.0
2026-03-08 17:30:00,0.2892,0.2894,0.2892,0.2893,569144.7
2026-03-08 17:45:00,0.2892,0.2894,0.2892,0.2893,701885.6
2026-03-08 18:00:00,0.2893,0.2895,0.2893,0.2895,490048.5
2026-03-08 18:15:00,0.2894,0.2895,0.2892,0.2893,799756.8
2026-03-08 18:30:00,0.2892,0.2895,0.2892,0.2894,560105.8
2026-03-08 18:45:00,0.2895,0.2896,0.2892,0.2895,887191.1
2026-03-08 19:00:00,0.2896,0.2898,0.2893,0.2896,1698533.5
2026-03-08 19:15:00,0.2897,0.2898,0.2895,0.2896,1695348.9
2026-03-08 19:30:00,0.2896,0.2898,0.2895,0.2898,670885.0
2026-03-08 19:45:00,0.2898,0.2899,0.2897,0.2899,625921.0
2026-03-08 20:00:00,0.2899,0.2903,0.2898,0.2902,2872298.6
2026-03-08 20:15:00,0.2903,0.2904,0.2901,0.2904,1660441.4
2026-03-08 20:30:00,0.2903,0.2905,0.2901,0.2905,2021512.7
2026-03-08 20:45:00,0.2905,0.2905,0.2902,0.2904,1071980.4
2026-03-08 21:00:00,0.2904,0.2908,0.29,0.2903,3049688.6
2026-03-08 21:15:00,0.2903,0.2905,0.29,0.2905,750295.0
2026-03-08 21:30:00,0.2905,0.2907,0.2904,0.2906,2065231.7
2026-03-08 21:45:00,0.2906,0.2907,0.2905,0.2906,532231.7
2026-03-08 22:00:00,0.2905,0.2906,0.2896,0.2898,6415780.3
2026-03-08 22:15:00,0.2897,0.2898,0.2893,0.2894,2869132.9
2026-03-08 22:30:00,0.2894,0.2894,0.289,0.2891,1988731.3
2026-03-08 22:45:00,0.2892,0.2894,0.2891,0.2893,835465.1
2026-03-08 23:00:00,0.2892,0.2895,0.2891,0.2892,481664.4
2026-03-08 23:15:00,0.2892,0.2894,0.289,0.2892,689238.8
2026-03-08 23:30:00,0.2893,0.2893,0.289,0.2891,560703.0
2026-03-08 23:45:00,0.2891,0.2892,0.2888,0.2891,1376261.3
2026-03-09 00:00:00,0.2892,0.2897,0.2891,0.2897,3106781.8
2026-03-09 00:15:00,0.2898,0.2899,0.2894,0.2896,1710663.7
2026-03-09 00:30:00,0.2896,0.2897,0.2894,0.2897,794725.1
2026-03-09 00:45:00,0.2897,0.2897,0.2893,0.2894,921568.7
2026-03-09 01:00:00,0.2893,0.2897,0.2893,0.2896,947825.0
2026-03-09 01:15:00,0.2896,0.2897,0.2894,0.2897,423507.5
2026-03-09 01:30:00,0.2897,0.2897,0.2893,0.2896,1047699.5
2026-03-09 01:45:00,0.2897,0.2897,0.2895,0.2896,801720.1
2026-03-09 02:00:00,0.2896,0.2898,0.2894,0.2895,1672244.3
2026-03-09 02:15:00,0.2895,0.2895,0.2891,0.2893,2047626.8
2026-03-09 02:30:00,0.2893,0.2895,0.2891,0.2895,719859.2
2026-03-09 02:45:00,0.2894,0.2895,0.2893,0.2893,332877.6
2026-03-09 03:00:00,0.2893,0.2903,0.2892,0.2903,5825452.9
2026-03-09 03:15:00,0.2903,0.2909,0.2902,0.2908,4828306.6
2026-03-09 03:30:00,0.2909,0.2909,0.2905,0.2906,929995.7
2026-03-09 03:45:00,0.2907,0.2907,0.2902,0.2903,856763.3
2026-03-09 04:00:00,0.2903,0.2905,0.2892,0.2895,5190477.6
2026-03-09 04:15:00,0.2895,0.2895,0.2891,0.2893,2009483.1
2026-03-09 04:30:00,0.2892,0.2893,0.2891,0.2893,411568.4
2026-03-09 04:45:00,0.2892,0.2895,0.2888,0.2889,2523927.1
2026-03-09 05:00:00,0.2889,0.2892,0.2889,0.2891,619089.7
2026-03-09 05:15:00,0.2892,0.2893,0.289,0.2893,541025.3
2026-03-09 05:30:00,0.2893,0.2895,0.2892,0.2895,1255506.1
2026-03-09 05:45:00,0.2895,0.2896,0.2891,0.2891,1052789.6
2026-03-09 06:00:00,0.2891,0.2891,0.2878,0.2882,8333051.3
2026-03-09 06:15:00,0.2883,0.2887,0.2882,0.2886,2239181.4
2026-03-09 06:30:00,0.2887,0.2887,0.2881,0.2884,1614859.6
2026-03-09 06:45:00,0.2884,0.2887,0.2882,0.2884,2501762.4
2026-03-09 07:00:00,0.2884,0.2886,0.2883,0.2884,391845.2
2026-03-09 07:15:00,0.2885,0.2885,0.2879,0.2882,2418289.3
2026-03-09 07:30:00,0.2881,0.2882,0.2879,0.2879,794433.4
2026-03-09 07:45:00,0.288,0.2883,0.2879,0.2882,635221.1
2026-03-09 08:00:00,0.2882,0.2883,0.2879,0.2883,657903.8
2026-03-09 08:15:00,0.2883,0.2883,0.2877,0.2882,2990346.7
2026-03-09 08:30:00,0.2882,0.2882,0.2877,0.2878,1006896.6
2026-03-09 08:45:00,0.2877,0.2879,0.2877,0.2879,854631.7
2026-03-09 09:00:00,0.2879,0.2879,0.2876,0.2878,345794.5
2026-03-09 09:15:00,0.2878,0.288,0.2876,0.2878,714050.7
2026-03-09 09:30:00,0.2877,0.288,0.2876,0.288,1875747.5
2026-03-09 09:45:00,0.288,0.2881,0.2875,0.2875,1854807.3
2026-03-09 10:00:00,0.2876,0.2877,0.2875,0.2875,424647.1
2026-03-09 10:15:00,0.2876,0.2876,0.2854,0.2856,5499859.1
2026-03-09 10:30:00,0.2857,0.2858,0.2853,0.2856,2599184.2
2026-03-09 10:45:00,0.2857,0.2857,0.285,0.2852,4582547.7
2026-03-09 11:00:00,0.2852,0.2853,0.2846,0.285,5392542.3
2026-03-09 11:15:00,0.2851,0.2851,0.2849,0.2851,650722.8
2026-03-09 11:30:00,0.285,0.2855,0.285,0.2854,2319391.8
2026-03-09 11:45:00,0.2855,0.2856,0.2851,0.2852,939891.5
2026-03-09 12:00:00,0.2851,0.2852,0.2844,0.2848,5827846.0
2026-03-09 12:15:00,0.2848,0.2849,0.2843,0.2849,3086530.8
2026-03-09 12:30:00,0.2849,0.2852,0.2848,0.285,2546826.7
2026-03-09 12:45:00,0.285,0.2852,0.2848,0.285,527380.7
2026-03-09 13:00:00,0.2851,0.2854,0.285,0.2854,1377837.9
2026-03-09 13:15:00,0.2854,0.2854,0.2847,0.2848,2021919.8
2026-03-09 13:30:00,0.2849,0.2851,0.2846,0.2851,1330992.7
2026-03-09 13:45:00,0.2851,0.2854,0.2847,0.2852,4717118.1
2026-03-09 14:00:00,0.2852,0.2852,0.2845,0.2846,3223713.5
2026-03-09 14:15:00,0.2847,0.2851,0.2846,0.2849,2467521.5
2026-03-09 14:30:00,0.2849,0.2851,0.2848,0.2851,681290.0
2026-03-09 14:45:00,0.2851,0.2852,0.2848,0.2849,694249.4
2026-03-09 15:00:00,0.2848,0.2851,0.2848,0.2851,910131.4
2026-03-09 15:15:00,0.285,0.2852,0.2849,0.2852,648863.5
2026-03-09 15:30:00,0.2852,0.2853,0.285,0.2852,837896.7
2026-03-09 15:45:00,0.2853,0.2855,0.2852,0.2854,1655303.0
2026-03-09 16:00:00,0.2854,0.2857,0.2853,0.2854,1383866.1
2026-03-09 16:15:00,0.2855,0.2856,0.2854,0.2856,662412.5
2026-03-09 16:30:00,0.2855,0.2857,0.2853,0.2857,947886.9
2026-03-09 16:45:00,0.2856,0.2857,0.2854,0.2854,675343.4
2026-03-09 17:00:00,0.2854,0.2858,0.2853,0.2856,1697487.4
2026-03-09 17:15:00,0.2857,0.2858,0.2855,0.2856,775114.5
2026-03-09 17:30:00,0.2856,0.2857,0.2855,0.2856,1398678.1
2026-03-09 17:45:00,0.2855,0.2858,0.2855,0.2857,289909.1
2026-03-09 18:00:00,0.2858,0.2859,0.2856,0.2858,332019.0
2026-03-09 18:15:00,0.2859,0.2863,0.2858,0.2862,1959427.1
2026-03-09 18:30:00,0.2862,0.2862,0.2854,0.2858,2607740.6
2026-03-09 18:45:00,0.2858,0.2858,0.2854,0.2856,480125.3
2026-03-09 19:00:00,0.2857,0.2857,0.2855,0.2856,283630.1
2026-03-09 19:15:00,0.2856,0.286,0.2855,0.2859,1929477.9
2026-03-09 19:30:00,0.2858,0.286,0.2856,0.2858,1263989.8
2026-03-09 19:45:00,0.2858,0.286,0.2857,0.286,879677.1
2026-03-09 20:00:00,0.286,0.2862,0.2859,0.2862,799143.2
2026-03-09 20:15:00,0.2861,0.2862,0.286,0.2861,233746.3
2026-03-09 20:30:00,0.2861,0.2862,0.2859,0.2861,550686.1
2026-03-09 20:45:00,0.2861,0.2862,0.2859,0.286,668722.3
2026-03-09 21:00:00,0.286,0.2861,0.2859,0.2861,354564.0
2026-03-09 21:15:00,0.2861,0.2862,0.2859,0.2861,550891.3
2026-03-09 21:30:00,0.286,0.2861,0.2857,0.2857,548337.6
2026-03-09 21:45:00,0.2858,0.286,0.2857,0.286,485085.7
2026-03-09 22:00:00,0.286,0.286,0.2857,0.2857,268555.9
2026-03-09 22:15:00,0.2857,0.2859,0.2856,0.2859,289290.4
2026-03-09 22:30:00,0.2859,0.2859,0.2856,0.2858,386672.7
2026-03-09 22:45:00,0.2859,0.2859,0.2857,0.2859,399353.0
2026-03-09 23:00:00,0.2858,0.286,0.2854,0.2855,1989051.7
2026-03-09 23:15:00,0.2854,0.2856,0.2854,0.2855,251563.9
2026-03-09 23:30:00,0.2856,0.2856,0.2854,0.2855,343562.6
2026-03-09 23:45:00,0.2854,0.2857,0.2854,0.2856,679162.9
2026-03-10 00:00:00,0.2855,0.2856,0.2852,0.2852,1909338.6
2026-03-10 00:15:00,0.2852,0.2856,0.2852,0.2855,388314.5
2026-03-10 00:30:00,0.2856,0.2858,0.2855,0.2858,1438550.5
2026-03-10 00:45:00,0.2858,0.2858,0.2856,0.2857,222944.9
