datetime,open,high,low,close,volume
2026-03-08 14:45:00,1.3464,1.3501,1.3457,1.3496,242945.5
2026-03-08 15:00:00,1.3497,1.3498,1.3466,1.3491,357586.1
2026-03-08 15:15:00,1.3491,1.3492,1.3446,1.3448,402816.9
2026-03-08 15:30:00,1.3448,1.3456,1.3428,1.3437,1138561.2
2026-03-08 15:45:00,1.3437,1.3475,1.3433,1.3456,746156.5
2026-03-08 16:00:00,1.3456,1.3457,1.3427,1.3431,1109898.9
2026-03-08 16:15:00,1.3432,1.3445,1.3416,1.3432,1192796.3
2026-03-08 16:30:00,1.3431,1.3435,1.3381,1.3425,2450959.5
2026-03-08 16:45:00,1.3425,1.3425,1.3381,1.3396,922245.1
2026-03-08 17:00:00,1.3396,1.3461,1.339,1.3446,733887.3
2026-03-08 17:15:00,1.3447,1.3459,1.3432,1.3435,451803.9
2026-03-08 17:30:00,1.3435,1.3445,1.3413,1.3422,361675.4
2026-03-08 17:45:00,1.3421,1.3445,1.3416,1.344,449054.9
2026-03-08 18:00:00,1.3441,1.3447,1.3426,1.3434,240778.1
2026-03-08 18:15:00,1.3434,1.345,1.34,1.3446,420498.5
2026-03-08 18:30:00,1.3445,1.3485,1.3421,1.3424,572001.6
2026-03-08 18:45:00,1.3424,1.3465,1.3422,1.3455,317008.8
2026-03-08 19:00:00,1.3455,1.3516,1.3432,1.3498,796383.4
2026-03-08 19:15:00,1.3498,1.3572,1.3496,1.3568,842867.6
2026-03-08 19:30:00,1.3568,1.3597,1.3556,1.3591,908258.0
2026-03-08 19:45:00,1.3591,1.3599,1.353,1.3563,836698.0
2026-03-08 20:00:00,1.3562,1.3566,1.3521,1.3529,610130.1
2026-03-08 20:15:00,1.3529,1.3552,1.3522,1.353,549200.7
2026-03-08 20:30:00,1.3529,1.362,1.3528,1.3578,1103293.4
2026-03-08 20:45:00,1.3578,1.3579,1.3533,1.3534,473109.3
2026-03-08 21:00:00,1.3535,1.3545,1.3442,1.3455,918819.5
2026-03-08 21:15:00,1.3455,1.3493,1.3452,1.348,350617.5
2026-03-08 21:30:00,1.348,1.349,1.3464,1.3477,286056.9
2026-03-08 21:45:00,1.3478,1.349,1.3468,1.3479,194477.7
2026-03-08 22:00:00,1.3479,1.3479,1.3218,1.3346,9730527.7
2026-03-08 22:15:00,1.3345,1.3424,1.3282,1.3401,1941409.5
2026-03-08 22:30:00,1.34,1.3494,1.3362,1.3432,1803095.2
2026-03-08 22:45:00,1.3431,1.3481,1.3427,1.3456,841971.1
2026-03-08 23:00:00,1.3457,1.3503,1.3427,1.3484,1284658.7
2026-03-08 23:15:00,1.3483,1.3498,1.3456,1.3476,515863.6
2026-03-08 23:30:00,1.3476,1.349,1.3419,1.3423,525447.4
2026-03-08 23:45:00,1.3422,1.3455,1.3392,1.34,895196.6
2026-03-09 00:00:00,1.3401,1.3507,1.34,1.3496,1539205.3
2026-03-09 00:15:00,1.3496,1.3521,1.3387,1.3475,2039543.3
2026-03-09 00:30:00,1.3474,1.3605,1.3473,1.3526,2570277.6
2026-03-09 00:45:00,1.3526,1.3549,1.3481,1.3491,963849.8
2026-03-09 01:00:00,1.3491,1.3498,1.3428,1.3461,854515.0
2026-03-09 01:15:00,1.3462,1.3525,1.3459,1.3487,1242272.3
2026-03-09 01:30:00,1.3487,1.3537,1.3458,1.3512,1141643.6
2026-03-09 01:45:00,1.3511,1.3516,1.3415,1.3421,897610.3
2026-03-09 02:00:00,1.342,1.3472,1.3394,1.3423,1011177.7
2026-03-09 02:15:00,1.3422,1.343,1.3391,1.3394,1097611.8
2026-03-09 02:30:00,1.3395,1.3495,1.3376,1.3482,1777849.6
2026-03-09 02:45:00,1.3482,1.35,1.3459,1.3459,1210063.5
2026-03-09 03:00:00,1.3459,1.3637,1.345,1.3617,3536512.8
2026-03-09 03:15:00,1.3617,1.3653,1.3536,1.3561,2836617.7
2026-03-09 03:30:00,1.356,1.3575,1.3509,1.3514,858626.6
2026-03-09 03:45:00,1.3513,1.3521,1.3481,1.3505,956083.5
2026-03-09 04:00:00,1.3505,1.3533,1.3499,1.3515,1047931.7
2026-03-09 04:15:00,1.3514,1.3557,1.3502,1.3549,704965.4
2026-03-09 04:30:00,1.3549,1.3549,1.3498,1.351,660587.6
2026-03-09 04:45:00,1.351,1.352,1.3439,1.3441,860502.4
2026-03-09 05:00:00,1.3442,1.3452,1.3419,1.3442,1317798.1
2026-03-09 05:15:00,1.3442,1.3493,1.3442,1.3451,1461879.5
2026-03-09 05:30:00,1.3452,1.357,1.3436,1.3542,2267062.5
2026-03-09 05:45:00,1.3543,1.3587,1.3515,1.3549,2103961.2
2026-03-09 06:00:00,1.355,1.3556,1.3521,1.3544,1567968.8
2026-03-09 06:15:00,1.3543,1.3586,1.3523,1.3524,616811.7
2026-03-09 06:30:00,1.3524,1.3537,1.3444,1.346,840849.9
2026-03-09 06:45:00,1.346,1.3474,1.3446,1.345,660125.1
2026-03-09 07:00:00,1.345,1.3455,1.3384,1.3392,8124971.1
2026-03-09 07:15:00,1.3392,1.3413,1.333,1.3379,2506504.7
2026-03-09 07:30:00,1.3379,1.341,1.3373,1.3392,1400653.8
2026-03-09 07:45:00,1.3392,1.3418,1.338,1.3409,875707.5
2026-03-09 08:00:00,1.3409,1.3446,1.3394,1.3436,1444344.8
2026-03-09 08:15:00,1.3437,1.348,1.3413,1.346,728137.8
2026-03-09 08:30:00,1.3461,1.3484,1.342,1.3434,714428.9
2026-03-09 08:45:00,1.3433,1.3467,1.3427,1.3464,500047.2
2026-03-09 09:00:00,1.3464,1.3467,1.3412,1.346,825438.7
2026-03-09 09:15:00,1.346,1.3517,1.3451,1.35,1627755.3
2026-03-09 09:30:00,1.35,1.3631,1.3472,1.3617,2715802.9
2026-03-09 09:45:00,1.3617,1.3636,1.3538,1.3551,1527895.3
2026-03-09 10:00:00,1.355,1.3565,1.3532,1.3544,1080676.2
2026-03-09 10:15:00,1.3544,1.356,1.3526,1.3526,514276.4
2026-03-09 10:30:00,1.3525,1.3534,1.3475,1.3487,502382.1
2026-03-09 10:45:00,1.3486,1.3486,1.3456,1.3473,416348.7
2026-03-09 11:00:00,1.3474,1.3491,1.346,1.3476,615942.3
